,X,Row,Range,Plot,Rep,Entry,yld1,yld2,yld3,yld4,yld5,yld6
1,1,1,1,100,1,18,8.65,4.95,5.628201779,4.25,7.55,6
2,2,1,2,101,1,17,8.25,5.2,5.272028843,4.2,7.55,5.85
3,3,1,3,102,2,22,8.1,6.25,5.011138802,4.55,7.6,6.2
4,4,1,4,103,2,24,7.2,5.5,5.139357938,4.35,6.65,5.85
5,5,1,5,104,3,13,3.85,3.55,3.124190934,2.6,5.3,4.5
6,6,1,6,105,3,10,5.1,4.65,4.778289964,4,6.45,5.45
7,7,1,7,106,4,8,5.45,5.15,4.536733659,3.9,5.95,5.6
8,8,1,8,107,4,11,3.7,3.4,3.234925089,2.9,4.85,4.3
9,9,2,8,108,4,50,6.15,5.55,4.477078205,4.35,6.15,5.5
10,10,2,7,109,4,50,4.95,4.6,3.986513197,3.7,5.7,5.6
11,11,2,6,110,3,50,5.3,5,4.493722304,4.05,6.35,5.5
12,12,2,5,111,3,50,7.55,5.6,4.788124914,4.45,6.6,5.85
13,13,2,4,112,2,50,7.2,5.15,4.155141454,4,6.2,6.05
14,14,2,3,113,2,50,8.1,5.15,4.237108444,4.6,7,5.95
15,15,2,2,114,1,50,7.2,4.45,4.716958217,4.1,6.5,5.85
16,16,2,1,115,1,50,8.9,4.95,5.205273731,4.7,7.25,6.2
17,17,3,1,116,1,2,9.3,5.3,6.392576683,5.05,7.8,6.6
18,18,3,2,117,1,7,7.45,3.9,4.966341705,4.55,7.15,5.85
19,19,3,3,118,2,17,7.65,5.4,4.995486,5,7.55,5.7
20,20,3,4,119,2,13,4.35,3.15,3.180008786,2.6,5.05,4.4
21,21,3,5,120,3,7,8.1,5.4,5.502895868,5.05,7.3,6.3
22,22,3,6,121,3,20,5.45,4.8,4.467973124,4.3,6.2,5.2
23,23,3,7,122,4,14,5.7,5.15,4.678356103,4.15,6.15,6
24,24,3,8,123,4,3,6.65,5.95,5.258824733,5.3,6.95,6.3
25,25,4,8,124,4,6,5.15,4.85,4.501329025,4.75,6.6,5.8
26,26,4,7,125,4,2,5.9,5.2,4.521742243,4.4,6.55,6.25
27,27,4,6,126,3,1,6.4,5.1,5.546322974,4.85,7.25,6.2
28,28,4,5,127,3,15,6.75,4.45,4.3946939,4.1,6.45,5.45
29,29,4,4,128,2,14,6.6,5.45,4.724321648,4.65,7.15,5.95
30,30,4,3,129,2,1,7.3,4.6,5.714886656,5.2,7.7,6.2
31,31,4,2,130,1,23,9.05,5.7,6.381818919,6.4,8.75,6.75
32,32,4,1,131,1,8,8.45,4.95,6.068150275,5.2,8.55,6.7
33,33,5,1,132,1,50,8.25,5.5,6.258980619,5.6,9.25,6.95
34,34,5,2,133,1,50,7.05,4.25,5.141649961,5.05,7.85,6.15
35,35,5,3,134,2,50,5.5,3.55,4.217266864,4.15,6.3,5.4
36,36,5,4,135,2,50,4.65,4.5,4.765768504,4.55,6.75,6.1
37,37,5,5,136,3,50,5,3.75,3.903247044,3.75,6.05,5.6
38,38,5,6,137,3,50,5.15,4.55,4.167707788,3.85,5.6,5.2
39,39,5,7,138,4,50,5.4,4.55,3.915483467,4.05,5.9,5.6
40,40,5,8,139,4,50,5.6,5.65,5.087660381,4.7,6.35,6.05
41,41,6,8,140,4,12,4,3.9,3.517553465,3.15,4.55,4.55
42,42,6,7,141,4,1,5.3,5.35,4.938983153,4.9,7,6.4
43,43,6,6,142,3,9,5.25,5.5,5.396678058,4.7,6.65,6.45
44,44,6,5,143,3,24,6,5.15,5.355055614,5.15,7.25,6.15
45,45,6,4,144,2,15,5.1,4.45,4.451658936,4.3,6.15,5.4
46,46,6,3,145,2,19,5.75,4.7,5.238520964,5,7.5,6.15
47,47,6,2,146,1,24,8.1,5.1,6.588122569,6.25,8.9,7
48,48,6,1,147,1,1,7.75,5.75,6.988742989,6.3,9.55,7
49,49,7,1,148,1,14,8.8,6.2,6.783362153,6.4,9.7,6.9
50,50,7,2,149,1,10,7.35,4.65,6.378381275,6,9.2,6.65
51,51,7,3,150,2,20,7.3,5.55,6.17586879,5.75,8.15,6
52,52,7,4,151,2,3,7.95,5.5,6.520932786,6.5,8.9,6.85
53,53,7,5,152,3,18,5.8,5,5.794783648,5.4,7.75,6.05
54,54,7,6,153,3,12,4.7,4.2,4.777101814,4.3,5.9,5.4
55,55,7,7,154,4,15,4.85,4.75,4.575404257,4.1,6.1,5.55
56,56,7,8,155,4,23,6.35,6.45,6.192424705,6.5,8,6.65
57,57,8,8,156,4,50,7.95,7.1,6.095952097,5.75,7.3,6.2
58,58,8,7,157,4,50,7.15,6.5,5.873509847,5.45,7.4,6.1
59,59,8,6,158,3,50,6.85,6.35,6.391080668,5.55,7.75,6.75
60,60,8,5,159,3,50,6.75,6.15,6.21713615,5.9,7.6,6.55
61,61,8,4,160,2,50,7,5.3,5.659995526,5.65,7.75,6.5
62,62,8,3,161,2,50,8.45,6.65,7.045445034,6.55,9.5,7.45
63,63,8,2,162,1,50,6.65,4.15,5.107261797,5.15,8.45,6.3
64,64,8,1,163,1,50,6.75,4.7,5.474323211,5.4,8.8,6.8
65,65,9,1,164,1,15,6.75,5.15,5.249631467,4.85,8.1,6.35
66,66,9,2,165,1,20,6.7,5.45,5.810348265,5.75,8.7,6.45
67,67,9,3,166,2,11,5.85,5.1,5.452058894,5.05,7.1,5.7
68,68,9,4,167,2,16,6.05,4.8,5.155055614,5.15,7.3,6.25
69,69,9,5,168,3,6,4.85,4.6,4.930143408,5.3,6.8,6.2
70,70,9,6,169,3,2,6.45,5.75,6.075648328,5.55,8.1,6.9
71,71,9,7,170,4,18,6.9,7.1,7.280564631,7.15,9,7.05
72,72,9,8,171,4,19,7.6,7.05,6.919982455,6.35,8.05,6.2
73,73,10,8,172,4,7,8.9,7.7,7.786121055,7.35,9.3,7.5
74,74,10,7,173,4,22,9.3,8.15,7.986517105,7.4,9.6,7.55
75,75,10,6,174,3,23,8.1,6.85,6.787332814,6.8,9.3,7.2
76,76,10,5,175,3,8,6.15,5.55,5.571765852,5.7,7.5,6.85
77,77,10,4,176,2,4,5.8,5.05,5.566213336,5.25,7.4,6.35
78,78,10,3,177,2,23,7.15,6.45,6.98909651,6.8,9.2,6.75
79,79,10,2,178,1,3,6.45,5.35,5.722298087,5.75,8.25,6.4
80,80,10,1,179,1,16,5.75,5.05,4.852011675,4.45,6.8,5.8
81,81,11,1,180,1,50,7.45,5.85,5.326352243,4.8,7.65,6.45
82,82,11,2,181,1,50,7.45,5.8,5.680500055,5.35,8.05,6.35
83,83,11,3,182,2,50,6.55,5.25,5.347559906,5.1,7.75,5.85
84,84,11,4,183,2,50,5.9,4.55,4.162065524,4.5,6.7,6.05
85,85,11,5,184,3,50,6.85,5.75,5.288210754,5.2,7.8,6.6
86,86,11,6,185,3,50,7.9,6,6.17957177,5.7,8.4,6.7
87,87,11,7,186,4,50,8.4,7.4,7.084002275,6.4,9.1,7.05
88,88,11,8,187,4,50,7.15,6.85,6.598422053,5.85,8.4,6.4
89,89,12,8,188,4,10,6.75,6.65,6.980078833,6.5,8.8,6.75
90,90,12,7,189,4,16,7.95,7.15,7.042555419,6.1,8.55,6.8
91,91,12,6,190,3,3,8.55,6.85,7.271414676,6.8,9.8,7.8
92,92,12,5,191,3,5,6.4,5.9,5.560036492,5.3,7.8,6.75
93,93,12,4,192,2,10,6.1,4.45,5.176440428,5.1,7.8,6.25
94,94,12,3,193,2,6,5.8,4.65,5.256378386,4.85,7.5,5.45
95,95,12,2,194,1,12,5.65,4.4,4.549896803,4.2,6.15,5.4
96,96,12,1,195,1,9,8.95,7.15,7.520003719,6.7,9.1,7
97,97,13,1,196,1,21,5.7,4.4,4.944515967,4.15,7.15,5.8
98,98,13,2,197,1,11,9.1,6.65,7.153558817,6.4,9.1,6.95
99,99,13,3,198,2,2,7.15,4.75,5.380012694,5,8,6.3
100,100,13,4,199,2,18,7.35,5.25,5.860256954,5.4,8.4,6.5
101,101,13,5,200,3,17,7.45,5.8,6.31343317,5.65,8.25,6.5
102,102,13,6,201,3,22,10.2,7.55,8.398180326,7.15,10.35,7.35
103,103,13,7,202,4,21,9.85,7.8,8.688191053,7.65,10.15,7.7
104,104,13,8,203,4,24,8.8,8.7,9.121394975,8.5,10.2,7.75
105,105,14,8,204,4,50,5.95,6.3,6.196964659,5.65,7.65,6
106,106,14,7,205,4,50,6.95,6.45,6.122272915,5.95,8.25,6.5
107,107,14,6,206,3,50,9.35,7,7.366915688,6.25,9.1,6.75
108,108,14,5,207,3,50,6.95,5.25,5.725909756,5.3,7.8,6.25
109,109,14,4,208,2,50,6.3,3.9,4.33036387,4.4,7.45,6.3
110,110,14,3,209,2,50,8.2,5.4,5.707790906,5.5,8.45,6.5
111,111,14,2,210,1,50,8.65,6.25,6.364933093,6.05,8.75,6.8
112,112,14,1,211,1,50,7.95,6.15,6.409597131,5.55,8.55,6.9
113,113,15,1,212,1,5,7.9,6.45,6.207302763,5.6,9.2,6.55
114,114,15,2,213,1,13,5.6,4.1,4.489624837,3.95,6.95,5.5
115,115,15,3,214,2,7,8.15,5.85,6.409509728,6,8.9,6.75
116,116,15,4,215,2,21,7.4,5.1,6.548045704,5.95,8.8,7.2
117,117,15,5,216,3,4,6.6,6.05,6.127012066,5.35,8.25,6.35
118,118,15,6,217,3,19,8.3,7.2,7.88217244,6.55,9.6,7.3
119,119,15,7,218,4,9,6.45,6.85,7.172052453,6.6,8.5,6.6
120,120,15,8,219,4,17,8,8.4,8.480740219,7.6,9.75,7
121,121,16,8,220,4,13,4.45,4.75,5.118259725,4.45,7.05,5.55
122,122,16,7,221,4,4,7.3,7.25,7.073109889,6.75,9.05,6.85
123,123,16,6,222,3,11,7.3,5.95,6.37225165,5.1,7.9,6.15
124,124,16,5,223,3,14,8.9,7.65,6.853026582,6.1,8.6,6.65
125,125,16,4,224,2,8,8,5.95,6.442623902,5.8,9.45,7.3
126,126,16,3,225,2,5,8.65,6.1,6.551397508,5.6,8.7,6.55
127,127,16,2,226,1,6,8.95,6.75,6.685350219,5.65,8.75,6.4
128,128,16,1,227,1,22,9.75,7.9,7.680937071,6.4,9.7,7.25
129,129,17,1,228,1,50,10.1,7.95,6.971326491,6.4,9.15,7
130,130,17,2,229,1,50,11.5,8.65,7.713038683,7.05,9.55,6.95
131,131,17,3,230,2,50,11.2,7.25,7.25192818,6.3,9.45,7.15
132,132,17,4,231,2,50,9.9,7.1,6.866213336,6,9.05,7
133,133,17,5,232,3,50,11.85,9.75,8.03256849,7.45,9.3,7.05
134,134,17,6,233,3,50,12.4,9.35,8.596282008,7.9,11,8.4
135,135,17,7,234,4,50,8.85,7.95,6.564336283,6.3,8.6,6.6
136,136,17,8,235,4,50,7,7.15,6.162572587,6.05,7.8,6.15
137,137,18,8,236,4,20,10.1,9.75,8.295686761,7.8,9.5,7.3
138,138,18,7,237,4,5,11.05,9.05,8.085855719,7,9.45,7.35
139,139,18,6,238,3,16,13,9.8,8.781290592,6.95,10.45,8.1
140,140,18,5,239,3,21,15.1,13.05,11.62564833,10,12.1,8.75
141,141,18,4,240,2,9,11.4,8.9,8.850384946,7.3,10.4,8
142,142,18,3,241,2,12,9.05,5.55,6.178293872,5.1,7.8,6.4
143,143,18,2,242,1,19,12.7,9.7,9.286011605,8.1,10.45,8.25
144,144,18,1,243,1,4,11.4,9,8.181863793,7.5,9.65,7.35
