Time,Herit_ndvi,Herit_ndvi_spa,Herit_gndvi,Herit_gndvi_spa,Herit_ndre,Herit_ndre_spa
62,0.13,0.57,0.18,0.92,0.23,0.71
76,0.07,0.22,0.14,0.84,0.08,0.37
90,0.01,0.28,0.11,0.74,0.14,0.1
96,0.17,0.61,0.39,0.85,0.01,0.41
104,0,0.17,0,0.6,0.12,0.49
110,0,0.03,0.02,0.28,0.05,0
114,0.03,0.54,0.08,0.37,0,0.29
124,0,0,0.11,0.15,0,0
130,0.52,0.52,0.61,0.94,0.29,0.64
138,0,0.69,0.01,0.83,0.02,0.16
144,0.38,0.74,0.12,0.73,0.27,0.89
150,0.2,0.63,0.08,0.8,0.19,0.77
160,0,1,0,1,0,0
166,0.12,0.33,0.32,0.95,0.3,0.86
174,0,0.5,0.03,0.79,0,1
180,0.12,0.43,0.13,0.75,0,0.28
188,0,0,0.06,1,0,0.94
194,0.31,1,0.22,0.88,0.37,0.77
200,0.1,0.26,0,0.81,0,0.28
206,0.01,0.47,0.02,0.8,0.06,1
216,0,0,0,0.99,0.16,0.11
222,0,0,0,0,0,0
228,0,0.65,0,0,0,0
236,0,0.18,0,0,0,0
240,0,0,0,1,0,0
250,0.05,0,0.04,0.91,0,0
256,0.01,0.3,0.18,0.9,0,0
264,0.36,0.67,0.28,0.95,0.34,0.62
270,0.39,0.89,0.3,0.94,0.24,0.24
278,0,0.32,0.06,0.8,0.22,0.67
284,0.03,0.75,0.34,0.7,0.51,0.71
292,0.49,0.8,0.23,0.74,0.3,0.83
