Time,Herit_ndvi,Herit_ndvi_spa,Herit_gndvi,Herit_gndvi_spa,Herit_ndre,Herit_ndre_spa
62,0.16,0.56,0.19,0.91,0.25,0.71
76,0.09,0.26,0.16,0.82,0.11,0.39
90,0.01,0.3,0.08,0.76,0.13,0.1
96,0.19,0.63,0.42,0.86,0.02,0.45
104,0,0.18,0,0.62,0.12,0.5
110,NA,NA,0.03,0.27,NA,0
114,0.04,0.56,0.09,0.39,0,0.29
130,0.51,0.51,0.6,0.93,0.32,0.67
138,0.06,0.68,0.01,0.84,0.02,0.17
144,0.39,0.74,0.14,0.73,0.28,0.89
150,0.21,0.62,0.11,0.8,0.2,0.77
166,0.09,0.34,0.33,0.94,0.31,0.86
174,0,0.5,0.02,0.79,NA,0
180,0.14,0.42,0.15,0.77,0,0.3
256,0.01,0.31,0.2,0.9,NA,0
264,0.39,0.68,0.3,0.95,0.37,0.65
270,0.41,0.9,0.32,0.95,0.25,0.25
278,0,0,0.03,0.81,0.23,0.68
284,0.06,0.74,0.37,0.72,0.5,0.69
292,0.48,0.79,0.24,0.75,0.29,0.79
