"Time","Herit_ndvi","Herit_ndvi_spa","Herit_gndvi","Herit_gndvi_spa","Herit_ndre","Herit_ndre_spa"
62,0,0,0.45,0.78,0,0.11
76,0.15,0.04,0.18,0.71,0.2,0.67
90,0,0.09,0,0.63,0,0.01
96,0.05,0.05,0.12,0.64,0.11,0.7
104,0.09,0.34,0,0.58,0.04,0.33
110,0.05,0.05,0.02,0.15,0.07,0.12
114,0.04,0.39,0.03,0.53,0.03,0.12
124,0,0.12,0.18,0.25,0,0.2
130,0.31,0.59,0.45,0.77,0.14,0.38
138,0.1,0.53,0.04,0.76,0.07,0.36
144,0.1,0.6,0.12,0.7,0.06,0.06
150,0.04,0.49,0.06,0.64,0.07,0.3
160,0,0,0.08,0.27,0.01,0
166,0.04,0.03,0.26,0.76,0.15,0.61
174,0.12,0.5,0.23,0.74,0,0.21
180,0.03,0.03,0.07,0.69,0.07,0.5
188,0,0,0.03,0.71,0.02,0.07
194,0.1,0.24,0.14,0.79,0,0.5
200,0.23,0.41,0.38,0.81,0.1,0.24
206,0.18,0.7,0.02,0.78,0.12,0.45
216,0,0,0.19,0.85,0.06,0.96
222,0.05,0.02,0.5,0.86,0.51,0.77
228,0.08,0.08,0.61,0.8,0.07,0.15
236,0,0.56,0,0.81,0.2,0.38
240,0.11,0.5,0.08,0.81,0.21,0.59
250,0,0.03,0.12,0.28,0.06,0.15
256,0,0.14,0.47,0.47,0,0.37
264,0.4,0.72,0.51,0.84,0.63,0.86
270,0.42,0.8,0.54,0.76,0.24,0.58
278,0,0.396,0.01,0.73,0.04,0.39
284,0,0.75,0.4,0.76,0.41,0.7
292,0.41,0.81,0.1,0.69,0.63,0.79
