"Time","Herit_ndvi","Herit_ndvi_spa","Herit_gndvi","Herit_gndvi_spa","Herit_ndre","Herit_ndre_spa"
62,0,0,0.43,0.76,0,0.08
76,0.16,0.1,0.2,0.7,0.21,0.64
90,0,0.06,0.05,0.64,0.01,0
96,0.08,0.08,0.13,0.67,0.1,0.7
104,0.11,0.38,0,0.61,0.04,0.32
110,0.05,0.05,0.03,0.15,0.08,0.11
114,0.06,0.42,0.06,0.56,0.03,0.14
124,0,0.15,0.18,0.25,0,0.22
130,0.31,0.59,0.44,0.76,0.14,0.4
138,0.13,0.54,0.06,0.77,0.06,0.41
144,0.12,0.62,0.14,0.72,0.08,0.08
150,0.07,0.49,0.09,0.65,0.08,0.32
160,0,0,0.08,0,0.02,0
166,0.04,0.02,0.27,0.76,0.17,0.52
174,0.13,0.52,0.24,0.75,0,0.25
180,0.04,0.04,0.09,0.71,0.07,0.47
188,0,0,0.03,0.73,0.02,0.08
194,0.1,0.25,0.16,0.79,0.07,0.5
200,0.24,0.42,0.39,0.81,0.11,0.25
206,0.19,0.7,0.07,0.78,0.12,0.47
216,0,0,0.2,0.84,0.05,0.95
222,0.06,0.07,0.52,0.86,0.49,0.74
228,0.09,0.09,0.61,0.8,0.07,0.18
236,0,0.56,0.01,0.79,0.22,0.41
240,0.12,0.52,0.1,0.8,0.23,0.61
250,0,0.15,0.12,0,0.04,0.19
256,0,0.17,0.48,0.48,0,0.35
264,0.4,0.72,0.52,0.85,0.66,0.87
270,0.44,0.82,0.56,0.78,0.26,0.6
278,0,NA,0.01,0.75,0.01,0
284,0.04,0.77,0.44,0.78,0.43,0.71
292,0.43,0.81,0.1,0.72,0.62,0.77
