Trait,Genetic1 ,Residual 2,Genetic ,Spatial ,Residual 
yld1-62,0.235,0.366,0.938,0.839,0
yld1-76,0.896,0.387,0.998,0.497,0.869
yld1-90,-0.961,-0.09,0.863,0.66,0
yld1-96,-0.73,0.08,0.92,0.23,0.74
yld1-104,NA,NA,0.735,0.134,0.798
yld1-114,0.019,0.505,0.513,0.374,0.725
yld2-130,0.694,0.487,0.732,0.409,0.766
yld2-138,0.506,0.381,0.713,0.368,0.971
yld2-144,0.835,0.688,0.806,0.716,0.634
yld2-150,0.976,0.849,0.829,0.934,0.85
yld3-166,0.805,0.644,0.897,0.612,0.62
yld3-174,-0.117,0.231,0.909,0.698,0.771
yld3-180,-0.868,0.1,0.842,0.452,0
yld5-256,-0.026,0.324,0.913,0.617,0.644
yld5-264,0.762,0.634,0.885,0.753,0.655
yld5-270,0.999,0.753,0.954,0.822,0.53
yld5-278,-0.489,0.16,0.799,0.459,0.738
yld5-284,-0.003,0.429,0.837,0.477,0.591
yld5-292,-0.103,0.079,0.811,0.348,0.544
