Trait,Genetic1 ,Residual 2,Genetic ,Spatial ,Residual 
yld1-62,0.94,0.59,0.92,0.77,0.92
yld1-76,0.95,0.84,0.94,0.89,0
yld1-90,0.92,0.75,0.91,0.9,0
yld1-96,0.99,0.95,0.91,0.94,0.78
yld1-104,0.99,0.83,0.88,0.87,0.82
yld1-114,0.99,0.82,0.89,0.86,0.57
yld2-130,0.24,0.48,0.82,0.52,0.82
yld2-138,0.26,0.5,0.85,0,0.88
yld2-144,0.93,0.89,0.89,0.8,0.76
yld2-150,0.96,0.89,0.95,0.97,0
yld3-166,-0.03,0.51,0.82,0.2,0.84
yld3-174,0.27,0.29,0.95,0.41,0.72
yld3-180,-0.68,0.82,0.92,0.81,0
yld4-188,-0.93,-0.76,0,-0.6,0
yld4-194,0.74,0.78,0.92,0.28,0.82
yld4-200,-0.34,-0.19,NA,NA,NA
yld4-206,0.28,0.79,0.96,0.74,0.62
yld5-216,-0.76,-0.24,0.46,0.08,0.06
yld5-222,-0.85,-0.39,0.87,0.18,0.67
yld5-228,-0.08,0.03,0.77,0.3,0.74
yld5-236,NA,NA,0.95,0.57,0.79
yld5-240,0.98,0.55,0.9,0.69,0.7
yld6-264,0.07,0.43,0.84,0.4,0.7
yld6-270,0.38,0.09,0.87,0.25,0.78
yld6-278,-0.83,-0.04,0.54,0.17,0.49
yld6-284,0.29,0.58,0.45,0.54,0.5
yld6-292,-0.56,0.29,0.13,0.5,0.31
