Trait,Genetic1 ,Residual 2,Genetic ,Spatial ,Residual 
yld1-62,-0.99,-0.19,NA,NA,NA
yld1-76,-0.99,0.29,NA,NA,NA
yld1-90,-0.99,-0.02,NA,NA,NA
yld1-104,-0.76,0.75,NA,NA,NA
yld1-114,0.99,0.93,NA,NA,NA
yld2-124,-0.93,-0.5,0.29,-0.38,0.24
yld2-130,0.97,0.74,0.41,0.5,0.76
yld2-138,0.3,0.81,0.88,0.24,0.63
yld2-144,-0.98,0.89,0.88,0.64,0.86
yld2-150,-0.97,0.91,-0.65,0.91,0.86
yld3-166,0.85,0.07,0.85,0.15,0.21
yld3-174,0.9,0.74,0.9,0.38,0.65
yld4-194,0.99,0.64,0.9,0.49,0
yld4-200,0.97,0.65,0.9,0.47,0.55
yld4-206,-0.96,0.86,0.97,0.5,0.73
yld5-222,0.25,0.32,0.73,0.36,0.15
yld5-236,NA,NA,0.93,0.38,0.47
yld5-240,0.36,0.63,0.76,0.48,0.33
yld6-264,-0.94,0.7,0.9,0.11,0.42
yld6-270,-0.97,0.77,-0.95,0.7,0.58
yld6-284,-0.93,0.35,NA,NA,NA
yld6-292,-0.97,0.5,NA,NA,NA
