Trait,Genetic ,Spatial 
yld1-62,0.92,0.77
yld1-76,0.94,0.89
yld1-90,0.91,0.9
yld1-96,0.91,0.94
yld1-104,0.88,0.87
yld1-114,0.89,0.86
yld2-130,0.82,0.52
yld2-138,0.85,0
yld2-144,0.89,0.8
yld2-150,0.95,0.97
yld3-166,0.82,0.2
yld3-174,0.95,0.41
yld3-180,0.92,0.81
yld4-188,0,-0.6
yld4-194,0.92,0.28
yld4-200,NA,NA
yld4-206,0.96,0.74
yld5-216,0.46,0.08
yld5-222,0.87,0.18
yld5-228,0.77,0.3
yld5-236,0.95,0.57
yld5-240,0.9,0.69
yld6-264,0.84,0.4
yld6-270,0.87,0.25
yld6-278,0.54,0.17
yld6-284,0.45,0.54
yld6-292,0.13,0.5
