"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","yld4","yld5","NDVI_62","NDVI_76","NDVI_90","NDVI_96","NDVI_104","NDVI_110","NDVI_114","NDVI_124","NDVI_130","NDVI_138","NDVI_144","NDVI_150","NDVI_160","NDVI_166","NDVI_174","NDVI_180","NDVI_188","NDVI_194","NDVI_200","NDVI_206","NDVI_216","NDVI_222","NDVI_228","NDVI_236","NDVI_240","NDVI_250","NDVI_256","NDVI_264","NDVI_270","NDVI_278","NDVI_284","NDVI_292"
"SW_1011",1,300,1,1,8.3,4.55,6.1,0.4,6.05,0.450568858,0.450915777,0.396815285,0.526684756,0.515866007,0.551538594,0.569178774,0.4217241,0.49050852,0.419094279,0.524506635,0.417351464,0.262539673,0.464649221,0.377501482,0.512856317,0.439945902,0.442658327,0.457570117,0.429880256,0.427097555,0.424468641,0.511417366,0.417279756,0.420137399,0.439777072,0.23049367,0.425819584,0.497962483,0.483285142,0.476293226,0.528467827
"SW_8421S",1,301,1,2,10.25,6.85,9.15,1.3,7.6,0.463592877,0.453427243,0.389756957,0.52182835,0.537286227,0.51572487,0.5809646,0.350784961,0.530198968,0.499593225,0.571518681,0.504022012,0.236856943,0.464943107,0.499310653,0.550292645,0.424829563,0.444396057,0.429192521,0.423748305,0.412076048,0.294131491,0.502685171,0.382982505,0.417101358,0.439609456,0.33858464,0.553732357,0.593701685,0.608205201,0.548581737,0.569137368
"NM1715PAR",2,302,1,3,7.8,5.4,7.05,0.6,6.45,0.498299591,0.467419552,0.350185054,0.490986864,0.463883372,0.531644234,0.554967871,0.290069264,0.483581692,0.468618937,0.552768116,0.46254947,0.202880713,0.464745082,0.480024375,0.57138969,0.42274642,0.443248846,0.45084467,0.40981367,0.379355157,0.29729308,0.442077991,0.392229399,0.399138737,0.44785084,0.269545136,0.452209125,0.554702039,0.582401971,0.54181325,0.575386977
"NM170506PAR",2,303,1,4,9.5,5.95,8.55,1.15,7.25,0.483607508,0.466717073,0.380694755,0.499669081,0.490785724,0.523213778,0.576656888,0.270829333,0.524662373,0.47302347,0.582125725,0.472109309,0.200509388,0.473128978,0.463724387,0.566495575,0.387960886,0.41252948,0.469126413,0.400518523,0.375999292,0.295702363,0.454037977,0.367144907,0.388748712,0.44310299,0.313089824,0.494299611,0.581074782,0.574582811,0.541571416,0.572098098
"SW_9813",3,304,1,5,9.35,5.35,8.2,0.85,7.1,0.479640606,0.462055388,0.375488825,0.501085356,0.46160684,0.441716363,0.577467485,0.293392227,0.514494304,0.453980805,0.573247145,0.414209866,0.169309529,0.455462464,0.416195536,0.543017139,0.344149121,0.370319782,0.41192324,0.356009454,0.371496751,0.280267768,0.480235953,0.309198658,0.34330877,0.447825324,0.329647481,0.447654469,0.55944293,0.54649542,0.492485139,0.530749631
"DONA_ANA",3,305,1,6,9.15,4.95,7.3,0.9,7.2,0.477244546,0.460276315,0.379459588,0.510131023,0.495142042,0.454116148,0.581547831,0.268722919,0.507499545,0.444016314,0.569083148,0.439747572,0.198417583,0.469653933,0.415984582,0.555148349,0.425381003,0.444784674,0.471730352,0.40856898,0.419609519,0.386354431,0.442972495,0.366398694,0.376288052,0.449403849,0.303109203,0.480120546,0.565902375,0.582050326,0.52849293,0.561099521
"NM1712PAR",4,306,1,7,8.35,4.9,6.45,0.4,5.65,0.488349297,0.463259757,0.359343521,0.489925734,0.456693397,0.473012629,0.568510745,0.308332124,0.493020976,0.445265604,0.567390717,0.445819908,0.252420272,0.465719927,0.421350202,0.562048323,0.436328534,0.44574753,0.483870993,0.419388956,0.426985829,0.440658018,0.487474578,0.399691221,0.432039444,0.43898478,0.258308667,0.418966964,0.525857424,0.52244141,0.509658922,0.549820172
"NM1704PAR",4,307,1,8,9.15,4.85,7.1,0.7,6.35,0.485055678,0.463810909,0.362459045,0.498803449,0.476668493,0.456136643,0.582389969,0.461470031,0.515467847,0.473754546,0.584803478,0.449678933,0.424025989,0.457248848,0.413110032,0.564572049,0.431486631,0.438227235,0.456436274,0.406409521,0.409783625,0.501505692,0.557072737,0.441227672,0.452498316,0.446249297,0.301873437,0.442718013,0.54221557,0.534122112,0.522832385,0.562105538
"NUMEX_BILL_MELTON_CA_2019",4,308,2,8,10.5,6.35,7.9,1.1,7.1,0.48868013,0.467035751,0.389309961,0.505175723,0.469655555,0.492730233,0.590773994,0.530190793,0.50711542,0.470046411,0.587847789,0.472714068,0.370822113,0.454875762,0.399874495,0.567160381,0.431976068,0.444937945,0.460979722,0.408669573,0.362749008,0.47867542,0.554391862,0.436966234,0.442885887,0.440732301,0.323522637,0.455634966,0.54656488,0.531311808,0.516821679,0.54651765
"NUMEX_BILL_MELTON_CA_2019",4,309,2,7,10.8,6.8,7.8,1.05,6.7,0.484602745,0.465170029,0.404688859,0.506300131,0.489482861,0.460070213,0.582243249,0.26739764,0.507347171,0.461320304,0.585654895,0.479354833,0.298827975,0.459940531,0.414556963,0.569008381,0.444117848,0.429374237,0.484729757,0.4144545,0.427806454,0.373407126,0.455167726,0.378880526,0.389754907,0.442111128,0.302839489,0.441139849,0.548162702,0.522123253,0.51221128,0.541541013
"NUMEX_BILL_MELTON_CA_2019",3,310,2,6,10,6,6.8,0.7,6.3,0.482727734,0.456921228,0.424050907,0.501390133,0.478062849,0.473288373,0.572183378,0.309121493,0.49092586,0.43430032,0.570346148,0.454494023,0.247147552,0.455256957,0.37566972,0.558145281,0.440357567,0.435232414,0.476871058,0.411027404,0.426065955,0.380660766,0.445413027,0.373379451,0.372181408,0.431783359,0.291872766,0.426553901,0.53353396,0.528899472,0.487317895,0.549607263
"NUMEX_BILL_MELTON_CA_2019",3,311,2,5,9.95,6.2,7.3,0.95,6.7,0.481630142,0.463680835,0.38865787,0.507437153,0.449814254,0.507833394,0.571395227,0.282513071,0.498490145,0.429582668,0.573379807,0.440515055,0.16975643,0.450118513,0.388948223,0.564415208,0.417321293,0.438637478,0.466416693,0.404634514,0.421064745,0.250434746,0.483226253,0.259527556,0.272299883,0.448052358,0.31593219,0.445573548,0.556786341,0.49999137,0.478574006,0.534089191
"NUMEX_BILL_MELTON_CA_2019",2,312,2,4,9.15,5.75,7.25,0.55,6.35,0.479784251,0.469405413,0.387974989,0.494258547,0.455759911,0.517768312,0.553478907,0.273210825,0.486807631,0.426650109,0.55614126,0.449553191,0.191448731,0.43645347,0.406616949,0.5674139,0.423697683,0.438340755,0.469597009,0.406119818,0.400700892,0.288719631,0.44004069,0.344112047,0.324818741,0.442380988,0.316952064,0.461380339,0.564306338,0.518566041,0.489445564,0.539087874
"NUMEX_BILL_MELTON_CA_2019",2,313,2,3,8.65,6.75,7.35,0.8,6.95,0.479934235,0.459781062,0.397688219,0.480884567,0.456746183,0.543103028,0.545057378,0.319294032,0.484373774,0.460038079,0.556427844,0.476689526,0.217121376,0.4476246,0.429741178,0.548262364,0.429439878,0.427509159,0.434014112,0.411606056,0.407336648,0.271158572,0.428174639,0.345735455,0.388096431,0.451839471,0.316653111,0.508555161,0.588170874,0.575349597,0.516100908,0.551783711
