"Germplasm","Rep","Plot","Row","Range","NDRE_62","NDRE_76","NDRE_90","NDRE_96","NDRE_104","NDRE_110","NDRE_114","NDRE_124","NDRE_130","NDRE_138","NDRE_144","NDRE_150","NDRE_160","NDRE_166","NDRE_174","NDRE_180","NDRE_188","NDRE_194","NDRE_200","NDRE_206","NDRE_216","NDRE_222","NDRE_228","NDRE_236","NDRE_240","NDRE_250","NDRE_256","NDRE_264","NDRE_270","NDRE_278","NDRE_284","NDRE_292"
"SW_1011",1,300,1,1,0.5034717,0.479916,0.360062679,0.415700049,0.370661184,0.419071383,0.475652184,0.424529596,0.404290119,0.406825066,0.432582734,0.394316797,0.479301709,0.442945221,0.313887796,0.382922937,0.442421921,0.436322859,0.460799876,0.444141375,0.383896989,0.455376082,0.535300866,0.438040531,0.445772839,0.444697234,0.243045026,0.311948285,0.419268614,0.362492763,0.271876497,0.339382888
"SW_8421S",1,301,1,2,0.469129826,0.445244163,0.331640021,0.430506418,0.390211568,0.401306684,0.470182006,0.424012866,0.436768318,0.436699422,0.49664329,0.427374193,0.240775686,0.424704953,0.344346312,0.42589046,0.421801508,0.402740886,0.486214233,0.41981496,0.319785673,0.341985743,0.513248543,0.397741922,0.466878958,0.452915524,0.290311496,0.339715801,0.442110645,0.373058528,0.27206797,0.31915451
"NM1715PAR",2,302,1,3,0.48256198,0.456139291,0.327215892,0.417904292,0.329636408,0.411998638,0.446615684,0.301697125,0.427234429,0.364171666,0.477948957,0.404887191,0.174138819,0.441144165,0.28435756,0.392225652,0.431159425,0.424775974,0.456234561,0.425153221,0.249219783,0.353101621,0.491282759,0.412618604,0.471907205,0.456895236,0.246314497,0.29076009,0.415741808,0.380158665,0.312885577,0.364677026
"NM170506PAR",2,303,1,4,0.480472937,0.470896088,0.323284059,0.410604665,0.3634989,0.405787967,0.462414088,0.271876247,0.441399719,0.353842614,0.493912992,0.397302823,0.20073978,0.438043903,0.267637494,0.419251944,0.395958645,0.399839016,0.486115937,0.419734025,0.266666667,0.344927099,0.4896971,0.390914683,0.462657089,0.452791841,0.26304602,0.314787327,0.42773006,0.393331762,0.296129215,0.330131084
"SW_9813",3,304,1,5,0.494585694,0.493693428,0.329344875,0.422642739,0.344496233,0.383748933,0.435362762,0.28769096,0.41185628,0.371699781,0.449087967,0.296610345,0.202496757,0.446886571,0.274921017,0.381629279,0.367277413,0.364061157,0.495157146,0.363124747,0.31763719,0.260643099,0.511275056,0.345290719,0.437077945,0.463938089,0.257437826,0.301892195,0.408080479,0.394396588,0.278697711,0.304223791
"DONA_ANA",3,305,1,6,0.473089891,0.471777744,0.343836505,0.421406321,0.377070445,0.387703979,0.456972668,0.270266772,0.421330121,0.351254523,0.478561302,0.363039061,0.307186905,0.442399617,0.276144908,0.421710868,0.425359613,0.413407774,0.500068945,0.411077931,0.43232892,0.340535695,0.508337019,0.392237607,0.441475357,0.462664658,0.27478405,0.319776455,0.407782465,0.396314881,0.29681399,0.333508954
"NM1712PAR",4,306,1,7,0.478622771,0.460032562,0.361216976,0.438830168,0.351931319,0.397145891,0.442725746,0.299154751,0.42745744,0.360537404,0.477872517,0.410941501,0.383230526,0.430801237,0.311134851,0.420724179,0.438537168,0.42942765,0.455309096,0.434605452,0.367804964,0.409442498,0.525630217,0.417190476,0.47873119,0.444475049,0.242048644,0.282177653,0.415731407,0.373535902,0.319086404,0.373761804
"NM1704PAR",4,307,1,8,0.45717085,0.446666165,0.359098965,0.426658203,0.369537447,0.38724978,0.44048608,0.456237617,0.411332354,0.409580141,0.458375857,0.402884148,0.496301006,0.427266034,0.293242836,0.409950359,0.433867482,0.422113581,0.464761629,0.40882077,0.377744446,0.504957345,0.558989062,0.458592943,0.483811004,0.455351616,0.252758375,0.274349584,0.406735458,0.370990314,0.307059246,0.369753296
"NUMEX_BILL_MELTON_CA_2019",4,308,2,8,0.456674761,0.447223406,0.391152625,0.418559216,0.378323295,0.38713743,0.445237358,0.55286171,0.394776496,0.394056237,0.440078596,0.392427276,0.482233883,0.430656904,0.310735154,0.392591091,0.43131644,0.426850948,0.467139233,0.409432182,0.345594473,0.488842545,0.554436287,0.458414985,0.483815929,0.452883951,0.257041661,0.263987564,0.404508127,0.338297541,0.293066826,0.326119095
"NUMEX_BILL_MELTON_CA_2019",4,309,2,7,0.468775555,0.449957543,0.368613471,0.417449406,0.392418543,0.384048108,0.458283802,0.269229102,0.43476306,0.358785992,0.480991248,0.409491884,0.411788442,0.422162232,0.333360846,0.408284632,0.428653595,0.411304244,0.463829892,0.408918496,0.409597788,0.32522359,0.50026636,0.398195536,0.502979739,0.462282389,0.260167041,0.290085451,0.428365347,0.318338274,0.27824987,0.319678563
