"plotNumber","germplasmName","replicate","rowNumber","colNumber","name","value","trait","doy","harvest","GDD_sum","loc","year"
100,"SW_8421S",1,1,1,"GNDVI_61.5013888888889",0.0328406102927246,"GNDVI",62,"1",208,"NMSU-NOR","2022"
101,"SW_1011",1,1,2,"GNDVI_61.5013888888889",0.0335551686502355,"GNDVI",62,"1",208,"NMSU-NOR","2022"
102,"SW_9813",2,1,3,"GNDVI_61.5013888888889",0.0470701671561056,"GNDVI",62,"1",208,"NMSU-NOR","2022"
103,"DONA_ANA",2,1,4,"GNDVI_61.5013888888889",0.029870457848085,"GNDVI",62,"1",208,"NMSU-NOR","2022"
104,"NM1715PAR",3,1,5,"GNDVI_61.5013888888889",-0.057163995792802,"GNDVI",62,"1",208,"NMSU-NOR","2022"
105,"NM170506PAR",3,1,6,"GNDVI_61.5013888888889",-0.0119042032837206,"GNDVI",62,"1",208,"NMSU-NOR","2022"
106,"NM1704PAR",4,1,7,"GNDVI_61.5013888888889",-0.0346002748752517,"GNDVI",62,"1",208,"NMSU-NOR","2022"
107,"NM1712PAR",4,1,8,"GNDVI_61.5013888888889",-0.0929553940798541,"GNDVI",62,"1",208,"NMSU-NOR","2022"
108,"NUMEX_BILL_MELTON_CA_2019",4,2,8,"GNDVI_61.5013888888889",-0.0696491063944592,"GNDVI",62,"1",208,"NMSU-NOR","2022"
109,"NUMEX_BILL_MELTON_CA_2019",4,2,7,"GNDVI_61.5013888888889",-0.0671238707592469,"GNDVI",62,"1",208,"NMSU-NOR","2022"
110,"NUMEX_BILL_MELTON_CA_2019",3,2,6,"GNDVI_61.5013888888889",-0.0373083082462242,"GNDVI",62,"1",208,"NMSU-NOR","2022"
111,"NUMEX_BILL_MELTON_CA_2019",3,2,5,"GNDVI_61.5013888888889",0.0014307516373706,"GNDVI",62,"1",208,"NMSU-NOR","2022"
112,"NUMEX_BILL_MELTON_CA_2019",2,2,4,"GNDVI_61.5013888888889",0.00223832453150583,"GNDVI",62,"1",208,"NMSU-NOR","2022"
113,"NUMEX_BILL_MELTON_CA_2019",2,2,3,"GNDVI_61.5013888888889",0.00905965287228169,"GNDVI",62,"1",208,"NMSU-NOR","2022"
114,"NUMEX_BILL_MELTON_CA_2019",1,2,2,"GNDVI_61.5013888888889",-0.00671307208996708,"GNDVI",62,"1",208,"NMSU-NOR","2022"
115,"NUMEX_BILL_MELTON_CA_2019",1,2,1,"GNDVI_61.5013888888889",0.00265125032304157,"GNDVI",62,"1",208,"NMSU-NOR","2022"
116,"AFX_779",1,3,1,"GNDVI_61.5013888888889",-0.00799051991720703,"GNDVI",62,"1",208,"NMSU-NOR","2022"
117,"NM1703PAR",1,3,2,"GNDVI_61.5013888888889",0.00324107511561749,"GNDVI",62,"1",208,"NMSU-NOR","2022"
118,"SW_1011",2,3,3,"GNDVI_61.5013888888889",0.0142698221854887,"GNDVI",62,"1",208,"NMSU-NOR","2022"
119,"NM1715PAR",2,3,4,"GNDVI_61.5013888888889",-0.0777308967306718,"GNDVI",62,"1",208,"NMSU-NOR","2022"
120,"NM1703PAR",3,3,5,"GNDVI_61.5013888888889",0.00126071317437016,"GNDVI",62,"1",208,"NMSU-NOR","2022"
121,"SW_9720",3,3,6,"GNDVI_61.5013888888889",-0.0476851045140996,"GNDVI",62,"1",208,"NMSU-NOR","2022"
122,"NUMEX_BILL_MELTON_CA_2019",4,3,7,"GNDVI_61.5013888888889",-0.0638574523374976,"GNDVI",62,"1",208,"NMSU-NOR","2022"
123,"AMERISTAND_803T",4,3,8,"GNDVI_61.5013888888889",-0.0503102991008805,"GNDVI",62,"1",208,"NMSU-NOR","2022"
124,"NM1702PAR",4,4,8,"GNDVI_61.5013888888889",-0.0784692502216698,"GNDVI",62,"1",208,"NMSU-NOR","2022"
125,"AFX_779",4,4,7,"GNDVI_61.5013888888889",-0.0613574776979831,"GNDVI",62,"1",208,"NMSU-NOR","2022"
126,"AFX_149092",3,4,6,"GNDVI_61.5013888888889",-0.0308481227230292,"GNDVI",62,"1",208,"NMSU-NOR","2022"
127,"NUMEX_BILL_MELTON_FG2011",3,4,5,"GNDVI_61.5013888888889",-0.0635887805501423,"GNDVI",62,"1",208,"NMSU-NOR","2022"
128,"NUMEX_BILL_MELTON_CA_2019",2,4,4,"GNDVI_61.5013888888889",-0.0403662841089513,"GNDVI",62,"1",208,"NMSU-NOR","2022"
129,"AFX_149092",2,4,3,"GNDVI_61.5013888888889",-0.00758975230162565,"GNDVI",62,"1",208,"NMSU-NOR","2022"
130,"TMA_990",1,4,2,"GNDVI_61.5013888888889",0.0201940832930899,"GNDVI",62,"1",208,"NMSU-NOR","2022"
131,"NM1704PAR",1,4,1,"GNDVI_61.5013888888889",-0.0211499849603486,"GNDVI",62,"1",208,"NMSU-NOR","2022"
132,"NUMEX_BILL_MELTON_CA_2019",1,5,1,"GNDVI_61.5013888888889",-0.0366349065211099,"GNDVI",62,"1",208,"NMSU-NOR","2022"
133,"NUMEX_BILL_MELTON_CA_2019",1,5,2,"GNDVI_61.5013888888889",-0.0524837700744669,"GNDVI",62,"1",208,"NMSU-NOR","2022"
134,"NUMEX_BILL_MELTON_CA_2019",2,5,3,"GNDVI_61.5013888888889",-0.0630917631690544,"GNDVI",62,"1",208,"NMSU-NOR","2022"
135,"NUMEX_BILL_MELTON_CA_2019",2,5,4,"GNDVI_61.5013888888889",-0.0750320010925946,"GNDVI",62,"1",208,"NMSU-NOR","2022"
136,"NUMEX_BILL_MELTON_CA_2019",3,5,5,"GNDVI_61.5013888888889",-0.0781910243554659,"GNDVI",62,"1",208,"NMSU-NOR","2022"
137,"NUMEX_BILL_MELTON_CA_2019",3,5,6,"GNDVI_61.5013888888889",-0.0813431480999628,"GNDVI",62,"1",208,"NMSU-NOR","2022"
138,"NUMEX_BILL_MELTON_CA_2019",4,5,7,"GNDVI_61.5013888888889",-0.0953768229785987,"GNDVI",62,"1",208,"NMSU-NOR","2022"
139,"NUMEX_BILL_MELTON_CA_2019",4,5,8,"GNDVI_61.5013888888889",-0.0957804839014738,"GNDVI",62,"1",208,"NMSU-NOR","2022"
140,"NM1713PAR",4,6,8,"GNDVI_61.5013888888889",-0.118201411835042,"GNDVI",62,"1",208,"NMSU-NOR","2022"
141,"AFX_149092",4,6,7,"GNDVI_61.5013888888889",-0.0675837999174359,"GNDVI",62,"1",208,"NMSU-NOR","2022"
142,"NM1705PAR",3,6,6,"GNDVI_61.5013888888889",-0.0683478944711959,"GNDVI",62,"1",208,"NMSU-NOR","2022"
143,"DONA_ANA",3,6,5,"GNDVI_61.5013888888889",-0.048155306413493,"GNDVI",62,"1",208,"NMSU-NOR","2022"
144,"NUMEX_BILL_MELTON_FG2011",2,6,4,"GNDVI_61.5013888888889",-0.0756516782547364,"GNDVI",62,"1",208,"NMSU-NOR","2022"
145,"SW_8888",2,6,3,"GNDVI_61.5013888888889",-0.0504496061692946,"GNDVI",62,"1",208,"NMSU-NOR","2022"
146,"DONA_ANA",1,6,2,"GNDVI_61.5013888888889",-0.0160761577912373,"GNDVI",62,"1",208,"NMSU-NOR","2022"
147,"AFX_149092",1,6,1,"GNDVI_61.5013888888889",-0.00511851900096929,"GNDVI",62,"1",208,"NMSU-NOR","2022"
148,"NUMEX_BILL_MELTON_CA_2019",1,7,1,"GNDVI_61.5013888888889",-0.0347076675184583,"GNDVI",62,"1",208,"NMSU-NOR","2022"
149,"NM170506PAR",1,7,2,"GNDVI_61.5013888888889",-0.0290205883714521,"GNDVI",62,"1",208,"NMSU-NOR","2022"
150,"SW_9720",2,7,3,"GNDVI_61.5013888888889",-0.0206530277657122,"GNDVI",62,"1",208,"NMSU-NOR","2022"
151,"AMERISTAND_803T",2,7,4,"GNDVI_61.5013888888889",-0.0228297423524575,"GNDVI",62,"1",208,"NMSU-NOR","2022"
152,"SW_8421S",3,7,5,"GNDVI_61.5013888888889",-0.0433917039509351,"GNDVI",62,"1",208,"NMSU-NOR","2022"
153,"NM1713PAR",3,7,6,"GNDVI_61.5013888888889",-0.108963881673111,"GNDVI",62,"1",208,"NMSU-NOR","2022"
154,"NUMEX_BILL_MELTON_FG2011",4,7,7,"GNDVI_61.5013888888889",-0.10781220394027,"GNDVI",62,"1",208,"NMSU-NOR","2022"
155,"TMA_990",4,7,8,"GNDVI_61.5013888888889",-0.0399463031599397,"GNDVI",62,"1",208,"NMSU-NOR","2022"
156,"NUMEX_BILL_MELTON_CA_2019",4,8,8,"GNDVI_61.5013888888889",-0.0620739419255649,"GNDVI",62,"1",208,"NMSU-NOR","2022"
157,"NUMEX_BILL_MELTON_CA_2019",4,8,7,"GNDVI_61.5013888888889",-0.0717658842869151,"GNDVI",62,"1",208,"NMSU-NOR","2022"
158,"NUMEX_BILL_MELTON_CA_2019",3,8,6,"GNDVI_61.5013888888889",-0.0603362559009087,"GNDVI",62,"1",208,"NMSU-NOR","2022"
159,"NUMEX_BILL_MELTON_CA_2019",3,8,5,"GNDVI_61.5013888888889",-0.0580065750086526,"GNDVI",62,"1",208,"NMSU-NOR","2022"
160,"NUMEX_BILL_MELTON_CA_2019",2,8,4,"GNDVI_61.5013888888889",-0.0606390399510844,"GNDVI",62,"1",208,"NMSU-NOR","2022"
161,"NUMEX_BILL_MELTON_CA_2019",2,8,3,"GNDVI_61.5013888888889",-0.0347567242696209,"GNDVI",62,"1",208,"NMSU-NOR","2022"
162,"NUMEX_BILL_MELTON_CA_2019",1,8,2,"GNDVI_61.5013888888889",-0.0761684908303027,"GNDVI",62,"1",208,"NMSU-NOR","2022"
163,"NUMEX_BILL_MELTON_CA_2019",1,8,1,"GNDVI_61.5013888888889",-0.0699818632086204,"GNDVI",62,"1",208,"NMSU-NOR","2022"
164,"NUMEX_BILL_MELTON_FG2011",1,9,1,"GNDVI_61.5013888888889",-0.0884324407817638,"GNDVI",62,"1",208,"NMSU-NOR","2022"
165,"SW_9720",1,9,2,"GNDVI_61.5013888888889",-0.0456514187448642,"GNDVI",62,"1",208,"NMSU-NOR","2022"
166,"NM1712PAR",2,9,3,"GNDVI_61.5013888888889",-0.0906452852056128,"GNDVI",62,"1",208,"NMSU-NOR","2022"
167,"NUMEX_BILL_MELTON_FG2012",2,9,4,"GNDVI_61.5013888888889",-0.0873114766481386,"GNDVI",62,"1",208,"NMSU-NOR","2022"
168,"NM1702PAR",3,9,5,"GNDVI_61.5013888888889",-0.0875855285265207,"GNDVI",62,"1",208,"NMSU-NOR","2022"
169,"AFX_779",3,9,6,"GNDVI_61.5013888888889",-0.0626988268267159,"GNDVI",62,"1",208,"NMSU-NOR","2022"
170,"SW_8421S",4,9,7,"GNDVI_61.5013888888889",-0.0418437544395,"GNDVI",62,"1",208,"NMSU-NOR","2022"
171,"SW_8888",4,9,8,"GNDVI_61.5013888888889",-0.0581762793552641,"GNDVI",62,"1",208,"NMSU-NOR","2022"
172,"NM1703PAR",4,10,8,"GNDVI_61.5013888888889",-0.0128472814411696,"GNDVI",62,"1",208,"NMSU-NOR","2022"
173,"SW_9813",4,10,7,"GNDVI_61.5013888888889",0.00595336535351523,"GNDVI",62,"1",208,"NMSU-NOR","2022"
174,"TMA_990",3,10,6,"GNDVI_61.5013888888889",0.00272367189790693,"GNDVI",62,"1",208,"NMSU-NOR","2022"
175,"NM1704PAR",3,10,5,"GNDVI_61.5013888888889",-0.0567086885880031,"GNDVI",62,"1",208,"NMSU-NOR","2022"
176,"MESQUITE",2,10,4,"GNDVI_61.5013888888889",-0.0574202657141457,"GNDVI",62,"1",208,"NMSU-NOR","2022"
