"","germplasmName","replicate","plotNumber","rowNumber","colNumber","name","value","doy","harvest","trait","GDD_sum","loc","year"
"1","SW_8421S",1,100,1,8,"NDRE_day.61.5013888888889.COMP.0005028",0.452353668127177,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"2","SW_1011",1,101,1,7,"NDRE_day.61.5013888888889.COMP.0005028",0.489160690704244,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"3","SW_9813",2,102,1,6,"NDRE_day.61.5013888888889.COMP.0005028",0.527021212577102,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"4","DONA_ANA",2,103,1,5,"NDRE_day.61.5013888888889.COMP.0005028",0.530059113708909,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"5","NM1715PAR",3,104,1,4,"NDRE_day.61.5013888888889.COMP.0005028",0.522584375846732,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"6","NM170506PAR",3,105,1,3,"NDRE_day.61.5013888888889.COMP.0005028",0.502428998880029,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"7","NM1704PAR",4,106,1,2,"NDRE_day.61.5013888888889.COMP.0005028",0.470313758922154,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"8","NM1712PAR",4,107,1,1,"NDRE_day.61.5013888888889.COMP.0005028",0.495132073726019,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"9","NUMEX_BILL_MELTON_CA_2019",4,108,2,1,"NDRE_day.61.5013888888889.COMP.0005028",0.47830416395032,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"10","NUMEX_BILL_MELTON_CA_2019",4,109,2,2,"NDRE_day.61.5013888888889.COMP.0005028",0.483073912863243,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"11","NUMEX_BILL_MELTON_CA_2019",3,110,2,3,"NDRE_day.61.5013888888889.COMP.0005028",0.49631948161806,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"12","NUMEX_BILL_MELTON_CA_2019",3,111,2,4,"NDRE_day.61.5013888888889.COMP.0005028",0.54387559968574,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"13","NUMEX_BILL_MELTON_CA_2019",2,112,2,5,"NDRE_day.61.5013888888889.COMP.0005028",0.509228056098825,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"14","NUMEX_BILL_MELTON_CA_2019",2,113,2,6,"NDRE_day.61.5013888888889.COMP.0005028",0.525773376421684,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"15","NUMEX_BILL_MELTON_CA_2019",1,114,2,7,"NDRE_day.61.5013888888889.COMP.0005028",0.488374571264299,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"16","NUMEX_BILL_MELTON_CA_2019",1,115,2,8,"NDRE_day.61.5013888888889.COMP.0005028",0.462652992996005,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"17","AFX_779",1,116,3,8,"NDRE_day.61.5013888888889.COMP.0005028",0.497069352899722,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"18","NM1703PAR",1,117,3,7,"NDRE_day.61.5013888888889.COMP.0005028",0.515145011116126,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"19","SW_1011",2,118,3,6,"NDRE_day.61.5013888888889.COMP.0005028",0.563622185447069,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"20","NM1715PAR",2,119,3,5,"NDRE_day.61.5013888888889.COMP.0005028",0.496326585909052,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"21","NM1703PAR",3,120,3,4,"NDRE_day.61.5013888888889.COMP.0005028",0.463877488980088,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"22","SW_9720",3,121,3,3,"NDRE_day.61.5013888888889.COMP.0005028",0.512867292,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"23","NUMEX_BILL_MELTON_CA_2019",4,122,3,2,"NDRE_day.61.5013888888889.COMP.0005028",0.47854570984404,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"24","AMERISTAND_803T",4,123,3,1,"NDRE_day.61.5013888888889.COMP.0005028",0.48812889496884,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"25","NM1702PAR",4,124,4,1,"NDRE_day.61.5013888888889.COMP.0005028",0.498104408003611,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"26","AFX_779",4,125,4,2,"NDRE_day.61.5013888888889.COMP.0005028",0.475205859222691,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"27","AFX_149092",3,126,4,3,"NDRE_day.61.5013888888889.COMP.0005028",0.459503393538069,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"28","NUMEX_BILL_MELTON_FG2011",3,127,4,4,"NDRE_day.61.5013888888889.COMP.0005028",0.466162679905722,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"29","NUMEX_BILL_MELTON_CA_2019",2,128,4,5,"NDRE_day.61.5013888888889.COMP.0005028",0.477089413770623,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"30","AFX_149092",2,129,4,6,"NDRE_day.61.5013888888889.COMP.0005028",0.461051942129918,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"31","TMA_990",1,130,4,7,"NDRE_day.61.5013888888889.COMP.0005028",0.492435086606264,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"32","NM1704PAR",1,131,4,8,"NDRE_day.61.5013888888889.COMP.0005028",0.452528458953914,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"33","NUMEX_BILL_MELTON_CA_2019",1,132,5,8,"NDRE_day.61.5013888888889.COMP.0005028",0.467667215184018,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"34","NUMEX_BILL_MELTON_CA_2019",1,133,5,7,"NDRE_day.61.5013888888889.COMP.0005028",0.464895775872156,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"35","NUMEX_BILL_MELTON_CA_2019",2,134,5,6,"NDRE_day.61.5013888888889.COMP.0005028",0.48026544974341,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"36","NUMEX_BILL_MELTON_CA_2019",2,135,5,5,"NDRE_day.61.5013888888889.COMP.0005028",0.495024683280795,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"37","NUMEX_BILL_MELTON_CA_2019",3,136,5,4,"NDRE_day.61.5013888888889.COMP.0005028",0.478279318492725,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"38","NUMEX_BILL_MELTON_CA_2019",3,137,5,3,"NDRE_day.61.5013888888889.COMP.0005028",0.466658977316417,62,"1","NDRE",30.5,"NMSU-NOR","2022"
"39","NUMEX_BILL_MELTON_CA_2019",4,138,5,2,"NDRE_day.61.5013888888889.COMP.0005028",0.479444695184127,62,"1","NDRE",30.5,"NMSU-NOR","2022"
