"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","yld4","yld5","yld6","NDRE_62","NDRE_76","NDRE_90","NDRE_96","NDRE_104","NDRE_110","NDRE_114","NDRE_124","NDRE_130","NDRE_138","NDRE_144","NDRE_150","NDRE_160","NDRE_166","NDRE_174","NDRE_180","NDRE_188","NDRE_194","NDRE_200","NDRE_206","NDRE_216","NDRE_222","NDRE_228","NDRE_236","NDRE_240","NDRE_250","NDRE_256","NDRE_264","NDRE_270","NDRE_278","NDRE_284","NDRE_292"
"SW_8421S",1,100,1,1,8.65,4.95,5.6282017794,4.25,7.55,6,0.452353668127177,0.461576538876328,0.35461019864808,0.422460608804338,0.32323350908991,0.474924196053448,0.461050911592707,0.301080607633571,0.404663952932279,0.388480211005319,0.451525963183327,0.399253053159867,0.496079112707381,0.421852327597033,0.359303093943617,0.390372843321193,0.346044778540035,0.357864085380988,0.30387606519401,0.453596786813034,0.437545739,0.260131121166415,0.259518738831363,0.3308632246281,0.376866735066119,0.355389397785381,0.297435393308181,0.322488313190482,0.40423756059177,0.302479884854062,0.213909781107013,0.222727713421259
"SW_1011",1,101,1,2,8.25,5.2,5.2720288434,4.2,7.55,5.85,0.489160690704244,0.464665596844023,0.333071883671649,0.396561984338658,0.295125329543582,0.470746558462573,0.442379523328721,0.22872664549514,0.403491301886561,0.348396431948041,0.441301136,0.388433659120979,0.428227964445272,0.418771278747012,0.313406590530774,0.346532759445241,0.316508465734472,0.358788940821614,0.298989532067807,0.419419122245521,0.33948233948234,0.274491976788672,0.252470391665438,0.282419229155428,0.321674687072312,0.31459367987345,0.312337354092495,0.308083448223039,0.387857001,0.29358383404328,0.217208934855994,0.224674689559005
"SW_9813",2,102,1,3,8.1,6.25,5.0111388022,4.55,7.6,6.2,0.527021212577102,0.481499673133216,0.328528709516266,0.404971831193092,0.300300162588069,0.430709987966306,0.448646622062979,0.286514346306715,0.396547563421962,0.309047432720317,0.424538175940191,0.389096501345636,0.309156458810876,0.38451861454653,0.303605943802022,0.328295258065703,0.302742181916755,0.371634450235791,0.300379392263234,0.406851476,0.337919380595573,0.278434389140272,0.299805047612054,0.3008774342321,0.343825377792039,0.398067433683127,0.28995668950311,0.305809637108434,0.398010808944887,0.303584995971915,0.237848472722422,0.24590425087341
"DONA_ANA",2,103,1,4,7.2,5.5,5.1393579382,4.35,6.65,5.85,0.530059113708909,0.487375424167962,0.337125884208798,0.419343430864064,0.316209648281708,0.458257449403799,0.436988677768585,0.44635041922131,0.397471523556821,0.321072521047075,0.446780079553189,0.415199449659262,0.291063616902457,0.393949069247952,0.317458822033985,0.357331420373027,0.278510550337176,0.375763117398858,0.303376494023904,0.42502578999311,0.32764172247673,0.289649446457508,0.276259969156202,0.289324285729397,0.319557297627222,0.33521465621896,0.290058534792766,0.334217218137255,0.407044995763903,0.294767383275247,0.223375456,0.223254272832128
"NM1715PAR",3,104,1,5,3.85,3.55,3.1241909342,2.6,5.3,4.5,0.522584375846732,0.520636578266898,0.311530053488757,0.43042299402612,0.277539391825106,0.430167014352991,0.397184538887325,0.421083401845254,0.419134582725807,0.301535983942727,0.4263480818118,0.392121098414448,0.259880377070163,0.434511148753213,0.311839196806517,0.323366074384726,0.269205336093382,0.430838421444527,0.278827114530763,0.379430179697335,0.358374206177082,0.329335947712418,0.326687914616533,0.292007654497281,0.334171390826404,0.284962292609351,0.277937779377794,0.295208008,0.388894454420957,0.265225131,0.231159106176407,0.285660732105447
"NM170506PAR",3,105,1,6,5.1,4.65,4.7782899642,4,6.45,5.45,0.502428998880029,0.488643773500056,0.326535186,0.409841155803128,0.300935079914319,0.451989577887863,0.418342152499906,0.404976204421661,0.40807395,0.291031729719607,0.424826719008771,0.40269835034582,0.222175749255398,0.368774393614423,0.293186183382262,0.339814132640531,0.26093108872995,0.320912939422121,0.280245681605976,0.378708238738912,0.328197852380859,0.275618891953553,0.303316330040788,0.263133834724323,0.34229094068482,0.272717323327079,0.294387587,0.31318125174843,0.384582937038888,0.303647167085139,0.233713827411306,0.242657506
"NM1704PAR",4,106,1,7,5.45,5.15,4.5367336588,3.9,5.95,5.6,0.470313758922154,0.482118917473213,0.330539740418047,0.38856920112381,0.269422818146867,0.432407530011367,0.413985923168794,0.457270234301814,0.405628318484044,0.309996485660044,0.428064100451644,0.419402274685004,0.254757517799872,0.41702636,0.292816788633782,0.354575837839826,0.296910726012893,0.399545693720526,0.262256014413431,0.40730530110731,0.353009482096983,0.283072498743087,0.27639372353186,0.313684589102679,0.343677819881375,0.357444145773439,0.287866761162296,0.300121017156863,0.395518207282913,0.278649799269888,0.233707500094055,0.278452520205925
"NM1712PAR",4,107,1,8,3.7,3.4,3.2349250888,2.9,4.85,4.3,0.495132073726019,0.548204481,0.302509246820469,0.380995941960522,0.241388099,0.438080539028984,0.395213048682976,0.475576082264458,0.402235695694681,0.316033855788058,0.394865975587315,0.373551398033548,0.292409329238024,0.419032729840133,0.355854827750253,0.322107199352537,0.281985345457831,0.430936311739886,0.266835901027077,0.376695416041382,0.298156282948249,0.313652779530445,0.292642823921079,0.300600822958207,0.338330715576498,0.336642754662841,0.278893001198695,0.310028662471378,0.376523964843085,0.300192122718699,0.233509681398955,0.29304598565769
"NUMEX_BILL_MELTON",4,108,2,8,6.15,5.55,4.4770782048,4.35,6.15,5.5,0.47830416395032,0.482904409162263,0.316720022555801,0.382259445521558,0.28854115175482,0.444884286342552,0.394771605399948,0.509362221183349,0.385726597888038,0.294028339347565,0.386975475462834,0.424258965023266,0.310735987619173,0.430458261,0.346895486149432,0.322024894334794,0.302960030165912,0.430680565897245,0.272736150015562,0.360828458963323,0.283765966909302,0.281760281548517,0.276564155486756,0.259576591830762,0.286007479841396,0.340583636831843,0.300611084542218,0.291415824142157,0.36877434550231,0.305893179102178,0.237014292896646,0.26762359814165
"NUMEX_BILL_MELTON",4,109,2,7,4.95,4.6,3.9865131968,3.7,5.7,5.6,0.483073912863243,0.467421894589038,0.362164725627708,0.392995043,0.279808075190861,0.449567661424306,0.380947809046741,0.47288092180327,0.404802035657789,0.305348709202963,0.396003358608401,0.403358915578591,0.262434265636634,0.421772231006478,0.340778183389374,0.315166280395836,0.276046760257287,0.394932141970712,0.268620420279666,0.366467722323781,0.30835923031045,0.297430489204569,0.297034784950185,0.282776767423387,0.31742382498467,0.355579192708763,0.279426026546272,0.291811274156586,0.375217193957588,0.312351233974159,0.239795513982365,0.27530250602915
