"Germplasm","Plot","Rep","Row","Range","GNDVI_62","GNDVI_76","GNDVI_90","GNDVI_96","GNDVI_104","GNDVI_110","GNDVI_114","yld1","GNDVI_124","GNDVI_130","GNDVI_138","GNDVI_144","GNDVI_150","yld2","GNDVI_166","GNDVI_174","GNDVI_180","yld3","GNDVI_188","GNDVI_194","GNDVI_200","GNDVI_206","yld4","GNDVI_216","GNDVI_222","GNDVI_228","GNDVI_236","GNDVI_240","yld5","GNDVI_264","GNDVI_270","GNDVI_278","GNDVI_284","GNDVI_292","yld6"
"SW_8421S","100","1","1","1",0.0420054687549708,-0.017620216068894,0.0926969033825674,0.0307850804158435,0.080341071284465,-0.0133033265465381,-0.0107753752135668,0.0270218396166607,-0.0427790406927095,0.0125432076185366,0.0381246190021715,-0.00620171918052684,-0.0724891205238372,-1.31927483885905,-0.0186713282962983,0.0404542611644566,-0.0297815574492791,-1.05622612382683,0.0168137594671465,-0.0474322389152653,0.0436585909269067,-0.0376124081968067,-1.38215228756035,-0.0164603781145061,0.0397717195487456,0.00314690786239565,0.0136868115128595,0.00194286545860122,-1.11213488336057,0.0141395570835895,0.0128678748210494,0.0258851229672353,-0.0118355241121589,0.0114435445786704,-0.639651466553851
"SW_1011","101","1","1","2",0.0399439982642065,-0.0332618908796143,0.0718502819319856,-0.00352601750887875,0.0424594012104404,-0.00909693449014632,-0.0501661029979243,-0.984274857385744,-0.0402826639171892,0.000701229178020871,0.0331090982565793,-0.0259214999121858,-0.0771758019574981,-1.68992262669166,-0.0237606017136782,0.047552466161879,-0.0565755230809012,-1.66679310354567,0.0325546968337966,-0.0640688544529238,0.032310152614098,-0.0517702122424523,-1.65457017365503,0.00494274766961457,0.0474305035193488,0.00483832837578568,0.00560205487011465,-0.00437343442481665,-1.57599379618005,-0.00161107219304429,-0.00554385332027355,0.0128997170407965,-0.0156575101044583,-0.008160236094489,-0.88372651478247
"SW_9813","102","2","1","3",0.0487193200555976,-0.035699241579289,0.0641677867583139,-0.00516821915061636,0.0327543832762722,-0.0209337572561205,-0.043210305453617,-0.73876914933598,-0.0403228610403117,-0.00047969262018564,0.0335740045446483,-0.0251390836197288,-0.0435179472062171,-0.855024715103877,0.00386477490333579,0.0637429126984275,-0.0484320676807428,-1.71813699618765,0.0346509026959865,-0.0624668775431499,0.0399172981850116,-0.0486584575357561,-1.45686017420787,0.0150579726877442,0.0516354041332181,0.00916933568344477,0.00811346456745558,-0.00309724603290756,-1.46187371543472,0.00170470891993487,0.00188446323969532,0.0129116089932735,-0.0165431687747822,-0.00823737431052389,-0.879568176099691
"DONA_ANA","103","2","1","4",0.0469233978572921,-0.0459330648594239,0.0294054873849211,-0.0267202483091079,0.0116456756988147,-0.0129501371773576,-0.0705132773875994,-1.36429146735683,-0.0528416986698877,-0.0170638199527031,0.016380666991444,-0.0374935289441559,-0.0454196529054401,-0.84346158428588,0.00865214020218914,0.059951444592364,-0.0578241225081614,-1.63585217690718,0.0343703425409764,-0.0760651898550453,0.0245129622685008,-0.0682514647398923,-1.56961555031812,0.0116931863232456,0.0427587201227504,0.0117606287699735,0.000970806584155869,-0.00688434959825151,-1.78519381954825,-0.00395727412519445,0.00789751855303623,0.0200906695902959,-0.0167435926108251,-0.0125706729866599,-0.910735507405063
"NM1715PAR","104","3","1","5",0.0315352417682635,-0.059480857652708,0.0100583435353757,-0.0296498045104123,0.00600785523062226,-0.0190846859042192,-0.0845474842917935,-1.93879971908735,-0.0554562344354317,-0.0250887220443183,-0.00204415069539344,-0.0486712220012474,-0.0819013199221498,-1.68626004738236,-0.002468005587125,0.0430516016504591,-0.0627144254560589,-1.88731630883889,0.0391836318420421,-0.0710448540789545,0.0244914050535754,-0.0778640104051107,-1.73177251590841,-0.000775136760299956,0.0396431818342627,0.0086652185851436,-0.00435324107652628,-0.00527200323014471,-1.75144626913492,-0.00655768481443765,0.0119784156005003,0.0283002103117593,-0.0196126120639241,-0.0025990345424134,-1.00265566627574
"NM170506PAR","105","3","1","6",0.0107198117969535,-0.0811775160078051,-0.0213001863954742,-0.0582581675604442,-0.0176904778309824,-0.00762003529187822,-0.093886244557798,-2.98294551181485,-0.0401159014821435,-0.0357945557419993,-0.00711759210738023,-0.0522551473158828,-0.079028229531097,-2.08509379516504,0.003651571671652,0.0528128696407532,-0.0484161792548952,-1.96052934472654,0.0477888968921241,-0.0665541063709847,0.0297386481235128,-0.0638019192921227,-1.91286052205661,0.0146700721721937,0.0381732968094477,0.00789689153955613,-0.00169311298369127,-0.00594780709892719,-2.02413087617116,-0.00535937459915145,0.0110234334632019,0.0378094987313132,-0.0188056089451888,0.00359727779074307,-1.09510480072498
"NM1704PAR","106","4","1","7",0.00630446187432254,-0.065815705675243,-0.0075609643002237,-0.0458781735650388,-0.000823129746334016,-0.0227512661286632,-0.0688886270948375,-2.3838587982428,-0.0388113639046253,-0.0363437447471677,-0.00622549729582536,-0.0425805888353565,-0.0708571874861708,-1.9540381307882,-0.00925333563216888,0.0465598278285622,-0.0421114317431293,-1.83931732779104,0.0535143458919155,-0.0692385585106548,0.0353937631024625,-0.061227559689219,-1.9416325708589,0.00660224292921379,0.0355728078426772,0.0154788032770827,-0.00110908012080305,-0.00615422700183661,-1.86894739273048,0.00578267596064084,0.0172385768681946,0.0436117316316874,-0.0103867813266563,0.0147123940643068,-0.939832515906884
"NM1712PAR","107","4","1","8",-0.00960392208718984,-0.071229224124905,-0.00467227207415441,-0.0536621659161991,0.000435412430722167,-0.0145062335932886,-0.0670176679404723,-2.39836034025895,-0.0335833018306137,-0.0404016741357247,0.00456643174878978,-0.047570047700043,-0.0721702427714761,-2.08129096260236,-0.0433102197572556,0.0228573007816683,-0.0418946541113217,-1.9098765627313,0.0443156613513444,-0.0726475914808344,0.0271225702656233,-0.0550044948241054,-1.80187996444069,0.000901071959973262,0.0301169713628487,0.0242686669300844,-0.00425901819517509,-0.0129611228181258,-1.77285767272289,0.0047362034519594,0.00364103464110872,0.0339512759081061,-0.0177079230889885,-0.00365629739851732,-1.02889536338538
"NUMEX_BILL_MELTON_CA_2019","108","4","2","8",0.0408356608982685,0.0103296098111176,0.0711950325733005,0.0357446111111847,0.0646769779573743,0.00310545171892173,0.03462600990719,0.207724986851467,-0.0408533156184503,0.0123081430849251,0.0138469998693918,-0.00796387462996274,-0.0661130777388919,-1.24496149778316,-0.0232168266234492,0.0220625005741973,-0.0214489383488489,-0.784229201078356,0.00795905887415065,-0.0429143602398932,0.0490364398336227,-0.0337187446920189,-0.843333874771236,-0.0124356777797497,0.0273692488367968,-6.75426019326793e-05,0.0114194466869536,-0.00322106532273936,-0.914304858944258,0.0187967678044691,0.0235357503587398,0.0272100349815121,-0.00116169223797907,0.0195832765593407,-0.428495619895467
"NUMEX_BILL_MELTON_CA_2019","109","4","2","7",0.0388352991327904,-0.00248115512512884,0.0514196335323404,0.00283385684235781,0.0290958248391782,-0.00744092417211136,-0.00273329829407897,-0.888961498852248,-0.0402008548678265,-0.00142156808594724,0.00371177753068943,-0.0310184903182008,-0.0747485294556243,-1.77684959673181,-0.0369939964477685,0.0246151118622104,-0.0550444788869548,-1.47085569713067,0.0190960187240646,-0.0608429819463222,0.0360787666476012,-0.0535761907557322,-1.14659932083678,-0.000247788466090097,0.0335854207529285,0.000323788515605447,-0.00075364559421502,-0.0224122040319188,-1.46952547676732,-0.0016373137824632,0.00137576632179671,0.0118161589325387,-0.00792289045969924,-0.00443787010804854,-0.688848828793117
