"Germplasm","Plot","Rep","Row","Range","ndvi_62","ndvi_76","ndvi_90","ndvi_96","ndvi_104","ndvi_114","ndvi_138","ndvi_144","ndvi_150","yld2","ndvi_166","ndvi_174","ndvi_180","yld3","yld4","ndvi_256","ndvi_264","ndvi_270","ndvi_284","ndvi_292","yld5"
"SW_1011","300","1","1","1",-0.0247097378047785,-0.00812293422714306,-0.048265173188302,-0.00348823176396137,0.0348245367661751,-0.0180997826349542,-0.0169175205797441,-0.0231370032302391,-0.0291113122430412,-1.01568409345151,0.0119338912126927,-0.0110424298129225,-0.0175748759232278,-1.4397436451609,-0.351444969502026,-0.101434089804419,0.00112032750851696,-0.0347897662697594,0.0134562587654383,0.0134842761470334,-0.829377242631526
"SW_8421S","301","1","1","2",-0.00862322669979918,-0.00566137500731207,-0.068240123659845,-0.0180176784743182,0.0245467803421099,-0.0109067024846941,0.0486468673902202,0.013970985727151,0.0384280789981463,1.24251127432879,0.00818459038015185,0.0941350197363074,0.0124774476093319,0.826906846062546,0.288022913238628,-0.0390443762692912,0.0889733436018174,0.0380249400337473,0.0702557370281514,0.0339397012600384,0.34011081489494
"NM1715PAR","302","2","1","3",0.00341230974354649,0.00204791269202455,-0.0833573242553094,-0.0204245139587816,-0.00373637583450129,-0.0167124275735245,0.0365554312464274,0.0125036712440766,0.0190510293024284,0.600022648308694,0.0130928350817165,0.0899804526534864,0.00458642788379892,0.272730264663649,0.0559778936012545,-0.0351742667423655,0.0594408340809765,0.0283476000492441,0.0609241494571164,0.0269000016136664,0.231738180695605
"NM170506PAR","303","2","1","4",0.000404329371465015,0.00355626112944334,-0.0736948744938284,-0.0216046214893947,-0.00237313268786588,-0.0135339667222389,0.000872126952967594,0.00824709873571686,-0.0071710787365357,-0.158215149835019,0.0139123509508163,0.0626707683079602,0.00203500484630837,0.0348464337562503,0.0716902755171367,-0.0261237222774677,0.0386031946814692,0.00863586130721853,0.0426721451689381,0.0174030292547725,-0.110724086768055
"SW_9813","304","3","1","5",-0.00390531820531616,0.000574081186408438,-0.0733640313873618,-0.0171308624533322,-0.0079475171271118,-0.010344719173706,-0.00932661828682575,0.0117667076805446,-0.0330291951986167,-0.420437126211709,0.0152497787585893,0.0309297093908645,-0.000776968273604059,0.212754234693905,0.0529083245783568,-0.0436358952752019,0.0185181171699813,0.00900520534974834,0.0331411171120195,0.0132061925610411,0.0103708713540762
"DONA_ANA","305","3","1","6",-0.0051236197676941,-0.00356011651372192,-0.0663557473922092,-0.019518876295024,0.0073301902876919,-0.0122695278170672,-0.0163051340340118,0.00588230819087094,-0.0268435897044542,-0.605166458033014,0.0169848458709346,0.0189746451528231,0.000225387325542164,-0.475274694741471,-0.0409350851910971,-0.075372638149561,0.014347404093673,-0.0048870333399276,0.0427909320955559,0.0201393635860803,-0.207160841767936
"NM1712PAR","306","4","1","7",0.000639796458307443,-0.00362456329463514,-0.0826241980511273,-0.0190328890720447,0.00445582152485173,-0.0106645070679764,-0.00581636635145678,0.0186820709735967,-0.00700057355444645,-0.100565482616366,0.0162606483922428,0.0218286049466789,0.00730637132684948,-0.0957634483949066,0.0451561608238573,-0.0697371441955996,0.00992142109867953,0.0194935480243802,0.0470852757111218,0.0195000976915653,-0.0999997803044911
"NM1704PAR","307","4","1","8",0.00465142459599136,-0.00296066386969235,-0.0904389288789089,-0.0216821841293789,0.00567653048973835,-0.00940202454405566,-0.00239063970501873,0.0136355119544494,-0.0207798638598469,-0.666644792704444,0.0140585236673195,0.00472490552821833,0.00724749009659975,-0.223523178090735,0.0106544073651262,-0.0586395163962217,0.00481782208097212,-0.0105114883756409,0.0422511027151295,0.0146266303565483,-0.407994828885578
"NUMEX_BILL_MELTON_CA_2019","308","4","2","8",-0.029730861951719,-0.0105293435053879,-0.00738603257506773,0.0070610239116424,0.0427354646941458,-0.0271430040804713,-0.0358821078289052,-0.0300986914365899,-0.0381047525442523,-1.46275495921228,0.0021120639658139,-0.0245863094527851,-0.0131015696838985,-1.40689325904373,-0.380381076739263,-0.0892816815766904,-0.00439312658193446,-0.0464286381928776,-0.0090332345244268,0.0111089228292457,-0.843115583441429
"NUMEX_BILL_MELTON_CA_2019","309","4","2","7",-0.0112302610017278,-0.00745391613428628,-0.0293332232870139,-0.0207466884886012,0.0186523691476207,-0.0236708684915139,0.0308834503736864,0.0091151052177987,0.0304982734507019,1.05057832023053,-0.00370883492083094,0.0663828169624417,0.0197576443023509,0.702588767659508,0.257518028317785,-0.0296485846517368,0.0821497272612026,0.0452762529791349,0.0570872179259777,0.0400530454673068,0.446020600629564
