"Germplasm","Plot","Rep","Row","Range","ndvi_62","ndvi_76","ndvi_90","ndvi_104","ndvi_114","yld1","ndvi_124","ndvi_130","ndvi_138","ndvi_144","ndvi_150","yld2","ndvi_166","ndvi_174","yld3","ndvi_194","ndvi_200","ndvi_206","yld4","ndvi_222","ndvi_236","ndvi_240","yld5","ndvi_256","ndvi_264","ndvi_270","ndvi_284","ndvi_292","yld6"
"SW_8421S","100","1","1","1",0.0136117012783136,0.0113543081153568,-0.0578147953233317,0.0113178116245804,0.00765583062755727,0.0270218396166607,0.00671175444583812,-0.00384478265552699,0.0175098482067545,-0.0218461541343723,-0.0488374703532785,-1.31927483885905,-0.00404316488891078,0.00265446934352457,-1.05622612382683,-0.00393188449596267,-0.000824417030470211,-0.00949819732476572,-1.38215228756035,0.00241280348878535,0.00844200712646624,-0.0100756010253876,-1.11213488336057,-0.0432861161066817,-0.00723974106970494,-0.0129475976302222,0.00807814742000216,-0.00322093738546822,-0.639651466553851
"SW_1011","101","1","1","2",0.032150051475224,0.0156886445741125,-0.0699917621556375,-0.00684306694193919,-0.00668004876422794,-0.984274857385744,-0.0355703660589746,-0.00931367780509426,-0.0134949685154897,-0.0433656930428976,-0.0544308710115416,-1.68992262669166,-0.00231812870515422,-0.0436599417265785,-1.66679310354567,-0.0225168486412452,-0.00815266934147699,-0.0322618190225285,-1.65457017365503,-0.0187976285279099,0.00098519087999459,-0.0265283781167202,-1.57599379618005,-0.0428731347641511,-0.0122363112924174,-0.0237917436850638,-0.00235100317773323,-0.0197265961507079,-0.88372651478247
"SW_9813","102","2","1","3",0.0394805797472265,0.0256808509386422,-0.0766313606679989,-0.0147597848505582,-0.00625508573703974,-0.73876914933598,-0.0361974306020019,-0.0120675773629024,-0.0179893334884829,-0.0426906957956301,-0.0312808835178055,-0.855024715103877,-0.0110901947977482,-0.0279038271300582,-1.71813699618765,-0.0306021085149577,-0.00783596184998492,-0.0319406884959374,-1.45686017420787,-0.0185067119952082,0.000874963903141419,-0.0288823156761806,-1.46187371543472,-0.0447485719576747,-0.0133713491007286,-0.0168231455149594,-0.000503513961449659,-0.0167968770875635,-0.879568176099691
"DONA_ANA","103","2","1","4",0.0372154785957228,0.0276034630597323,-0.079675566162735,-0.0226649353244669,-0.0205999426575949,-1.36429146735683,0.0220957688413157,-0.0150675006183055,-0.0313424900892422,-0.0458842629504631,-0.025150498417394,-0.84346158428588,-0.0135169092947354,-0.0287114346137181,-1.63585217690718,-0.0349622721201887,-0.00680363425650012,-0.0372209848680367,-1.56961555031812,-0.0146087557418901,-0.000772548062217248,-0.0238518793898669,-1.78519381954825,-0.0404456001197061,-0.0122096436505169,-0.020830507310019,-0.00278148380373018,-0.0176114391236088,-0.910735507405063
"NM1715PAR","104","3","1","5",0.0371287062562655,0.0247853164259997,-0.103025248197063,-0.0481581908338136,-0.0321651184534722,-1.93879971908735,0.025577218836379,-0.0165465358792264,-0.0483820428869145,-0.0523843355719785,-0.0475459768810566,-1.68626004738236,-0.0165142671905778,-0.0435367955319278,-1.88731630883889,-0.0390671958309953,-0.00645983604829788,-0.0398603877661483,-1.73177251590841,-0.0236347828678456,-0.00122864066579058,-0.0234826805590867,-1.75144626913492,-0.043274866250216,-0.0146115981972882,-0.0231062962317012,-0.00467325279578873,-0.0205887544467546,-1.00265566627574
"NM170506PAR","105","3","1","6",0.0206427595774243,0.00883507117943371,-0.104166136054677,-0.0608408335413909,-0.0396815014713844,-2.98294551181485,0.00435507001741392,-0.0197941371245939,-0.0604093879014532,-0.0603736088380943,-0.0501213978105005,-2.08509379516504,-0.0362822420460693,-0.0290509279716893,-1.96052934472654,-0.0597326078088724,-0.00982246130041198,-0.0560161813985993,-1.91286052205661,-0.0187022436589906,-0.00195591126497443,-0.0275968540249689,-2.02413087617116,-0.0447817102479835,-0.016531236433235,-0.0301314033148872,-0.00499520805724386,-0.0165323996268856,-1.09510480072498
"NM1704PAR","106","4","1","7",0.0187727398591802,-0.0104329794979484,-0.106465574715763,-0.0533169654112364,-0.0304646323098299,-2.3838587982428,0.0277894564604508,-0.0189580226677368,-0.0566497553481398,-0.0512287033335794,-0.0464228603877117,-1.9540381307882,-0.0319718277489271,-0.0285268807832372,-1.83931732779104,-0.0561080842539258,-0.009567175630448,-0.0510397852488539,-1.9416325708589,-0.0165401606036971,0.00145068230389287,-0.0198601817595779,-1.86894739273048,-0.0494904381959575,-0.0167340803749303,-0.0231908523979465,0.00688951748997373,-0.000521848279734489,-0.939832515906884
"NM1712PAR","107","4","1","8",0.0252175734647514,-0.00148325945007701,-0.106125482854736,-0.0501682390199483,-0.026660895824511,-2.39836034025895,0.0218205361549061,-0.0198692441684188,-0.0609500162892081,-0.0556262879472232,-0.0504573510749768,-2.08129096260236,-0.0264263564818953,-0.0450860041059312,-1.9098765627313,-0.0490526877322623,-0.0113423146324489,-0.045885472078231,-1.80187996444069,-0.0142637651874902,0.0073076751599724,-0.0135936126435178,-1.77285767272289,-0.0554667856548892,-0.0182793821329967,-0.030321456369105,0.00113907547455082,-0.0109295150070561,-1.02889536338538
"NUMEX_BILL_MELTON_CA_2019","108","4","2","8",0.0230522658883581,-0.000280769962194976,-0.0551519050482492,0.0136277464091532,-0.0102153780364575,0.207724986851467,0.0231158645496432,-0.0014226989899678,0.00647672321237355,-0.0163772247785052,-0.0554520701953349,-1.24496149778316,0.00927188972641291,-0.00392345350969159,-0.784229201078356,0.00777049412647124,-0.00586134956427439,-0.0169881074251093,-0.843333874771236,-0.00848591539296087,-0.00579016913190778,-0.0442539833044211,-0.914304858944258,-0.0627842711321101,-0.0157426521074857,-0.00783088833388849,0.0114239062033385,0.0140433776213341,-0.428495619895467
"NUMEX_BILL_MELTON_CA_2019","109","4","2","7",0.0452318815609941,0.00120450192924587,-0.0642867561809326,-0.00807327761599525,-0.0276396909462317,-0.888961498852248,-0.0127194602087199,-0.0068157243273002,-0.0299717909270322,-0.039222195035561,-0.0630581732166407,-1.77684959673181,0.0142763592526314,-0.0583834322257989,-1.47085569713067,-0.00840556311766645,-0.0143974519168591,-0.0396169716655559,-1.14659932083678,-0.0284096811715363,-0.0179697185174467,-0.0658450650192198,-1.46952547676732,-0.0619029461661068,-0.0220385254431369,-0.0242148327502613,-0.00563859862792356,-0.00612067987889536,-0.688848828793117
