"Germplasm","Plot","Rep","Row","Range","ndvi_62","ndvi_76","ndvi_90","ndvi_104","ndvi_114","yld1","ndvi_124","ndvi_130","ndvi_138","ndvi_144","ndvi_150","yld2","ndvi_166","ndvi_174","yld3","ndvi_194","ndvi_200","ndvi_206","yld4","ndvi_222","ndvi_236","ndvi_240","yld5","ndvi_256","ndvi_264","ndvi_270","ndvi_284","ndvi_292","yld6"
"SW_8421S","100","1","1","1",1.17872352380163,1.80253712436979,-1.82300254380068,0.616358117164142,0.655227295744644,0.408641053282265,-0.302696066601185,0.0389382714919602,0.949793319227957,-0.376688710296805,-1.12005972172019,-0.601903945420403,-0.761143357352163,0.758789779466135,-0.725430765453502,-0.544184264815442,0.3347579776156,0.0752166924026923,-1.42985630461357,0.185819964610046,0.909534996682392,0.922556830326849,-0.9094044668019,-1.6761777885167,-0.19445121907085,-0.695232363574972,0.964313554360771,0.435004895970678,-1.09298353400178
"SW_1011","101","1","1","2",2.38310708139846,2.38778316896647,-2.12387775373362,-0.129573489620472,0.128292811886132,-0.220340067322245,-0.860084751461633,-0.48317143729942,0.0940025919356122,-1.08857322256861,-1.29234911424374,-0.89636270896031,-0.612736200621473,-0.942090022565495,-1.2758843342524,-1.59849995804062,-0.230614567022354,-0.688101076389645,-1.72826132585451,-1.08470762715602,0.780156215506599,0.415601950335345,-1.33888159761311,-1.66448829217101,-0.498779871379728,-1.35246885167115,0.713297774440168,-0.282658606976588,-1.55413593493422
"SW_9813","102","2","1","3",2.85935052407384,3.7369860532561,-2.28793261433956,-0.454741134368862,0.143912898193407,-0.0676465444207487,-0.868351098484622,-0.746083352200863,-0.0300502577687263,-1.06624374384704,-0.579277134261178,-0.233083404999605,-1.36740871109635,-0.363452478515699,-1.32217316067046,-2.05717269488433,-0.206180675724447,-0.677332814629577,-1.51169090373446,-1.0672814153086,0.778243732826781,0.343070721939112,-1.2332202348756,-1.71757281188789,-0.567912198381319,-0.930119598432528,0.757764381972043,-0.155274872984977,-1.54627922085644
"DONA_ANA","103","2","1","4",2.71219338472821,3.99658775927703,-2.36315052204362,-0.779433663602978,-0.383351566781676,-0.456693329323827,-0.0998946117689129,-1.03248289259047,-0.398622267124092,-1.17188964109835,-0.390447406262887,-0.223897149705252,-1.57618218616094,-0.393111567883099,-1.24798969851899,-2.30452258902933,-0.126536900693413,-0.854393569672314,-1.63520250895819,-0.833789661465984,0.749658733142567,0.498072166964255,-1.53257546296474,-1.59577657463577,-0.497155611705971,-1.17299574371829,0.702936678484875,-0.190691904953869,-1.60516639415187
"NM1715PAR","104","3","1","5",2.70655603416646,3.61606603786019,-2.94008733896155,-1.8265319619923,-0.808445122062671,-0.814011656419222,-0.0540000158738259,-1.17368484440201,-0.868945682098332,-1.38691753029098,-1.08027880142289,-0.893452996262197,-1.83404887163391,-0.937567523621022,-1.4746959133072,-2.53739285199909,-0.100012968442701,-0.942898955936426,-1.8128283376254,-1.37445835216162,0.741745341796557,0.509448188648141,-1.50132932168587,-1.67585935971011,-0.643452683005666,-1.31092560107823,0.657404315660015,-0.320145117005436,-1.77883921431494
"NM170506PAR","105","3","1","6",1.63551125938799,1.46237584104982,-2.96827702514504,-2.34745301867394,-1.08471986585662,-1.4634234390651,-0.333763317214619,-1.48372994384472,-1.20092282066995,-1.65120943387827,-1.1596075916412,-1.21030391534313,-3.53471403463275,-0.405579337248083,-1.54070075507824,-3.70973130715667,-0.359438533334367,-1.48464071005299,-2.01119112171348,-1.07899397136139,0.729126902425476,0.382679297045075,-1.7538022168049,-1.71851079596508,-0.760373068635537,-1.73669971777701,0.64965528084684,-0.143775433696893,-1.95351147444479
"NM1704PAR","106","4","1","7",1.51402143008213,-1.13930276727487,-3.02509282331628,-2.03842110576262,-0.745941472030419,-1.09081841270762,-0.0248369510805206,-1.40390696979841,-1.09714995511891,-1.34868824034683,-1.04568427294303,-1.10618758130814,-3.16388336093805,-0.386333895979264,-1.431422674999,-3.50411390404671,-0.339743317788859,-1.3177704441487,-2.04270786225162,-0.949482881003681,0.788232680190872,0.621067244445222,-1.61012112030018,-1.85179201831626,-0.77272778810381,-1.31605033819159,0.935704813301088,0.552360874907247,-1.66014192494843
"NM1712PAR","107","4","1","8",1.93272382503909,0.0691378575141233,-3.0166896461136,-1.90909176039116,-0.606130033412026,-1.09983772046848,-0.103522896804688,-1.4909003348848,-1.2158451717774,-1.49416405147667,-1.16995571211196,-1.20728277934525,-2.68679909382446,-0.994461641710274,-1.49503499596412,-3.10386479855655,-0.476694777980796,-1.14493420212648,-1.88962364269266,-0.813124357811686,0.889853877767445,0.814157309213938,-1.52115368621883,-2.0209533933888,-0.86684827085119,-1.74821835661444,0.797299324391662,0.0998371273081976,-1.82841617603091
"NUMEX_BILL_MELTON_CA_2019","108","4","2","8",1.79204998867028,0.231504628794749,-1.75720638277163,0.711235320329887,-0.00165295944894669,0.521030294126626,-0.086447088359302,0.270172069673944,0.645258506207293,-0.195771910745492,-1.32380435905288,-0.542866187079304,0.384368496706948,0.517217969270326,-0.480213317077628,0.119685804195517,-0.0538399094316772,-0.175937607302234,-0.839637643796793,-0.467024967697841,0.662600975925375,-0.130572230523252,-0.726237842368209,-2.22807587311512,-0.712342360691854,-0.385121449213945,1.04484151707019,1.18565465554644,-0.694028268544947
"NUMEX_BILL_MELTON_CA_2019","109","4","2","7",3.23299614332818,0.432054241841158,-1.98291532081033,-0.180102599289977,-0.642106961521693,-0.161059439553285,-0.558850182152517,-0.244694427373811,-0.360788415583046,-0.951502810856234,-1.55808953708251,-0.965421284126696,0.814909664669064,-1.48280482443619,-1.09923795767959,-0.797973808902646,-0.71239773516623,-0.934736641641307,-1.17183290884403,-1.66047987392699,0.451280862530196,-0.795852272843814,-1.24030483843059,-2.2031298430927,-1.095808330736,-1.37811121852568,0.634169725778933,0.30892453861708,-1.18593642648643
"NUMEX_BILL_MELTON_CA_2019","110","3","2","6",3.87247449305634,1.48535601971955,-2.28034827265991,0.0757700116935824,-0.620768819629006,0.127173032370845,-0.62549702368024,-0.445395405306376,-0.449023957211433,-0.897174004183767,-0.860644625865831,-0.305673162653818,0.379211992287112,-1.12366606767234,-1.13920271690918,-1.11591258816911,-0.731539978280965,-0.920959589768511,-0.958239795721244,-1.14384622510712,0.442254722549415,-0.922406099500791,-1.10773419944618,-2.30771004213304,-1.17184702280145,-1.03396388725661,0.65272116301253,0.34891521213729,-1.16257117851875
"NUMEX_BILL_MELTON_CA_2019","111","3","2","5",3.50189727831196,0.927840329199285,-2.21437862658924,-0.470484979503691,-1.14374994144142,-0.208821669277404,0.141092827656885,-0.684221644445236,-0.759307969855942,-1.0206154410597,-0.594268729470897,-0.19023601555433,0.224284628950464,-1.34875257501891,-1.0773020050377,-1.22229492430716,-0.711415700930368,-1.06125464441861,-1.12873489102188,-0.519851062293885,0.390559447881176,-0.840743608403119,-1.38718909538908,-2.17156074946866,-1.13191341113444,-1.31302953541411,0.604804608742643,0.283058880393266,-1.16754281527005
"NUMEX_BILL_MELTON_CA_2019","112","2","2","4",3.3230259096449,1.27540420990339,-2.4236927157048,-0.860884418471892,-1.45784489434815,-0.469608029797128,0.226803791573647,-0.761028657167222,-0.937491077999081,-1.23613409035095,-1.27841432351278,-0.895926729915376,-0.0864611593510556,-1.74309479966409,-1.34235918607327,-1.26814685213451,-0.712563624164897,-1.09206619376302,-1.4006031293557,-0.492410510647407,0.403384944812915,-0.884481333426582,-1.39639519591709,-2.19855772907343,-1.31105935823258,-1.43113288872215,0.554682396843211,-0.140707947061352,-1.33398777008348
"NUMEX_BILL_MELTON_CA_2019","113","2","2","3",1.92042301016721,0.116029209017088,-2.33925984424413,-2.00434176385534,-1.88347853647913,-1.29644119562897,-0.0542327402441473,-1.05102677456026,-1.24888257754763,-1.52516781445558,-1.27931305212822,-1.19479132311216,-1.90478437025109,-1.33719223711791,-1.44200430702585,-2.34030044544037,-1.04474277524656,-1.54639285363594,-1.64504058853221,-0.731207557363254,0.368076700065739,-1.07295559302585,-1.64615252280742,-2.27717244512433,-1.44745200833529,-1.80214946711772,0.521645167787697,-0.0539237291018035,-1.49735076074767
"NUMEX_BILL_MELTON_CA_2019","114","1","2","2",1.68420574913229,-1.48777704553649,-2.67867356336213,-2.0684523573771,-1.47509693009152,-0.929146707017646,0.227362910179993,-0.868619817189754,-1.02901111609736,-1.2465123843155,-1.01801673630711,-1.0203149813033,-1.69225974028376,-1.12356747714814,-1.28390705581476,-2.06422550815231,-0.914154078597734,-1.24841160949227,-1.66223076171747,-0.858744287982683,0.435179449129193,-0.824008883028628,-1.43184899026228,-2.29965523647245,-1.43617385573295,-1.24288442726439,0.845398554323869,0.700584363001581,-1.12513778333129
