"Germplasm","Plot","Rep","Row","Range","ndvi_62","ndvi_76","ndvi_90","ndvi_96","ndvi_104","ndvi_110","ndvi_114","yld1","ndvi_124","ndvi_130","ndvi_138","ndvi_144","yld2","ndvi_166","ndvi_174","yld3","ndvi_194","ndvi_200","ndvi_206","yld4","ndvi_222","ndvi_236","ndvi_240","yld5","ndvi_256","ndvi_264","ndvi_270","ndvi_284","ndvi_292","yld6"
"SW_8421S","100","1","1","1",0.0136117012786841,0.011354308113303,-0.0578147953226592,-7.87468225787282e-09,0.0113178116244127,-1.9517943370466e-08,0.00765583062746933,0.0270218396068987,0.00671175444583442,-0.00384478265586813,0.0175098482066067,-0.0218461541336403,-1.31921497687565,-0.00404316488865229,0.00265446934370515,-1.05501638465836,-0.00393749659806434,-0.000824417030429393,-0.00941520980390145,-1.38202355301294,0.00241280348895017,0.00844200712692871,-0.010075601026933,-1.11207282264821,-0.0432861161067116,-0.00723974106943493,-0.0129475976301545,0.00807814742508077,-0.00322093738522375,-0.639651466555504
"SW_1011","101","1","1","2",0.0321500514753871,0.0156886445722904,-0.0699917621550001,7.91352425405911e-09,-0.00684306694200746,-1.99090389034943e-08,-0.00668004876429061,-0.984274857395472,-0.0355703660589774,-0.0093136778054172,-0.0134949685156284,-0.0433656930410956,-1.6898255854767,-0.00231812870490769,-0.0436599417263812,-1.66243536064994,-0.0225210983187592,-0.00815266934141923,-0.0321474382527608,-1.65465990487826,-0.0187976285278774,0.000985190880445368,-0.0265283781182799,-1.57604631173373,-0.0428731347641817,-0.0122363112921408,-0.0237917436849903,-0.00235100317254306,-0.0197265961506908,-0.883726514784171
"SW_9813","102","2","1","3",0.0394805797472832,0.0256808509352739,-0.0766313606673578,-8.02644786806947e-09,-0.0147597848503342,-2.02084679774473e-08,-0.00625508573712344,-0.738769149343714,-0.0361974306020013,-0.012067577363223,-0.0179893334886439,-0.0426906957943314,-0.854943855102979,-0.0110901947975363,-0.0279038271298925,-1.71540317996137,-0.030608882631592,-0.00783596184993351,-0.0318568737701578,-1.45673560637952,-0.0185067119951993,0.000874963903588675,-0.0288823156776673,-1.4619431199403,-0.0447485719577024,-0.0133713491004627,-0.0168231455148779,-0.000503513956370729,-0.0167968770877908,-0.879568176101084
"DONA_ANA","103","2","1","4",0.0372154785956826,0.0276034630546332,-0.0796755661620944,8.00626265534015e-09,-0.0226649353247547,-2.02341081064897e-08,-0.020599942657664,-1.36429146736437,0.0220957688413084,-0.0150675006186338,-0.0313424900894012,-0.0458842629488863,-0.843402978802297,-0.0135169092945386,-0.0287114346135428,-1.63379570231678,-0.0349686265444078,-0.00680363425645567,-0.0371471956009333,-1.56956948138889,-0.014608755741899,-0.000772548061772249,-0.0238518793913406,-1.78528548295188,-0.0404456001198185,-0.0122096436502591,-0.0208305073099341,-0.00278148379868343,-0.017611439123685,-0.910735507406381
"NM1715PAR","104","3","1","5",0.0371287062560409,0.0247853164216429,-0.103025248196609,-8.11469109934824e-09,-0.0481581908333892,-2.01337694698459e-08,-0.032165118453527,-1.93879971909369,0.0255772188363682,-0.0165465358795477,-0.0483820428870262,-0.0523843355694512,-1.68612952131059,-0.0165142671904154,-0.0435367955318021,-1.88150258972597,-0.0390783306501883,-0.00645983604826089,-0.0397408135172144,-1.73219202376748,-0.0236347828679543,-0.00122864066536024,-0.0234826805605014,-1.75161477778219,-0.0432748662503052,-0.0146115981970384,-0.0231062962316165,-0.00467325279093425,-0.0205887544469375,-1.00265566627684
"NM170506PAR","105","3","1","6",0.0206427595774668,0.00883507117717348,-0.104166136054229,7.95922237238963e-09,-0.0608408335411944,-1.9940257697351e-08,-0.0396815014714306,-2.98294551182097,0.00435507001740832,-0.0197941371248754,-0.0604093879015106,-0.0603736088357401,-2.08497441075115,-0.0362822420458947,-0.0290509279715222,-1.95522516058713,-0.0597477037475204,-0.00982246130037076,-0.0558873789951706,-1.91333278771345,-0.0187022436589392,-0.0019559112645509,-0.0275968540263793,-2.02431612189338,-0.0447817102480662,-0.0165312364329936,-0.0301314033148002,-0.00499520805240214,-0.0165323996271013,-1.09510480072607
"NM1704PAR","106","4","1","7",0.0187727398591906,-0.010432979493771,-0.106465574715298,-7.94918818852555e-09,-0.0533169654113706,-1.96692124677168e-08,-0.0304646323098837,-2.38385879824809,0.0277894564604416,-0.0189580226679791,-0.0566497553481721,-0.051228703332149,-1.95397882336796,-0.0319718277487827,-0.0285268807831608,-1.83836242494776,-0.0561236163760748,-0.00956717563041438,-0.0509712314717314,-1.94174385225187,-0.016540160603646,0.00145068230432491,-0.0198601817609427,-1.86892153602186,-0.0494904381959631,-0.0167340803747012,-0.0231908523978797,0.00688951749471869,-0.000521848280189543,-0.939832515907662
"NM1712PAR","107","4","1","8",0.0252175734646158,-0.00148325945074221,-0.106125482854271,7.76379007620234e-09,-0.0501682390197571,-1.92620659556286e-08,-0.0266608958245537,-2.39836034026417,0.0218205361548983,-0.0198692441686493,-0.0609500162892444,-0.055626287945694,-2.08126286511978,-0.026426356481751,-0.0450860041058834,-1.91105312645417,-0.0490602395614295,-0.0113423146324127,-0.0458359076500443,-1.80172232237472,-0.0142637651874331,0.007307675160416,-0.0135936126448752,-1.77281133177724,-0.0554667856548272,-0.0182793821327709,-0.030321456369034,0.00113907547926008,-0.0109295150074006,-1.02889536338616
"NUMEX_BILL_MELTON_CA_2019","108","4","2","8",0.0230522658887728,-0.000280769961909274,-0.0551519050475824,8.11496091754199e-09,0.0136277464089467,-2.41587011036022e-08,-0.0102153780365392,0.207724986841556,0.0231158645496376,-0.00142269899031415,0.0064767232122552,-0.0163772247777363,-1.24489979375181,0.0092718897266574,-0.003923453509479,-0.782714524305962,0.00776075050256578,-0.00586134956423091,-0.0169236189193937,-0.84337114408263,-0.00848591539291393,-0.00579016913142901,-0.0442539833059674,-0.914232722674521,-0.0627842711321407,-0.0157426521072093,-0.00783088833382131,0.011423906208495,0.0140433776210991,-0.428495619897127
"NUMEX_BILL_MELTON_CA_2019","109","4","2","7",0.0452318815610038,0.00120450192992882,-0.0642867561802628,-8.15300424569162e-09,-0.00807327761569283,-2.46767662934945e-08,-0.0276396909462708,-0.888961498862127,-0.012719460208725,-0.0068157243276231,-0.0299717909271137,-0.0392221950341623,-1.77676996397436,0.0142763592528708,-0.0583834322255937,-1.46738747357007,-0.00841266394758205,-0.0143974519167981,-0.0395331613939895,-1.14677023746011,-0.0284096811715934,-0.0179697185169855,-0.0658450650207755,-1.46952795752347,-0.0619029461661376,-0.0220385254428579,-0.024214832750187,-0.0056385986227216,-0.00612067987926193,-0.68884882879483
"NUMEX_BILL_MELTON_CA_2019","110","3","2","6",0.055074986372148,0.00900526254704609,-0.0763244085689395,8.26669629034427e-09,-0.00184365632886544,-2.5042915695522e-08,-0.0270591614156054,-0.425531775332493,-0.0177751239874834,-0.00891798863385869,-0.0331685149735021,-0.0375798909123219,-0.9463272009574,0.00921195220809683,-0.0486041991533888,-1.51341050746131,-0.0140181173853462,-0.0146455700623953,-0.0391570068757246,-0.951595799949355,-0.0197848996580248,-0.0184899449918404,-0.0699522587419172,-1.32639481687548,-0.065597687985967,-0.0232869542768494,-0.0185365358323112,-0.00486782742760604,-0.00520092792303556,-0.676482257541582
"NUMEX_BILL_MELTON_CA_2019","111","3","2","5",0.0493709146596467,0.00487629729559538,-0.0736544970387379,-8.24611802146794e-09,-0.0151430935307845,-2.50934609284147e-08,-0.0412874848906186,-0.965755195171383,0.040376477134657,-0.0114196001511904,-0.0444099302367108,-0.041311398983896,-0.801027335692669,0.00741112727822381,-0.0547332325013999,-1.44499271110068,-0.0158906230142634,-0.0143847229742287,-0.0433509024377361,-1.10728278156436,-0.00936780437780219,-0.0214694301941977,-0.0673019740404814,-1.62824394996179,-0.0607876332149606,-0.0226313108025206,-0.0231410103286575,-0.00685865430219933,-0.00671556832865548,-0.679113605610794
"NUMEX_BILL_MELTON_CA_2019","112","2","2","4",0.0466176554908747,0.00745035791798958,-0.0821258188244709,8.35613601753199e-09,-0.024647982101403,-2.49302377351104e-08,-0.0498328116824146,-1.38505615091801,0.0468782978628946,-0.0122241235918661,-0.0508654040281709,-0.047826306778938,-1.68924756019412,0.00379912000994287,-0.0654710447046717,-1.73490953821448,-0.0167001963049336,-0.0143996021387369,-0.0442054826113765,-1.35590869867443,-0.00890970653001093,-0.0207302257201822,-0.0687214436395785,-1.63827034076976,-0.0617414167272437,-0.0255725892460798,-0.0250896696560625,-0.00894112137423434,-0.0164618500066293,-0.76720825781526
"NUMEX_BILL_MELTON_CA_2019","113","2","2","3",0.0250282344355291,-0.00113598176337787,-0.078708666990785,-8.20057899233688e-09,-0.0524872502139692,-2.46595677403805e-08,-0.0614126811834075,-2.71446592521156,0.0255595649439681,-0.0152617405349413,-0.0621469429189013,-0.0565634999119102,-2.06546420274478,-0.0173364734591665,-0.0544184482109564,-1.84671182068889,-0.0356041310063772,-0.0187052456558592,-0.0577446701653484,-1.57903316765068,-0.0128962303631011,-0.0227652355623954,-0.0748382108372625,-1.90802242850547,-0.0645188170545519,-0.0278119296727302,-0.0312112986857329,-0.0103137451880303,-0.0144658857671288,-0.853671712726271
"NUMEX_BILL_MELTON_CA_2019","114","1","2","2",0.0213922845091597,-0.0130137825307507,-0.0924453573651935,8.18975340161386e-09,-0.0540481234801992,-2.4257365653045e-08,-0.0503021738350952,-2.12391767027608,0.0469207112109463,-0.0133510989444281,-0.0541811235341672,-0.0481400319660012,-1.8459053690945,-0.014866156766199,-0.0486015145651855,-1.67551210902028,-0.0307358016670191,-0.0170125795950852,-0.0489029451394804,-1.59434720969491,-0.0150253530772251,-0.018897732214064,-0.0667588631696816,-1.67636512946329,-0.0653131176026693,-0.0276267611681263,-0.0219836433662749,0.00313749212366383,0.00288716765198767,-0.656669810034911
"NUMEX_BILL_MELTON_CA_2019","115","1","2","1",0.0276869410570714,-0.00425994843816767,-0.0884368003300459,-8.00215939528543e-09,-0.0388765366385089,-2.37406044182938e-08,-0.0389193300455069,-1.81198627676273,0.0386454826464429,-0.0136391685382007,-0.0525533075825676,-0.0499398963725169,-1.60839694251529,-0.00984190395911044,-0.056133330450831,-1.56562572901107,-0.0255642903281986,-0.0178109340362403,-0.0401333982929722,-1.37837203200632,-0.0133508560585662,-0.0110396678189523,-0.0587767269765765,-1.51907536538196,-0.0704788122139803,-0.0291459620199658,-0.0276661693854355,-0.00182909091722882,-0.0104030164737435,-0.728184417357969
"AFX_779","116","1","3","1",0.00381991154161997,0.000964456165050384,0.018114639598076,-8.23926712778145e-09,-0.0306340785346348,-2.85058915106686e-08,-0.00540730604137089,0.29135132722919,0.0438754173374485,-0.00421628829482424,0.00162754636815274,-0.0105064072054105,-1.14379355995055,0.0123456985599474,0.000878191777894712,-0.405407650538317,0.0122232369679082,-0.00679924090640345,-0.00816159366713428,-0.595664200329079,-0.0102116637317505,-0.0656727091261798,-0.0538620731447372,-0.587837873878654,-0.045586641982209,-0.0349264339638459,-0.000930529299022057,-0.0180353034239064,0.00801642894922307,-0.424964406187844
"NM1703PAR","117","1","3","2",0.0214169163546695,-0.000963142626671711,0.014918070034746,8.27687415504286e-09,-0.0505244184115413,-2.91300982030025e-08,-0.0193851791862077,-0.906241070970305,0.0278565418392966,-0.00948018765133438,-0.0428893665558882,-0.0345168461243556,-1.91660974992753,0.0180667362307148,-0.0611407818973867,-1.24514925364342,-0.00247343143928214,-0.0153859477989286,-0.0284187352854478,-0.939713081071815,-0.0272048800749473,-0.0867384394117494,-0.0800695841032385,-1.26498522222698,-0.0424786888412563,-0.0418613860010191,-0.0210086005322393,-0.0442773377811645,-0.0201877096585936,-0.729005913478049
"SW_1011","118","2","3","3",0.024207870542017,-0.00121941608160129,0.00720852561380717,-8.39239939757124e-09,-0.0328277025588341,-2.95568198253992e-08,-0.0171709538011036,-0.702092813869784,0.0219694591066412,-0.0122463276842364,-0.0514507636792708,-0.0329987401346042,-1.21098876890395,0.0136773251072637,-0.0574463084853958,-1.31784927988927,-0.0059339332569575,-0.0164556382705357,-0.0272818646246594,-0.811002164023963,-0.0190796517313408,-0.0908204680443531,-0.0851531998560946,-1.25304882783676,-0.0459685506603324,-0.0430828115092799,-0.0189952219850573,-0.0466705083239174,-0.0260849357044257,-0.752221278003408
"NM1715PAR","119","2","3","4",0.0109417368908111,-0.00721587233802534,0.0134886316517198,8.37495902410012e-09,-0.0387326979351994,-2.96890871068119e-08,-0.0273331633914764,-1.20067743072164,0.070829041434918,-0.014710147575977,-0.0620148856911831,-0.0377247321789561,-0.956404990319598,0.0123210256469792,-0.0611411934097347,-1.26663839276443,-0.00608933187744783,-0.0172531336067814,-0.0314277778870108,-0.969780751614828,-0.00250038633550423,-0.0947131231561231,-0.0820572528291168,-1.51742609513354,-0.0386710523505492,-0.0421547844246781,-0.0257786533133436,-0.0455440924927547,-0.0254912039087503,-0.740553433584733
"NM1703PAR","120","3","3","5",0.00724615351010988,-0.00830776993288128,0.00175815730259088,-8.49003611726851e-09,-0.0221773592525161,-2.95505214806135e-08,-0.0293071756309685,-1.36150914064302,0.0671241226111691,-0.0149991966689297,-0.0624098379841415,-0.0455801344946798,-1.9446558486421,0.00972436982562656,-0.0719457343962738,-1.67217912520694,-0.00498167712067276,-0.0196181174972706,-0.037551561854535,-1.28703063526833,-0.0117866121533048,-0.0912539621774177,-0.0836379826562628,-1.61348164970293,-0.0366304225260728,-0.0437934188827181,-0.027174186543721,-0.037663771388866,-0.0286671297335628,-0.793866245270989
"SW_9720","121","3","3","6",-0.00609159401893994,-0.0126442123617201,0.0150525340116455,8.33578499136828e-09,-0.0375776568997871,-2.93190341035257e-08,-0.0415331241221324,-2.51025283821243,0.0314346111619732,-0.0161955185017544,-0.0670793455812518,-0.0523309851132952,-2.17651564304148,-0.00928270169440959,-0.0607004569061285,-1.77899935163595,-0.0194601173276749,-0.0252619188008524,-0.0506436734661286,-1.48625465310371,-0.026241007948915,-0.0962276326426665,-0.0904148232710622,-1.88485300766998,-0.0351031421024244,-0.0443427105808974,-0.0338249525274523,-0.0390702731717701,-0.0234189331851637,-0.824870052920789
"NUMEX_BILL_MELTON_CA_2019","122","4","3","7",-0.00492376007516616,-0.00298846575979108,-0.00102340473776239,-8.32844623618987e-09,-0.0223482645298807,-2.88977436115559e-08,-0.0317285318478816,-1.82019412768212,0.0516638981381941,-0.0118913036706803,-0.0503139794230319,-0.0424066614930829,-1.75046950154767,-0.00672427819242436,-0.0447626437758524,-1.49920710031437,-0.0135262195668007,-0.0222193058288087,-0.0399032024769347,-1.42197200445739,-0.0252444116363311,-0.0916148536866716,-0.0818762407111142,-1.52226263483664,-0.0282469354796693,-0.0424216431208352,-0.0249881587640312,-0.0252607715671821,-0.00450196783543408,-0.556894155325854
"AMERISTAND_803T","123","4","3","8",0.0045507226021994,-0.00210683374898203,-0.00389020157500484,8.13943144942669e-09,-0.00477948007994184,-2.83230717020695e-08,-0.0252314945724524,-1.49307009037379,0.0456778900381363,-0.011331915859878,-0.0495603266853913,-0.0439223632804161,-1.36113069058299,-0.00353144291833526,-0.0497259369850271,-1.28825377610596,-0.0118892511526771,-0.0229891457565371,-0.0312560959187219,-1.1480366549576,-0.0217688875398602,-0.0822179929531962,-0.0734532221166306,-1.34350716487482,-0.0324115294653075,-0.0429629665540079,-0.0284521523724438,-0.0293764958612937,-0.0135449530982424,-0.588990181519897
"NM1702PAR","124","4","4","8",-0.00943474041557607,-0.00171740742443653,0.00998585112928475,8.65386671043334e-09,0.0146183662255017,-2.75063163422291e-08,0.00385326804073133,0.301902738308234,0.0809017569663925,-5.65870186325223e-05,-0.00911713009395958,0.00192289143602439,-0.93888286970003,0.00793227267477618,0.0180950199615277,-0.12060624817849,0.0170847383161357,-0.00783922036463526,-0.00532832540751001,-0.181244601591957,-0.00165918312776767,-0.0587910742855613,-0.0420072600616194,0.0924906631308121,-0.0253295223463817,-0.0216319792582987,0.0117648213520881,-0.055173603455641,-0.0109108260974944,-0.169263878009269
"AFX_779","125","4","4","7",0.00403535404050719,0.000726442310846962,0.00491901054141781,-8.69428167727813e-09,-0.000969877828776709,-2.81578529583118e-08,-0.00339505400912012,-0.56556636377995,0.0777576447399967,-0.00378730730867863,-0.0558596328639799,-0.0178398461993148,-1.64747199835755,0.0122413115331363,-0.0422795318230274,-0.837982730231842,0.00329711322559465,-0.015345652482305,-0.0209097544102287,-0.47274811500772,-0.0186680365586767,-0.0826159727889334,-0.0703179687808917,-0.612564955938648,-0.0190222852791139,-0.0275125655093603,-0.0100057852039371,-0.08471839913879,-0.0452568950650334,-0.464821053675651
"AFX_149092","126","3","4","6",0.00354490202852139,-0.00121504694867563,-0.000803270548275176,8.81532632492254e-09,0.0040587650136092,-2.86234849218522e-08,-0.000897744986056875,-0.681122933544796,0.0643389464801654,-0.00766043989234475,-0.0720010728825405,-0.0180511363416974,-1.19063367760464,0.0091190132616343,-0.0397844434540884,-0.928546913129712,-0.00061289947882883,-0.0164513220534261,-0.0176997065984596,-0.443072515758376,-0.0158146071057576,-0.0863292064203639,-0.0744562021533398,-0.797742241150298,-0.0204645050878946,-0.0278340799586166,-0.0106776025107398,-0.0856372718696808,-0.0523896979660867,-0.532600621364769
"NUMEX_BILL_MELTON_FG2011","127","3","4","5",-0.00530735909119222,-0.00435096199518824,0.00505365347517744,-8.80352648217346e-09,-0.0170128903104675,-2.88391537825629e-08,-0.0104349956790451,-1.29707096526552,0.106309943970436,-0.0113159352745702,-0.0880687732290395,-0.0259911217908343,-0.888686296295414,0.0081248126281617,-0.0448155371329826,-1.00409084284154,-0.00274187137444705,-0.0170233845182043,-0.0186684341332464,-0.620868241916626,-0.00120486396149078,-0.0905549632596053,-0.0699653082537432,-1.05686364905284,-0.0103143515085601,-0.0255666153722378,-0.0168194752936599,-0.0761154048372576,-0.0405196730618499,-0.530097960884808
"NUMEX_BILL_MELTON_CA_2019","128","2","4","4",-0.0084405161025423,-0.0081919642909805,-0.000595560741307242,8.92353637287408e-09,-0.0213270613124889,-2.87980237472348e-08,-0.0133741319747345,-1.5060751119102,0.101436473360303,-0.0120180803052881,-0.0906043115183777,-0.0386462278223155,-2.05169063643369,0.00923376380283283,-0.0600655024989595,-1.63614603095177,-0.00318989704038136,-0.0222650006396903,-0.0338391400483724,-1.07082448573118,-0.0133851484287362,-0.0907842024878405,-0.072736069469848,-1.32310111177693,-0.00792614380432624,-0.0261690675323487,-0.0185189243682111,-0.0603335504173008,-0.0390229767489409,-0.620309858349934
"AFX_149092","129","2","4","3",-0.0176757155870984,-0.00670008224206427,0.0165180352998492,-8.76928332731003e-09,-0.00669755988358853,-2.87157672379034e-08,-0.0185078248641563,-2.22351000827043,0.066027007637863,-0.0111363001192849,-0.0798007490435639,-0.0408252132624265,-2.03994205182235,-0.00494408199688812,-0.0442172225761435,-1.67628279276567,-0.0151854084179971,-0.0267559079801882,-0.0453797917016468,-1.24714441844007,-0.0257171520149451,-0.095799865418291,-0.0787576123078334,-1.55736312054455,0.000264109772184795,-0.0241254616465319,-0.0246746211847111,-0.0610887773208777,-0.034075779417413,-0.623498523043878
"TMA_990","130","1","4","2",-0.0138560957547795,0.00181445246785541,0.0192126571756152,8.76011942363654e-09,0.0130694441301059,-2.84321741486909e-08,-0.0139685169913804,-1.54024065363319,0.0748757587876534,-0.00613970450057727,-0.0568756611203347,-0.034015563287303,-1.61470350115377,-0.00216298745095868,-0.019346853842588,-1.4614220122659,-0.00977974000639163,-0.0219662300373304,-0.0358061907691613,-1.14603601269597,-0.0232112219872946,-0.0917039487227317,-0.0727263995781803,-1.14155416796823,0.0100802854669235,-0.0211631602462543,-0.0181254969741508,-0.0534671227383213,-0.0228734086339683,-0.361167884757775
"NM1704PAR","131","1","4","1",-0.00490173780158935,0.00204671630919548,0.0214265892817593,-8.56628000632203e-09,0.0226886452898069,-2.79408899137616e-08,-0.0120870614168335,-1.33967469839331,0.0670014399318175,-0.00588749836489492,-0.061505267961733,-0.0365551299313405,-1.23258228933181,-0.00251608658063587,-0.0281606115925145,-1.1565794582093,-0.00989824560367433,-0.0231715736095441,-0.0288041921879096,-0.856503722200421,-0.0218799733560766,-0.0818850998339849,-0.0659742269964065,-0.961677452296393,0.00628235598144436,-0.0210879889068901,-0.0210805210269744,-0.0597959419478543,-0.0290924839796459,-0.386735841184662
"NUMEX_BILL_MELTON_CA_2019","132","1","5","1",-0.00992284193214539,-0.00488976908419468,0.0188862238074395,-8.99288855834224e-09,0.0120814166910357,-2.46386029459918e-08,-0.0309935168823896,-0.685786888211426,0.090893164453365,-0.00391630123190337,-0.020708068484303,-0.00969464740894416,-1.07652397447847,0.000686834013062621,0.0172103735749913,-0.163329563610939,0.00337582966982822,-0.00862672999839357,-0.0293240279009125,-0.155860191737431,0.0192535991473413,-0.0445956936897506,-0.0433944134803012,0.357942443628939,0.0125152272369886,-0.00551769366226809,0.0180045119840798,-0.0473298425403946,-0.00952170707395222,-0.14096007768519
