"","Harvest","Rep","Model","Value"
"1","YLD1",1,"Base",0.82
"2","YLD1",1,"AR",0.88
"3","YLD1",1,"RR",0.88
"4","YLD1",2,"Base",0.8
"5","YLD1",2,"AR",0.79
"6","YLD1",2,"RR",0.81
"7","YLD1",3,"Base",0.73
"8","YLD1",3,"AR",0.64
"9","YLD1",3,"RR",0.95
"10","YLD1",4,"Base",0.85
"11","YLD1",4,"AR",0.81
"12","YLD1",4,"RR",0.76
"13","YLD2",1,"Base",0.63
"14","YLD2",1,"AR",0.81
"15","YLD2",1,"RR",0.96
"16","YLD2",2,"Base",0.84
"17","YLD2",2,"AR",0.82
"18","YLD2",2,"RR",0.95
"19","YLD2",3,"Base",0.8
"20","YLD2",3,"AR",0.64
"21","YLD2",3,"RR",0.96
"22","YLD2",4,"Base",0.82
"23","YLD2",4,"AR",0.8
"24","YLD2",4,"RR",0.95
"25","YLD3",1,"Base",0.71
"26","YLD3",1,"AR",0.66
"27","YLD3",1,"RR",0.89
"28","YLD3",2,"Base",0.87
"29","YLD3",2,"AR",0.83
"30","YLD3",2,"RR",0.89
"31","YLD3",3,"Base",0.88
"32","YLD3",3,"AR",0.81
"33","YLD3",3,"RR",0.88
"34","YLD3",4,"Base",0.85
"35","YLD3",4,"AR",0.91
"36","YLD3",4,"RR",0.85
"37","YLD5",1,"Base",0.6
"38","YLD5",1,"AR",0.64
"39","YLD5",1,"RR",0.71
"40","YLD5",2,"Base",0.86
"41","YLD5",2,"AR",0.86
"42","YLD5",2,"RR",0.86
"43","YLD5",3,"Base",0.85
"44","YLD5",3,"AR",0.83
"45","YLD5",3,"RR",0.83
"46","YLD5",4,"Base",0.85
"47","YLD5",4,"AR",0.85
"48","YLD5",4,"RR",0.84
