"","SW_8421S","SW_1011","SW_9813","DONA_ANA","NM1715PAR","NM170506PAR","NM1704PAR","NM1712PAR","NUMEX_BILL_MELTON","NM1703PAR","SW_9720","AMERISTAND_803T","NM1702PAR","NM1713PAR","NM1705PAR","SW_8888","MESQUITE","NM1701PAR","SW_9812"
"SW_8421S",0.807227427071889,0.0318243403516362,-0.0667104111791783,-0.013308456486708,-0.116668615668335,-0.0036038076568402,-0.0613964728349507,-0.105961803975097,-0.143388494049192,-0.0530170203825448,-0.0859892744297975,-0.0127943852409474,-0.0226185365089406,-0.0767221908521827,-0.0314739480152555,-0.00636348497721859,0.0736684692961108,-0.00606638883173368,-0.106636945630716
"SW_1011",0.0318243403516362,0.964509754540727,0.0701203280551619,-0.0387051612798584,-0.162839194879607,-0.0585535181084487,-0.138753312853105,-0.187120449129542,-0.0699599654571347,-0.129473956235461,0.115928280415536,5.63473366709068e-05,-0.0948663068041465,-0.158318083462947,-0.0956551683572228,-0.0228117264073033,0.0173695524025307,-0.0934565167898387,0.0507047566623541
"SW_9813",-0.0667104111791783,0.0701203280551619,1.16707478879299,-0.0728878940528733,-0.125480108090067,-0.114204107121294,-0.234591220056952,-0.242548084686403,-0.00118566418403822,-0.18731292515459,0.21919737595675,0.0665930086986033,-0.147592728409316,-0.235404208239019,-0.151974092655734,0.00149655083123132,-0.0497554085208918,-0.147711126220494,0.252875926236114
"DONA_ANA",-0.013308456486708,-0.0387051612798584,-0.0728878940528733,0.819317840768298,-0.0101289032103479,-0.040273847676217,-0.0707684363811665,-0.0589333140324436,-0.048587761574307,-0.0974548135012885,-0.0776894900340871,-0.0288960219857982,-0.076804629790005,-0.0109438177548358,-0.0767792545470165,0.0042902061280227,0.00532987643980425,-0.0195567275691646,-0.0872193934600052
"NM1715PAR",-0.116668615668335,-0.162839194879607,-0.125480108090067,-0.0101289032103479,1.17885427119867,-0.112003532221777,-0.0346424123331209,0.165824617564944,-0.113274902029928,-0.0974057380112149,-0.15544254881732,-0.0541340544284108,-0.0959582959239932,0.263352437164883,-0.125125972268674,-0.0531133571203744,-0.109035382302847,-0.0958792303914838,-0.146899078231002
"NM170506PAR",-0.0036038076568402,-0.0585535181084487,-0.114204107121294,-0.040273847676217,-0.112003532221777,0.831268261763736,-0.00358123409842264,-0.0674515775421403,-0.144629459277122,0.0233928660501146,-0.151565303216767,-0.04493359032923,0.025921644973127,-0.0776851670306071,0.171123085142932,-0.0721248081265853,0.0139870657423899,-0.0331941985703255,-0.141888772696522
"NM1704PAR",-0.0613964728349507,-0.138753312853105,-0.234591220056952,-0.0707684363811665,-0.0346424123331209,-0.00358123409842264,0.890674996016422,0.15005213042809,0.00322700558548233,0.162796852975486,-0.277744053716468,-0.163897405805868,0.097034808358145,0.0419040331655738,0.0535675093929996,-0.161626447057219,-0.0712091290937,0.0851846742804762,-0.266231885971704
"NM1712PAR",-0.105961803975097,-0.187120449129542,-0.242548084686403,-0.0589333140324436,0.165824617564944,-0.0674515775421403,0.15005213042809,1.10366048044769,-0.0707815288286043,0.0434696228624354,-0.283670467523451,-0.176716938762342,-0.013300686218426,0.289356163564595,-0.0467823561452695,-0.160083566632171,-0.0997837628272394,0.00973891782243365,-0.248967396387058
"NUMEX_BILL_MELTON",-0.143388494049192,-0.0699599654571347,-0.00118566418403822,-0.048587761574307,-0.113274902029928,-0.144629459277122,0.00322700558548233,-0.0707815288286043,1.20501965682887,-0.101846951672917,0.0127323870943089,-0.0455001902338937,-0.095063989187576,-0.133117730034738,-0.147371317325362,-0.0981955236262385,-0.120585746210592,0.0794652250126337,0.0330449491703512
"NM1703PAR",-0.0530170203825448,-0.129473956235461,-0.18731292515459,-0.0974548135012885,-0.0974057380112149,0.0233928660501146,0.162796852975486,0.0434696228624354,-0.101846951672917,0.94029202078886,-0.21865730823199,-0.118239519114504,0.166559827468516,-0.0295141657947728,0.115870310162186,-0.130431422359728,-0.0604153210830934,-0.0254339779962888,-0.20317838076921
