"","SW_8421S","SW_1011","SW_9813","DONA_ANA","NM1715PAR","NM170506PAR","NM1704PAR","NM1712PAR","NUMEX_BILL_MELTON","NM1703PAR","SW_9720","AMERISTAND_803T","NM1702PAR","NM1713PAR","NM1705PAR","SW_8888","MESQUITE","NM1701PAR","SW_9812","AFX_779","AFX_149092","TMA_990"
"SW_8421S",0.934684389241135,0.0368492361966314,-0.0772436339969433,-0.0154097917214514,-0.135089976037019,-0.00417282991844655,-0.0710906527562587,-0.12269261512906,-0.166028782583275,-0.0613881288639992,-0.0995665282871339,-0.0148145513316233,-0.0261898843787733,-0.0888362209867379,-0.0364435187545064,-0.00736824576309521,0.0853003328691809,-0.00702423969990216,-0.123474358098724,0,0,0
"SW_1011",0.0368492361966314,1.11680076841558,0.0811919588007138,-0.0448165025345729,-0.188550646702703,-0.0677988104413616,-0.160661730672016,-0.216665783202628,-0.0810062757924718,-0.149917212483165,0.134232745744305,6.52442845663131e-05,-0.10984519735217,-0.183315675588675,-0.110758615992574,-0.0264135779452986,0.0201121133081934,-0.10821280891455,0.0587107708721995,0,0,0
"SW_9813",-0.0772436339969433,0.0811919588007138,1.35134975544451,-0.084396508903327,-0.145292756735867,-0.132236334561498,-0.271631939013313,-0.280845150689519,-0.00137287431836004,-0.216888650178999,0.253807487949921,0.0771076942825933,-0.170896843421313,-0.272573293750443,-0.175970002022429,0.00173284833089942,-0.0576115256557694,-0.17103393562373,0.292803704062869,0,0,0
"DONA_ANA",-0.0154097917214514,-0.0448165025345729,-0.084396508903327,0.94868381562645,-0.0117282037172449,-0.0466328762566723,-0.0819424000202981,-0.0682385741428294,-0.0562595134018292,-0.112842415633071,-0.0899562516184166,-0.0334585517730295,-0.0889316765989532,-0.0126717889792836,-0.0889022947386507,0.00496760709560523,0.00617143587766808,-0.0226446319221906,-0.100990876637901,0,0,0
"NM1715PAR",-0.135089976037019,-0.188550646702703,-0.145292756735867,-0.0117282037172449,1.36498915612478,-0.129688300467321,-0.0401122669120347,0.192007451917304,-0.131160412876759,-0.112785591381407,-0.179986109156897,-0.0626815367065809,-0.111109605806729,0.304934400927759,-0.144882704732149,-0.0614996766656967,-0.126251495298033,-0.111018056242771,-0.170093669530634,0,0,0
"NM170506PAR",-0.00417282991844655,-0.0677988104413616,-0.132236334561498,-0.0466328762566723,-0.129688300467321,0.962521145200115,-0.00414669211396306,-0.0781018266277414,-0.167465689689299,0.0270864764790801,-0.175496666882572,-0.0520283677496347,0.0300145362846734,-0.0899512460354398,0.198142519639184,-0.0835129357255198,0.0161955498069778,-0.0384353878182716,-0.164292263122289,0,0,0
"NM1704PAR",-0.0710906527562587,-0.160661730672016,-0.271631939013313,-0.0819424000202981,-0.0401122669120347,-0.00414669211396306,1.03130789012428,0.173744572074631,0.00373653278319007,0.188501619234773,-0.321598377987489,-0.189775943564689,0.112356093888378,0.0485204594548749,0.0620255371918943,-0.187146412382043,-0.0824526757927053,0.0986348860089724,-0.308268499546184,0,0,0
"NM1712PAR",-0.12269261512906,-0.216665783202628,-0.280845150689519,-0.0682385741428294,0.192007451917304,-0.0781018266277414,0.173744572074631,1.27792266157101,-0.0819575596962787,0.0503332475249252,-0.328460541342943,-0.204619613303764,-0.0154007945687038,0.335043978864268,-0.0541690439576805,-0.185359919258303,-0.115539093799961,0.0112766416891337,-0.288278037921857,0,0,0
"NUMEX_BILL_MELTON",-0.166028782583275,-0.0810062757924718,-0.00137287431836004,-0.0562595134018292,-0.131160412876759,-0.167465689689299,0.00373653278319007,-0.0819575596962787,1.39528591843343,-0.117928049305483,0.0147427640039366,-0.0526844307971401,-0.110074092743509,-0.154136318987591,-0.170640472692524,-0.113700079988276,-0.139625600875422,0.0920123658041022,0.0382625727235645,0,0,0
"NM1703PAR",-0.0613881288639992,-0.149917212483165,-0.216888650178999,-0.112842415633071,-0.112785591381407,0.0270864764790801,0.188501619234773,0.0503332475249252,-0.117928049305483,1.08875918196605,-0.253182146373883,-0.136908916869426,0.192858747595124,-0.0341742972360527,0.134165622293057,-0.151025857469159,-0.0699545823067397,-0.0294498692588607,-0.235259177732769,0,0,0
