Entry_local,germplasmName,Proprietor,Trial,Genotype_id,name_from_geno_file
1,Guardsman II,,CU-FFAR,ALF26,Guardsman II
2,Regen,,CU-FFAR,ALF27,Regen.
3,Seedway 9558 SBR,,CU-FFAR,ALF28,Seedway 9558 SBR
4,Vernal,,CU-FFAR,ALF29,Vernal
5,WL 349HQ,,CU-FFAR,ALF30,WL349HQ
6,SW5606,,CU-FFAR,ALF31,SW5606
7,N-R-Gee,,CU-FFAR,ALF20,N-R-Gee
8,SW3407,,CU-FFAR,ALF21,SW3407
9,NY2003,,CU-FFAR,ALF22,NY2003
10,Algonquin,,CU-FFAR,ALF23,Algonquin
11,Lightning Bolt,,CU-FFAR,ALF24,Lightning Bolt
12,SW5210,,CU-FFAR,ALF25,SW5210
13,SW4107,,CU-FFAR,ALF32,SW4107
14,SW315 LH,,CU-FFAR,ALF33,SW315 LH
15,NY0651,,CU-FFAR,ALF34,NY0651
16,WL 358LH,,CU-FFAR,,
17,SW4602Z,,CU-FFAR,ALF35,SW4602Z
18,Oneida VR,,CU-FFAR,ALF36,Oneida VR
19,55V50,,CU-FFAR,,
20,Rebound 6XT,,CU-FFAR,,
21,Seedway 9558,,CU-FFAR,ALF37,Seedway 9558
22,SW4412Y,,CU-FFAR,ALF38,SW4412Y
23,Oneida Ultra,,CU-FFAR,ALF39,Oneida Ultra
24,Ezra,,CU-FFAR,ALF40,Ezra
25,AmeriStand 427 TQ,,CU-FFAR,,
26,NY1517,,CU-FFAR,ALF41,NY1517
27,Lander,,CU-FFAR,ALF42,Lander
28,NY1614,,CU-FFAR,ALF43,NY1614
29,Pluss III,,CU-FFAR,ALF44,Pluss III
30,Hi-Gest 360,,CU-FFAR,,
31,NY0465,,CU-FFAR,ALF45,NY0465
32,FSG 421LH,,CU-FFAR,,
33,AlfaBar,,CU-FFAR,ALF46,AlfaBar
34,Persist III,,CU-FFAR,,
35,FSG 415BR,,CU-FFAR,,
36,NY1615,,CU-FFAR,ALF47,NY1615
1,AFX 149092,Alforex Seeds,NMSU,,
2,AFX 779,Alforex Seeds,NMSU,,
3,AmeriStand 803T,America's Alfalfa,NMSU,ALF01,AmeriStand 803T
4,Mesquite,Helena Chemical Co.,NMSU,ALF02,Mesquite
5,NM1701PAR,NMSU,NMSU,ALF03,NM1701PAR
6,NM1702PAR,NMSU,NMSU,ALF04,NM1702PAR
7,NM1703PAR,NMSU,NMSU,ALF05,NM1703PAR
8,NM1704PAR,NMSU,NMSU,ALF06,NM1704PAR
9,NM1705PAR,NMSU,NMSU,ALF07,NM1705PAR
10,NM170506PAR,NMSU,NMSU,ALF08,NM170506PAR
11,NM1712PAR,NMSU,NMSU,ALF09,NM1712PAR
12,NM1713PAR,NMSU,NMSU,ALF10,NM1713PAR
13,NM1715PAR,NMSU,NMSU,ALF11,NM1715PAR
14,NuMex Bill Melton CA 2019,NMSU/Alstar Seeds,NMSU,ALF12,NuMex Bill Melton CA 2019
15,NuMex Bill Melton FG2011,NMSU,NMSU,,
16,NuMex Bill Melton FG2012,NMSU,NMSU,,
17,SW 1011,S&W Seeds,NMSU,ALF13,SW 1011
18,SW 8421S,S&W Seeds,NMSU,ALF14,SW 8421S
19,SW 8888,S&W Seeds,NMSU,ALF15,SW 8888
20,SW 9720,S&W Seeds,NMSU,ALF16,SW 9720
21,SW 9812,S&W Seeds,NMSU,ALF17,SW 9812
22,SW 9813,S&W Seeds,NMSU,ALF18,SW 9813
23,TMA 990,Dyna-Gro Seed,NMSU,,
24,Dona Ana,Roswell Seed,NMSU,ALF19,Dona Ana
50,NuMex Bill Melton CA 2019,NMSU/Alstar Seeds,NMSU,ALF12,NuMex Bill Melton CA 2019
