"","Row","Range","Plot","Rep","Entry","yld2","yld3","yld4","yld5","yld6"
"1",1,1,300,1,17,9,5.95,0.35,2.75,3.6
"2",1,2,301,1,18,8.55,8.2,1.05,6.3,5.2
"3",1,3,302,2,13,6.5,6.7,0.85,4.65,2.7
"4",1,4,303,2,10,8,8.55,1.7,7,4.85
"5",1,5,304,3,22,8.6,8.7,1.85,6.55,5.2
"6",1,6,305,3,24,8.85,8.45,1.2,6.25,5.15
"7",1,7,306,4,11,7.15,5.95,0.45,3.3,2.55
"8",1,8,307,4,8,8,6.6,0.8,4.3,3.55
"9",2,8,308,4,50,9.4,7.95,1.3,5.55,4.25
"10",2,7,309,4,50,9.3,8.2,1.2,5.25,4.25
"11",2,6,310,3,50,8.3,7.65,1.5,5.35,4.05
"12",2,5,311,3,50,8.8,8.25,1.65,5.75,4.4
"13",2,4,312,2,50,7.75,7.9,1.3,5.75,4.1
"14",2,3,313,2,50,9,9,1.85,6.55,4.7
"15",2,2,314,1,50,9.5,8.6,1.4,6.7,4.7
"16",2,1,315,1,50,9.6,4.9,0.25,2.45,2.7
"17",3,1,316,1,7,9.25,5.05,0.35,2.7,3.25
"18",3,2,317,1,2,9.8,10.25,2.25,7.25,5.25
"19",3,3,318,2,7,8.6,9.8,2.55,7.15,5.3
"20",3,4,319,2,20,8.2,8.5,1.95,6.1,4.75
"21",3,5,320,3,17,8.35,9.05,1.9,6.3,5
"22",3,6,321,3,13,6.5,6.7,0.85,4.1,2.6
"23",3,7,322,4,3,9.1,9.05,1.95,6.05,5.1
"24",3,8,323,4,14,7.9,7.3,1.25,4.6,3.6
"25",4,8,324,4,2,9.3,8.95,1.8,6.2,4.45
"26",4,7,325,4,6,7.6,7.6,1.45,5.85,4.3
"27",4,6,326,3,14,9.05,8.4,1.85,5.9,4.5
"28",4,5,327,3,1,9,9.1,1.6,6.45,5.3
"29",4,4,328,2,1,8.6,10,2.3,7,6.1
"30",4,3,329,2,15,7.9,8.55,2,5.35,3.75
"31",4,2,330,1,8,8.75,9.4,1.65,6.8,4.8
"32",4,1,331,1,23,11.1,7.95,0.7,5.55,6.15
"33",5,1,332,1,50,11.95,9.95,1,5.15,5
"34",5,2,333,1,50,10.4,10.25,2.05,7.4,5.1
"35",5,3,334,2,50,8.9,9.3,2.3,6,4.45
"36",5,4,335,2,50,8.6,8.55,1.75,5.85,4.35
"37",5,5,336,3,50,9.45,8.6,1.3,6,4.6
"38",5,6,337,3,50,9.05,8.55,1.6,5.9,4.25
"39",5,7,338,4,50,8.95,8.3,1.35,5.7,4.35
"40",5,8,339,4,50,8.5,7.9,2,5.6,4.3
"41",6,8,340,4,1,7.3,7.9,1.55,5.85,4.35
"42",6,7,341,4,12,6.45,6.25,0.8,4.3,2.4
"43",6,6,342,3,15,7.55,6.9,0.85,5,3.25
"44",6,5,343,3,19,7.6,7.65,1.05,4.75,3.8
"45",6,4,344,2,9,8.55,9.45,2.1,7.1,4.9
"46",6,3,345,2,24,9.8,10.7,2.5,7.3,5.65
"47",6,2,346,1,1,9.8,10.15,1.95,7.55,5.85
"48",6,1,347,1,24,11.8,11.25,1.65,7,6.05
"49",7,1,348,1,10,11.7,10.85,1.4,6.9,5.8
"50",7,2,349,1,14,9.9,9.65,1.25,6.5,4.6
"51",7,3,350,2,18,9.2,9.9,2,7.4,5.35
"52",7,4,351,2,12,6.65,5.95,0.55,3.6,2.55
"53",7,5,352,3,20,9.15,8.5,1.55,5.7,4.55
"54",7,6,353,3,3,8.25,7.85,1.3,5.65,4.4
"55",7,7,354,4,23,9.35,9.65,2.25,7.2,5.4
"56",7,8,355,4,15,7.75,6.95,1.55,4.4,3.15
"57",8,8,356,4,50,8.25,7.9,1.5,5.8,3.7
"58",8,7,357,4,50,8.5,8.1,1.5,5.95,3.75
"59",8,6,358,3,50,8.1,7.5,0.95,4.8,3.6
"60",8,5,359,3,50,8.4,7.9,1,5.35,3.65
"61",8,4,360,2,50,8.7,8.25,1.3,6.1,4.35
"62",8,3,361,2,50,9.75,9.3,1.5,6.9,4.6
"63",8,2,362,1,50,11.25,10.35,1.7,6.85,4.75
"64",8,1,363,1,50,12.4,10.7,1.3,6.55,5.4
"65",9,1,364,1,20,10.35,9.7,1.35,5.95,4.8
"66",9,2,365,1,15,10.2,9.3,1.45,5.8,4.05
"67",9,3,366,2,6,8.55,8.8,1.3,6.7,4.45
"68",9,4,367,2,2,8.5,8.65,1,6.15,4.2
"69",9,5,368,3,11,7.3,6.35,0.6,3.7,2.7
"70",9,6,369,3,16,9.2,8.1,1.25,5,3.45
"71",9,7,370,4,19,7.3,7.6,1.25,5.4,3.75
"72",9,8,371,4,18,7.7,8.3,1.85,6.1,4.7
"73",10,8,372,4,22,8.4,8.8,2.2,6.65,4.75
"74",10,7,373,4,7,10.2,10.15,1.9,6.8,4.55
"75",10,6,374,3,4,10.05,10.15,1.75,5.9,4.4
"76",10,5,375,3,23,11.3,9.8,1.55,6.85,6.1
"77",10,4,376,2,23,10,10.1,1.5,7.5,6
"78",10,3,377,2,8,10.1,9.95,1.45,6.9,4.55
"79",10,2,378,1,16,11.3,10.15,1.65,6.05,4.25
"80",10,1,379,1,3,10.9,10.1,1.25,6.3,5.65
"81",11,1,380,1,50,11.55,10.4,0.8,5.85,4.65
"82",11,2,381,1,50,9.4,9.1,1,5.8,4.3
"83",11,3,382,2,50,9.35,9.5,1.25,5.6,3.8
"84",11,4,383,2,50,10.25,9.5,1.05,5.1,3.8
