"","Row","Range","Plot","Rep","Entry","yld2","yld3","yld4","yld5","yld6","yld7"
"1",1,1,100,1,18,5.5,4.88822534688889,3.5,4.4,4.8,3.85
"2",1,2,101,1,17,4.85,4.90053046244444,3.6,4.3,4.4,3.25
"3",1,3,102,2,22,3.85,3.68018661422222,2.85,4.35,4.65,3.6
"4",1,4,103,2,24,4.8,4.42719823411111,3.5,4.25,4.2,3.1
"5",1,5,104,3,13,2.3,1.65812404877778,1.25,1.95,2.55,1
"6",1,6,105,3,10,4.25,4.26144333144444,3.15,3.9,4.45,2.95
"7",1,7,106,4,8,4.7,4.50088565122222,3.3,3.7,4.2,2.8
"8",1,8,107,4,11,3.05,3.07337277522222,2.05,2.5,2.9,1.65
"9",2,8,108,4,50,4.6,4.27094769322222,3.3,4,4.15,2.8
"10",2,7,109,4,50,4.65,4.31781635122222,3.15,3.9,4.15,2.85
"11",2,6,110,3,50,4.65,3.74883212344444,2.7,3.4,3.8,2.65
"12",2,5,111,3,50,4.8,4.13858877077778,3.05,3.9,4.15,2.55
"13",2,4,112,2,50,5.1,4.19483519411111,3.2,4.15,4.35,3.05
"14",2,3,113,2,50,4.9,4.06166780622222,3.4,4.35,4.8,3.15
"15",2,2,114,1,50,5.15,4.67561825644444,3.1,4.3,4.45,3.35
"16",2,1,115,1,50,5.9,5.17482203888889,3.5,4.55,4.7,3.4
"17",3,1,116,1,2,5.7,5.54752962488889,3.75,4.3,4.75,3.25
"18",3,2,117,1,7,5.15,5.08179119244444,3.65,4.55,4.6,3.3
"19",3,3,118,2,17,5.35,4.85496419822222,3.55,4.15,4.1,3.35
"20",3,4,119,2,13,3.05,2.05091838211111,1.25,1.95,2.15,0.75
"21",3,5,120,3,7,5.15,4.71085543277778,3.9,4.75,4.85,3.35
"22",3,6,121,3,20,4.45,4.12806382144444,2.7,3.5,3.85,2.75
"23",3,7,122,4,14,5.45,4.95441304322222,3.55,4.2,4.5,3.2
"24",3,8,123,4,3,5.3,5.13060314722222,3.95,4.9,4.9,3.65
"25",4,8,124,4,6,4.8,4.33783351922222,3.5,4.15,4.6,2.8
"26",4,7,125,4,2,5.3,4.88853977922222,3.45,4.15,4.25,2.9
"27",4,6,126,3,1,6,5.79354103544444,4,4.15,4.65,3.9
"28",4,5,127,3,15,4.25,3.59956699677778,2.35,3.35,3.65,2.1
"29",4,4,128,2,14,5,4.44042595411111,3.35,4.5,4.95,3.3
"30",4,3,129,2,1,5.75,5.36625263422222,3.8,4.35,4.8,4.05
"31",4,2,130,1,23,6.15,6.24290404044444,4.75,5.55,5.55,4.8
"32",4,1,131,1,8,5.85,5.52151510888889,3.95,4.1,4.75,3.15
"33",5,1,132,1,50,6.2,5.91450519888889,4.05,4.2,4.5,3.2
"34",5,2,133,1,50,5.5,4.88959711044444,3.2,4.1,4.35,3.2
"35",5,3,134,2,50,4.55,4.35346583822222,3.2,3.95,4.2,2.9
"36",5,4,135,2,50,4.6,4.65365367411111,3.2,4.2,4.55,3.1
"37",5,5,136,3,50,4.45,3.63197491077778,2.6,3.4,3.9,2.6
"38",5,6,137,3,50,4.35,4.02193575944444,2.8,3.2,3.6,2.35
"39",5,7,138,4,50,4.8,4.24299389322222,2.95,3.7,3.95,2.75
"40",5,8,139,4,50,4.9,4.68673120922222,3.4,4.15,4.15,3.05
"41",6,8,140,4,12,3.9,3.41181900322222,2.4,2.35,2.85,1.4
"42",6,7,141,4,1,5.05,4.82028630722222,3.55,4.1,4.55,3.3
"43",6,6,142,3,9,4.95,4.91205984344444,3.8,4.3,4.55,3.35
"44",6,5,143,3,24,5.5,5.21464816077778,3.85,4.2,4.35,3.35
"45",6,4,144,2,15,4.65,4.05255136411111,3,3.65,3.65,2.1
"46",6,3,145,2,19,5.25,5.18296287222222,4.05,4.6,4.75,3.2
"47",6,2,146,1,24,6.75,7.20542550044444,5.25,5.65,5.8,4.25
"48",6,1,147,1,1,5.5,5.95304117488889,4.4,4.7,5.5,4.2
"49",7,1,148,1,14,6.25,6.19281017488889,4.7,5.45,5.85,3.85
"50",7,2,149,1,10,5.7,6.13121955444444,4.45,5,5.3,3.8
"51",7,3,150,2,20,5.35,5.53318333422222,4.25,4.9,5.25,3.55
"52",7,4,151,2,3,6,6.24223452411111,5.15,5.65,5.5,4
"53",7,5,152,3,18,5.05,5.36733857877778,4.15,4.85,5,3.2
"54",7,6,153,3,12,4.8,4.36029614744444,3.35,3.6,4,2.35
"55",7,7,154,4,15,5.1,4.71499521922222,3.25,4,3.9,2.2
"56",7,8,155,4,23,5.7,6.38091335722222,5.1,5.15,5.45,4.05
"57",8,8,156,4,50,5.8,5.51565660522222,3.95,4.55,4.7,3
"58",8,7,157,4,50,5.7,5.59096486122222,3.9,4.8,4.95,3.15
"59",8,6,158,3,50,6,5.73124003744444,4.5,5.15,5.05,3.65
"60",8,5,159,3,50,6.25,5.86729370477778,4.3,5.1,5.1,3.45
"61",8,4,160,2,50,5.75,5.56026753411111,4.3,5,5,3.35
"62",8,3,161,2,50,6.75,6.31664868422222,4.9,5.6,5.65,3.7
"63",8,2,162,1,50,5.55,5.58342417444444,4.2,4.5,5,3.1
"64",8,1,163,1,50,5.8,5.84986495888889,4.3,4.95,5.1,3.35
"65",9,1,164,1,15,5.65,5.12208674688889,3.65,4.2,4.5,2.7
"66",9,2,165,1,20,5.7,5.76962481644444,4.25,4.55,4.8,3.35
"67",9,3,166,2,11,4.95,4.77740644822222,3.5,4.2,4.4,2.45
"68",9,4,167,2,16,5.3,4.92543453811111,3.55,4.3,4.6,2.6
"69",9,5,168,3,6,4.8,4.65243300277778,4,4.8,4.8,3.3
"70",9,6,169,3,2,5.8,5.71298656544444,4.15,4.95,5.25,3.7
"71",9,7,170,4,18,6.5,6.60304539722222,5.6,5.95,6.05,4.3
"72",9,8,171,4,19,5.45,5.56036551722222,4.3,4.9,5.25,3.4
"73",10,8,172,4,7,5.75,6.68501238722222,5.2,5.7,6.25,4.4
"74",10,7,173,4,22,6.4,6.59912195522222,5.45,6,6.25,4.4
"75",10,6,174,3,23,6.5,6.95394762344444,5.9,6.4,6.25,5.15
"76",10,5,175,3,8,5.85,5.83113793677778,4.6,5.4,5.3,3.5
"77",10,4,176,2,4,4.85,4.99183847411111,4.15,4.4,4.3,2.9
"78",10,3,177,2,23,6.7,7.21409288822222,6.05,6.2,5.9,4.55
"79",10,2,178,1,3,5.5,5.88898059844444,4.6,5.2,5,3.45
"80",10,1,179,1,16,4.85,4.63143199088889,3.75,3.7,4.15,2.3
"81",11,1,180,1,50,5.7,5.35229004088889,4,4.25,4.4,2.85
"82",11,2,181,1,50,5.85,5.62196015044444,4.1,4.55,5.05,3.3
"83",11,3,182,2,50,5.5,5.49535361822222,3.9,4.55,4.5,2.7
"84",11,4,183,2,50,4.9,4.69840746011111,3.45,4.05,3.95,2.9
"85",11,5,184,3,50,5.8,5.54282242277778,4.35,4.95,4.8,3.55
"86",11,6,185,3,50,7.2,6.83772318344444,5.25,5.85,6.4,4.6
"87",11,7,186,4,50,6.2,6.40600115122222,4.7,5.45,5.9,3.95
"88",11,8,187,4,50,5.7,5.69669687322222,4.35,4.85,5.05,3
"89",12,8,188,4,10,6.15,6.95335560722222,5.35,5.75,5.7,3.75
"90",12,7,189,4,16,7.3,6.55335560722222,4.8,5.55,6.05,3.45
"91",12,6,190,3,3,7.2,7.47652449544444,6.1,6.15,6.75,5.35
"92",12,5,191,3,5,5.65,5.52364222877778,3.9,4.3,4.7,3.2
"93",12,4,192,2,10,5.45,5.09779094811111,3.95,4.45,4.65,3.35
"94",12,3,193,2,6,4.8,4.66100642022222,3.7,4.15,4.3,2.9
"95",12,2,194,1,12,4.55,4.32517733244444,3,3.1,3.2,1.75
"96",12,1,195,1,9,6.65,6.92579363488889,5.05,5.2,5.35,3.4
"97",13,1,196,1,21,5,4.45718507888889,3.1,3.35,3.8,2
"98",13,2,197,1,11,6.6,6.31781624644444,5.15,5.3,5.35,3.95
"99",13,3,198,2,2,5.55,5.00037937022222,3.95,4.3,4.45,3.25
"100",13,4,199,2,18,5.6,5.48125629811111,4.1,4.6,4.85,3.5
"101",13,5,200,3,17,5.8,5.71200261677778,4.55,4.65,4.9,3.8
"102",13,6,201,3,22,7.6,7.60386178344444,6.4,6.85,7.05,5.1
"103",13,7,202,4,21,7.9,8.16001434122222,6.3,6.85,7,4.9
"104",13,8,203,4,24,8.25,8.39237738122222,6.6,7.15,7.05,4.4
"105",14,8,204,4,50,5.85,5.62033118122222,4.25,5.15,5.1,3
"106",14,7,205,4,50,6.75,6.43571864722222,4.95,5.6,5.7,3.75
"107",14,6,206,3,50,8,7.25729942744444,5.35,6.1,6.2,4.5
"108",14,5,207,3,50,6.15,5.49414519477778,4.05,4.5,4.55,3.35
"109",14,4,208,2,50,5.35,4.47750844411111,3.55,3.75,4.2,3.1
"110",14,3,209,2,50,6.35,5.43428564422222,4,4.65,4.85,3.45
"111",14,2,210,1,50,6.05,5.57901493444444,3.9,4.35,4.4,2.95
"112",14,1,211,1,50,5.55,5.39775008688889,4.05,4.35,4.45,3.05
"113",15,1,212,1,5,6.2,5.62371972888889,4.2,4.15,4.25,3.1
"114",15,2,213,1,13,5.1,4.65454365244444,3.05,3.15,3.6,1.6
"115",15,3,214,2,7,5.7,5.75430281222222,4.35,4.8,4.9,3.55
"116",15,4,215,2,21,6.25,6.10065695411111,4.75,5.25,5.4,4.35
"117",15,5,216,3,4,5.55,5.23836830877778,4.55,4.85,4.85,3.65
"118",15,6,217,3,19,7.95,7.25311064944444,6,6.45,6.5,4.75
"119",15,7,218,4,9,5.95,6.42910478722222,5.05,5.5,5.25,3.45
"120",15,8,219,4,17,6.4,6.56684866322222,5.3,5.65,5.35,3.5
"121",16,8,220,4,13,5.05,4.83210150722222,3.3,3.55,3.75,1.65
"122",16,7,221,4,4,6.05,6.27050676922222,5,5.55,5.5,3.9
"123",16,6,222,3,11,6.2,5.44693771344444,4.05,4.45,4.8,2.85
"124",16,5,223,3,14,7.2,6.32161319677778,4.7,5.25,4.95,3.8
"125",16,4,224,2,8,6.85,6.40343321211111,4.9,5.05,5.25,3.75
"126",16,3,225,2,5,6.2,5.80725856622222,4.4,4.8,4.75,3.4
"127",16,2,226,1,6,5.8,5.64202219244445,4.25,4.5,4.7,3.35
"128",16,1,227,1,22,6.7,6.38919694288889,4.95,5.1,5.1,3.95
"129",17,1,228,1,50,7.25,6.31071247088889,4.75,5.2,4.95,3.4
"130",17,2,229,1,50,7.35,6.61168818444444,4.65,5.3,5.55,3.55
"131",17,3,230,2,50,7.25,6.11316616622222,4.15,4.45,4.7,3.1
"132",17,4,231,2,50,7.3,5.96617904211111,4.5,4.9,5.35,3.5
"133",17,5,232,3,50,7.65,6.95627060477778,5.4,5.95,5.9,3.8
"134",17,6,233,3,50,10.05,8.75346573344445,6.6,7.75,8.1,5.75
"135",17,7,234,4,50,6.8,6.16367244722222,4.65,5.2,5.5,3.5
"136",17,8,235,4,50,6.45,5.82976617322222,3.95,4.55,5.15,3
"137",18,8,236,4,20,7.15,6.62588760522222,5.1,5.7,5.65,4
"138",18,7,237,4,5,7.3,6.56459916922222,4.6,5.5,5.55,3.7
"139",18,6,238,3,16,10.45,8.44521889144444,5.7,6.65,7.05,5.3
"140",18,5,239,3,21,9.5,9.78162373477778,7.65,8.2,7.9,5.85
"141",18,4,240,2,9,8.25,8.08610646211111,6.2,6.4,6.7,4.65
"142",18,3,241,2,12,6.85,5.42568762622222,3.55,3.4,4.05,2.2
"143",18,2,242,1,19,8.65,8.36631788644444,6.05,6.55,6.4,3.9
"144",18,1,243,1,4,6.85,6.45590718088889,4.8,5.4,5.1,3.6
