"","Harvest","Rep1","Rep2","Base","Spa(AR)","PEE","Model","Delta"
"1","YLD2","1","2",0.477340472978982,0.622946388318788,0.922592293704196,"AR",0.145605915339806
"2","YLD2","1","2",0.477340472978982,0.622946388318788,0.922592293704196,"RR",0.445251820725214
"3","YLD2","1","3",0.680328699525456,0.620203094597494,0.920857530872258,"AR",-0.0601256049279627
"4","YLD2","1","3",0.680328699525456,0.620203094597494,0.920857530872258,"RR",0.240528831346802
"5","YLD2","1","4",0.600356400499797,0.482444639722238,0.710829775308364,"AR",-0.117911760777559
"6","YLD2","1","4",0.600356400499797,0.482444639722238,0.710829775308364,"RR",0.110473374808567
"7","YLD2","2","3",0.727295965104126,0.734590934837263,0.838817669944152,"AR",0.00729496973313648
"8","YLD2","2","3",0.727295965104126,0.734590934837263,0.838817669944152,"RR",0.111521704840026
"9","YLD2","2","4",0.70992970380544,0.739906630685708,0.70226576364008,"AR",0.0299769268802675
"10","YLD2","2","4",0.70992970380544,0.739906630685708,0.70226576364008,"RR",-0.00766394016536043
"11","YLD2","3","4",0.593970311985605,0.516717764268087,0.60599887198226,"AR",-0.0772525477175187
"12","YLD2","3","4",0.593970311985605,0.516717764268087,0.60599887198226,"RR",0.012028559996655
"13","YLD3","1","2",0.257516024193578,0.199511550987405,0.58638739072471,"AR",-0.0580044732061736
"14","YLD3","1","2",0.257516024193578,0.199511550987405,0.58638739072471,"RR",0.328871366531132
"15","YLD3","1","3",0.273480857021632,NA,0.514670284151182,"AR",NA
"16","YLD3","1","3",0.273480857021632,NA,0.514670284151182,"RR",0.24118942712955
"17","YLD3","1","4",0.45709285499532,0.534280219210802,0.749816439347411,"AR",0.0771873642154822
"18","YLD3","1","4",0.45709285499532,0.534280219210802,0.749816439347411,"RR",0.292723584352092
"19","YLD3","2","3",0.527523376206748,NA,0.508022680083389,"AR",NA
"20","YLD3","2","3",0.527523376206748,NA,0.508022680083389,"RR",-0.0195006961233584
"21","YLD3","2","4",0.632026108598817,0.7107881364028,0.589389225146871,"AR",0.0787620278039834
"22","YLD3","2","4",0.632026108598817,0.7107881364028,0.589389225146871,"RR",-0.0426368834519457
"23","YLD3","3","4",0.634667773407243,NA,0.58015547508138,"AR",NA
"24","YLD3","3","4",0.634667773407243,NA,0.58015547508138,"RR",-0.0545122983258621
"25","YLD4","1","2",0.147979125964798,0.377810275450823,0.714611947869497,"AR",0.229831149486025
"26","YLD4","1","2",0.147979125964798,0.377810275450823,0.714611947869497,"RR",0.566632821904699
"27","YLD4","1","3",0.609461557895726,0.589764594966633,0.554917293781209,"AR",-0.0196969629290934
"28","YLD4","1","3",0.609461557895726,0.589764594966633,0.554917293781209,"RR",-0.0545442641145174
"29","YLD4","1","4",0.581644054343428,NA,0.741738120381847,"AR",NA
"30","YLD4","1","4",0.581644054343428,NA,0.741738120381847,"RR",0.160094066038418
"31","YLD4","2","3",0.382815872246939,0.62365927549507,0.807805135312376,"AR",0.240843403248131
"32","YLD4","2","3",0.382815872246939,0.62365927549507,0.807805135312376,"RR",0.424989263065437
"33","YLD4","2","4",0.46708682969511,NA,0.81857426804698,"AR",NA
"34","YLD4","2","4",0.46708682969511,NA,0.81857426804698,"RR",0.35148743835187
"35","YLD4","3","4",0.78466613325676,NA,0.837561325537568,"AR",NA
"36","YLD4","3","4",0.78466613325676,NA,0.837561325537568,"RR",0.052895192280808
"37","YLD5","1","2",0.393914987197179,0.364996857292503,0.962240513694163,"AR",-0.0289181299046756
"38","YLD5","1","2",0.393914987197179,0.364996857292503,0.962240513694163,"RR",0.568325526496984
"39","YLD5","1","3",0.611391059293982,0.660293632141638,0.976535986764846,"AR",0.0489025728476564
"40","YLD5","1","3",0.611391059293982,0.660293632141638,0.976535986764846,"RR",0.365144927470864
