"","Harvest","Rep1","Rep2","Base","Spa(AR)","PEE","Model","Delta"
"1","YLD2","1","2",-0.0463011364464445,0.160216346032876,0.409006384600574,"AR",0.20651748247932
"2","YLD2","1","2",-0.0463011364464445,0.160216346032876,0.409006384600574,"RR",0.455307521047018
"3","YLD2","1","3",0.22915512035019,0.192071637724213,0.473383402445618,"AR",-0.0370834826259774
"4","YLD2","1","3",0.22915512035019,0.192071637724213,0.473383402445618,"RR",0.244228282095428
"5","YLD2","1","4",0.0831513777184408,0.0563630128130271,0.579710634131982,"AR",-0.0267883649054138
"6","YLD2","1","4",0.0831513777184408,0.0563630128130271,0.579710634131982,"RR",0.496559256413541
"7","YLD2","2","3",-0.189943828842361,0.70728862179409,0.358374507805875,"AR",0.897232450636451
"8","YLD2","2","3",-0.189943828842361,0.70728862179409,0.358374507805875,"RR",0.548318336648236
"9","YLD2","2","4",-0.152721128227961,0.564872419206805,0.380505240834721,"AR",0.717593547434767
"10","YLD2","2","4",-0.152721128227961,0.564872419206805,0.380505240834721,"RR",0.533226369062683
"11","YLD2","3","4",0.530891188513711,0.756061883875129,0.775107867546465,"AR",0.225170695361419
"12","YLD2","3","4",0.530891188513711,0.756061883875129,0.775107867546465,"RR",0.244216679032754
"13","YLD3","1","2",0.149831355045517,0.306586216310902,0.73358771774871,"AR",0.156754861265385
"14","YLD3","1","2",0.149831355045517,0.306586216310902,0.73358771774871,"RR",0.583756362703193
"15","YLD3","1","3",0.155394750429587,0.124420832126711,0.69533193421128,"AR",-0.0309739183028763
"16","YLD3","1","3",0.155394750429587,0.124420832126711,0.69533193421128,"RR",0.539937183781693
"17","YLD3","1","4",0.171008087892177,0.16106485619671,0.75454743658759,"AR",-0.0099432316954671
"18","YLD3","1","4",0.171008087892177,0.16106485619671,0.75454743658759,"RR",0.583539348695413
"19","YLD3","2","3",0.235543409179027,0.681816192764294,0.849081323355383,"AR",0.446272783585267
"20","YLD3","2","3",0.235543409179027,0.681816192764294,0.849081323355383,"RR",0.613537914176356
"21","YLD3","2","4",0.213309785212089,0.702128336458657,0.809492823907368,"AR",0.488818551246568
"22","YLD3","2","4",0.213309785212089,0.702128336458657,0.809492823907368,"RR",0.596183038695278
"23","YLD3","3","4",0.572555492834437,0.855804156435549,0.906286233808405,"AR",0.283248663601112
"24","YLD3","3","4",0.572555492834437,0.855804156435549,0.906286233808405,"RR",0.333730740973967
"25","YLD4","1","2",0.26779466788444,0.500775581848662,0.857010453957441,"AR",0.232980913964222
"26","YLD4","1","2",0.26779466788444,0.500775581848662,0.857010453957441,"RR",0.589215786073001
"27","YLD4","1","3",0.238291628567397,0.237365643036979,0.812564473272019,"AR",-0.000925985530418755
"28","YLD4","1","3",0.238291628567397,0.237365643036979,0.812564473272019,"RR",0.574272844704622
"29","YLD4","1","4",0.156377246347228,0.258705648423592,0.807180087863632,"AR",0.102328402076364
"30","YLD4","1","4",0.156377246347228,0.258705648423592,0.807180087863632,"RR",0.650802841516404
"31","YLD4","2","3",0.352946637877659,0.633198098676055,0.903887616039718,"AR",0.280251460798396
"32","YLD4","2","3",0.352946637877659,0.633198098676055,0.903887616039718,"RR",0.550940978162059
"33","YLD4","2","4",0.345547306740237,0.730640638261744,0.852034614961512,"AR",0.385093331521507
"34","YLD4","2","4",0.345547306740237,0.730640638261744,0.852034614961512,"RR",0.506487308221275
"35","YLD4","3","4",0.563152230099466,0.7161010264187,0.856111375750272,"AR",0.152948796319233
"36","YLD4","3","4",0.563152230099466,0.7161010264187,0.856111375750272,"RR",0.292959145650805
"37","YLD5","1","2",0.432427332329462,0.452398351064473,0.925614113930722,"AR",0.0199710187350119
"38","YLD5","1","2",0.432427332329462,0.452398351064473,0.925614113930722,"RR",0.493186781601261
"39","YLD5","1","3",0.267394833046187,0.267394647677859,0.881372349088389,"AR",-1.85368328464719e-07
"40","YLD5","1","3",0.267394833046187,0.267394647677859,0.881372349088389,"RR",0.613977516042202
"41","YLD5","1","4",0.331808840869422,0.374952285838096,0.951342807888306,"AR",0.0431434449686743
"42","YLD5","1","4",0.331808840869422,0.374952285838096,0.951342807888306,"RR",0.619533967018885
"43","YLD5","2","3",0.571317290473695,0.626304211467094,0.877404712426555,"AR",0.0549869209933986
"44","YLD5","2","3",0.571317290473695,0.626304211467094,0.877404712426555,"RR",0.30608742195286
"45","YLD5","2","4",0.560712772503951,0.693359803485012,0.871644718712032,"AR",0.132647030981062
"46","YLD5","2","4",0.560712772503951,0.693359803485012,0.871644718712032,"RR",0.310931946208081
"47","YLD5","3","4",0.626313913773092,0.584987883745483,0.926318255669358,"AR",-0.0413260300276088
"48","YLD5","3","4",0.626313913773092,0.584987883745483,0.926318255669358,"RR",0.300004341896265
"49","YLD6","1","2",0.41904903189346,0.50039015312635,0.953564806649512,"AR",0.0813411212328904
"50","YLD6","1","2",0.41904903189346,0.50039015312635,0.953564806649512,"RR",0.534515774756053
"51","YLD6","1","3",0.241098905530841,0.229434975331329,0.907357098576476,"AR",-0.0116639301995121
"52","YLD6","1","3",0.241098905530841,0.229434975331329,0.907357098576476,"RR",0.666258193045635
"53","YLD6","1","4",0.370827344598293,0.414473309264722,0.948464202829746,"AR",0.0436459646664287
"54","YLD6","1","4",0.370827344598293,0.414473309264722,0.948464202829746,"RR",0.577636858231452
"55","YLD6","2","3",0.492489307765473,0.746889694826637,0.937411967265833,"AR",0.254400387061164
"56","YLD6","2","3",0.492489307765473,0.746889694826637,0.937411967265833,"RR",0.44492265950036
"57","YLD6","2","4",0.486977761905669,0.672549142731852,0.954193115259945,"AR",0.185571380826182
"58","YLD6","2","4",0.486977761905669,0.672549142731852,0.954193115259945,"RR",0.467215353354276
"59","YLD6","3","4",0.706330984667894,0.851844253505612,0.955037522153866,"AR",0.145513268837719
"60","YLD6","3","4",0.706330984667894,0.851844253505612,0.955037522153866,"RR",0.248706537485972
"61","YLD7","1","2",0.496769626740214,0.48454827503606,0.677739805611365,"AR",-0.0122213517041542
"62","YLD7","1","2",0.496769626740214,0.48454827503606,0.677739805611365,"RR",0.18097017887115
"63","YLD7","1","3",0.319485050839626,0.393893924627771,0.78985877663123,"AR",0.0744088737881449
"64","YLD7","1","3",0.319485050839626,0.393893924627771,0.78985877663123,"RR",0.470373725791604
"65","YLD7","1","4",0.49399492236116,0.48968135768939,0.749425740738527,"AR",-0.00431356467176969
"66","YLD7","1","4",0.49399492236116,0.48968135768939,0.749425740738527,"RR",0.255430818377366
