"Time","Herit_ndvi","Herit_ndvi_spa","Herit_gndvi","Herit_gndvi_spa","Herit_ndre","Herit_ndre_spa"
131,0.12,0,0.05,0.72,0.04,0
138,0.13,0.13,0.31,0.73,0.55,0.79
145,0.34,0.62,0.15,0.62,0.3,0.57
152,0.27,0.71,0.2,0.66,0.29,0.73
160,0.19,0.81,0.29,0.94,0.1,0.23
165,0.3,0.67,0.78,0.97,0.65,0.92
173,0.32,0.79,0.1,0.84,0.22,0.68
179,0.35,0.83,0.22,0.91,0.03,0.77
192,0,0.81,0.35,0.97,0,0.81
201,0.21,0.6,0.26,0.94,0.33,0.95
206,0.04,0.51,0.2,0.88,0.12,0
263,0.38,0.74,0.4,0.91,0.18,0.76
270,0,0.13,0,0.22,0.04,0.08
278,0.4,0.83,0.28,0.99,0.33,0.66
293,0.48,0.71,0.53,0.94,0.57,0.77
299,0.44,0.7,0.41,0.96,0.3,0.62
307,0.21,0.79,0,0.81,0.1,0.56
