"Time","Herit_ndvi","Herit_ndvi_spa","Herit_gndvi","Herit_gndvi_spa","Herit_ndre","Herit_ndre_spa"
138,0.09,0.09,0.28,0.62,0.13,0.43
145,0.19,0.66,0.42,0.71,0.25,0.25
152,0.25,0.8,0.25,0.74,0.05,0.71
160,0.02,0.88,0.13,0.78,0.08,0.68
165,0.09,0.18,0.46,0.8,0.58,0.75
173,0.22,0.41,0.26,0.8,0.11,0.43
179,0.21,0.68,0.45,0.77,0.25,0.63
187,0,0.15,0.08,0.82,0.02,0.81
192,0,0,0.52,0.82,0.41,0.63
201,0.24,0.66,0.52,0.76,0.16,0.69
206,0.22,0.73,0.31,0.6,0.01,0.5
215,0,0,0.17,0.87,0.07,0.21
223,0.41,0.46,0.63,0.8,0.26,0.38
228,0.15,0.56,0.32,0.74,0,0.49
237,0.09,0.24,0.08,0.35,0.03,0.12
242,0.2,0.64,0.11,0.7,0.09,0.53
257,0,0.22,0.26,0.83,0.04,0.29
263,0.3,0.68,0.3,0.7,0.21,0.53
278,0.3,0.76,0.36,0.75,0.29,0.62
293,0.23,0.63,0.6,0.82,0.4,0.53
299,0.4,0.62,0.64,0.8,0.31,0.48
307,0.25,0.7,0.15,0.79,0.01,0.01
