"","X.1","Germplasm","Rep","Plot","Row","Range","yld2","yld3","yld4","yld5","yld6","GNDVI_131","NDVI_131","GNDVI_138","NDVI_138","GNDVI_145","NDVI_145","GNDVI_152","NDVI_152","GNDVI_160","NDVI_160","GNDVI_165","NDVI_165","GNDVI_173","NDVI_173","GNDVI_179","NDVI_179","GNDVI_192","NDVI_192","GNDVI_201","NDVI_201","GNDVI_206","NDVI_206","GNDVI_263","NDVI_263","GNDVI_278","NDVI_278","GNDVI_293","NDVI_293","GNDVI_299","NDVI_299","GNDVI_307","NDVI_307","sca_yld2","sca_yld3","sca_yld4","sca_yld5","sca_yld6","GNDVI_153","GNDVI_182","GNDVI_208","GNDVI_279","GNDVI_311","spa_int_yld2","spa_slp_yld2","PEE_153","spa_int_yld3","spa_slp_yld3","PEE_182","spa_int_yld4","spa_slp_yld4","PEE_208","spa_int_yld5","spa_slp_yld5","PEE_279","spa_int_yld6","spa_slp_yld6","PEE_311"
"1",1,"SW_1011","1","300","1","1",9,5.95,0.35,2.75,3.6,0.0816952119800104,0.442585449930119,0.170723149886549,0.473638002209431,0.361022579939084,0.580072992404899,0.399351233654966,0.577209599889338,0.00950784906196098,0.286331143497193,0.116193282432877,0.418999061232442,0.248838104985857,0.404153882941544,0.29013329471343,0.467916387174981,-0.0101415495491799,0.447449663371332,-0.02711924125209,0.427142871717534,0.0219387711931225,0.437873682320326,-0.0934930251352023,0.468797352060208,0.132088141879687,0.425609709923765,0.141731369399203,0.395680511202232,0.100209537630473,0.448325612129044,0.278026324697053,0.436955900864212,0.211353972670554,0.170238411556256,0.0347326816345654,0.132603126204522,0.248864731632265,0.211353972670554,0.170238411556256,0.0347326816345654,0.132603126204522,0.248864731632265,-0.00658665640914656,-0.0024532274079659,-0.0108357709036958,-0.0193747160916548,-1.2501266210365e-05,-0.0193963689197955,-0.0518660637651065,-5.04657648270803e-05,-0.0519534730334479,-0.0999536144022473,-0.00534032645412089,-0.109203331109369,-0.0283422630805375,0.00317873338718765,-0.0228365353742724
"2",2,"SW_8421S","1","301","1","2",8.55,8.2,1.05,6.3,5.2,0.0726640672514681,0.416198268647021,0.162053091114351,0.471887900459329,0.363147964282646,0.587542192699011,0.404688446076928,0.592149540205537,0.0465382963240627,0.190431974379228,0.163361018268394,0.419260894238992,0.329698724777379,0.523173593761829,0.383797324210051,0.587149110893061,0.0800102097036204,0.41967991041483,0.0980797201502991,0.383554490809142,0.11224865055462,0.387196358779004,0.0929849140300346,0.465177986519044,0.389028193645931,0.582006575815936,0.276868325577315,0.469414419539576,0.223371929667428,0.515401445569477,0.380488871602346,0.542994051553205,0.200786274037026,0.234614281472487,0.104198044903696,0.303781707304906,0.359471279024382,0.200786274037026,0.234614281472487,0.104198044903696,0.303781707304906,0.359471279024382,-0.0144531932113451,-0.00348670412636734,-0.0204923418827829,0.0137351064479356,-3.06312102301118e-06,0.0137298009667172,0.0116660815152703,-0.00224227156826132,0.00778235325164604,0.0238471637797834,0.0012705900727272,0.0260478903317226,0.0503358791844756,-0.00566265891003862,0.040527866289216
"3",3,"NM1715PAR","2","302","1","3",6.5,6.7,0.85,4.65,2.7,0.0775133171348086,0.419800215690438,0.127887748919102,0.446970754113611,0.343697609893645,0.56679899326411,0.365328855613701,0.54084673375523,0.00126030169887226,0.187153860260407,0.0866291184053791,0.411397169527251,0.30553429524833,0.497212596107862,0.358737806871838,0.559233215682638,0.0387370801060882,0.439913521815708,0.0921960571878276,0.396537348206394,0.107361789559429,0.398152460927609,0.0458146757489798,0.455282035792494,0.352792925690157,0.551289877045605,0.173029660535505,0.413158922418952,0.166272563288429,0.44692247034729,0.326195745855744,0.49387559015694,0.152644535817622,0.191697034861666,0.0843507982553731,0.224219831582192,0.186648548724199,0.152644535817622,0.191697034861666,0.0843507982553731,0.224219831582192,0.186648548724199,0.00416725843194138,-0.00266132489749964,-0.000442291485832788,0.0231796598900761,-9.56532267336801e-08,0.0231794942138282,0.00933056177946716,0.0024953421583524,0.0136526211611152,0.0246138468219509,0.0013136157145113,0.0268890959711627,0.0417310571729927,-0.00469705414835097,0.0335955207776981
"4",4,"NM170506PAR","2","303","1","4",8,8.55,1.7,7,4.85,0.0776732380420412,0.400459453364084,0.133892952690176,0.470574332674246,0.340454820604541,0.585232855649918,0.389109288834594,0.590668789040832,0.0217698758646831,0.204120924884067,0.152629152754206,0.426975877365672,0.320951688194638,0.517961409704595,0.383835020786144,0.599005471569459,0.0915921969509206,0.415027393105674,0.159505748961993,0.403210377382115,0.158470764797345,0.3762244351882,0.126524789210882,0.467819297166877,0.404317737780641,0.608752486501847,0.261357526228237,0.478240049633731,0.219231966597689,0.512407409435567,0.372486347624321,0.538825654639965,0.187870197929381,0.244628305681678,0.168701596510746,0.337535230338784,0.335276096782357,0.187870197929381,0.244628305681678,0.168701596510746,0.337535230338784,0.335276096782357,-0.00677788753495172,-0.0057122904172705,-0.0166718647220174,0.0091146184402389,-4.59808085470858e-06,0.00910665433061603,0.0093948379598089,0.00230176754671342,0.0133816162805079,0.0149454187229026,0.0007964112872139,0.0163248435300504,0.0411416244799006,-0.00463312054388144,0.0331168243353743
"5",5,"SW_9813","3","304","1","5",8.6,8.7,1.85,6.55,5.2,0.0595891955778328,0.423319357127453,0.135917970802215,0.460847433996223,0.326573358012294,0.560886243707901,0.390986670428098,0.592452363661514,0.00982992106287738,0.268798071218218,0.140617385017983,0.396991675799111,0.306219729585548,0.488144244564618,0.37979666107402,0.586943626758026,0.042113709155636,0.369305383669014,0.122964963555968,0.362450122480569,0.143716848008882,0.357922174641594,0.0636468613067399,0.443556524021675,0.386157402475572,0.5746665218014,0.261510522740159,0.456483091148441,0.197698609684126,0.488519865216614,0.363166178531535,0.518867921201928,0.201960462774085,0.24892003034276,0.183587031496988,0.315836536959862,0.359471279024382,0.201960462774085,0.24892003034276,0.183587031496988,0.315836536959862,0.359471279024382,-0.00342693786677459,-6.12773064929736e-05,-0.00353307327450759,0.0306042830197698,-1.62655562488491e-06,0.0306014657427985,0.0129644394407932,0.0065515094254096,0.0243119865822814,0.0226720319598341,0.00121562801697575,0.0247775614391393,0.0502369393904876,-0.00565143817481987,0.0404483613786403
"6",6,"DONA_ANA","3","305","1","6",8.85,8.45,1.2,6.25,5.15,0.103913839537442,0.395124396753817,0.165119066412869,0.511915873438365,0.364124017111571,0.585279502856891,0.442577854514337,0.633219746797043,0.0166381659112125,0.212637359684899,0.176347617711805,0.416197425869054,0.331821073332856,0.532646255601779,0.385978471960357,0.597331108487123,0.0417800462132497,0.368037621552686,0.107441175296527,0.357441492277342,0.144242653526139,0.366569736015142,0.0751985199167524,0.463469315936223,0.389913879839724,0.571480063040611,0.275218312179582,0.472078576756299,0.213789116603107,0.499940815500109,0.385673940216702,0.538428854687943,0.207831406459378,0.241767155907624,0.119083479889938,0.301370741373914,0.356014824418379,0.207831406459378,0.241767155907624,0.119083479889938,0.301370741373914,0.356014824418379,0.00776767041351771,-0.00472440380548501,-0.000415236977295648,0.00964178784900845,-8.14367031657715e-06,0.00962768259832169,-0.0277479100621268,0.00224026958868277,-0.0238676493288331,-0.011992806361698,-0.000639420049195226,-0.0131003143694426,0.037292650274711,-0.00419951203222565,0.030018882099685
"7",7,"NM1712PAR","4","306","1","7",7.15,5.95,0.45,3.3,2.55,0.095044517054124,0.42832456830683,0.134953643087951,0.469440254734372,0.348324767344696,0.561469453428333,0.425589564520894,0.616128747795414,-0.0121882222932067,0.204989338482505,0.110635133346877,0.395728839641338,0.29165330342566,0.476579847698929,0.355362783616665,0.54011961457123,-0.0201093829493422,0.435862894776231,0.0367350870896813,0.402817126093614,0.0769495331977121,0.403618653837771,-0.0486940122110297,0.448573190508553,0.249557306542457,0.467387371370343,0.149753938820243,0.417646271486429,0.133416981454162,0.438619560537437,0.287587601074942,0.461554558885234,0.167908989399384,0.170238411556256,0.0446563049587269,0.159123751445427,0.176279184906187,0.167908989399384,0.170238411556256,0.0446563049587269,0.159123751445427,0.176279184906187,0.00985995932287934,-0.00226724254795682,0.00593298005389669,0.0221630842160419,-9.8087524252624e-06,0.0221460949585567,-0.023178392434778,0.00244299738014917,-0.0189469968680927,-0.0395254611138073,-0.00210709799094197,-0.0431750618746967,0.0235304922053836,-0.00265288583342593,0.0189355591752896
"8",8,"NM1704PAR","4","307","1","8",8,6.6,0.8,4.3,3.55,0.0911709519601645,0.357241534847505,0.151360912302533,0.49792635002719,0.354029926680428,0.594029758115213,0.437049106543933,0.636975134457227,-0.01394898550255,0.254129074668143,0.122316872096752,0.402472460648695,0.307147057696294,0.504024574182393,0.381729341183853,0.572376427717445,-0.0221290342890416,0.36722351402013,0.0288567419886582,0.372364636692386,0.0413416252542782,0.323344379613631,0.00328880543339219,0.447454360434803,0.309651081916843,0.510582897834016,0.193070548513032,0.429350509879506,0.168844542228606,0.469675928461126,0.317285788132336,0.478747892191703,0.187870197929381,0.188835885087611,0.0793889865932923,0.207343070065253,0.245408277026261,0.187870197929381,0.188835885087611,0.0793889865932923,0.207343070065253,0.245408277026261,0.0103526873629715,-0.00288634656600915,0.00535338848423805,0.0113127300013119,-1.03299447097687e-05,0.0112948380123134,-0.055214213269341,0.000126371513861122,-0.0549953313876607,-0.0704916599211728,-0.0037632608191001,-0.0770098188335038,0.0122563841294555,-0.00138728177208206,0.00985354162629539
"9",9,"NUMEX_BILL_MELTON","4","308","2","8",9.4,7.95,1.3,5.55,4.25,0.0674774148830702,0.338125325305319,0.149011146570986,0.4955054480314,0.356442670275392,0.576841563662426,0.441632875187072,0.637578943016321,-0.0378982641387117,0.269300390294055,0.0797895040831716,0.417956619506348,0.28023412376525,0.479798521497868,0.38217519146692,0.571303952599472,-0.022260572461364,0.363657645074017,0.0481208910808307,0.39576197538284,0.0489344721007541,0.308851289324252,0.0275900476280374,0.442513016251139,0.349572526756459,0.547408969464706,0.195997657144786,0.426963146325025,0.186337036328436,0.470577148020644,0.34991881267924,0.503022886876875,0.220747482567023,0.22746140703735,0.1290071032141,0.267617218340036,0.293798641510312,0.220747482567023,0.22746140703735,0.1290071032141,0.267617218340036,0.293798641510312,0.0119175318359224,0.00269215392953285,0.0165804792032929,0.0237889902978691,-2.91783228887617e-06,0.0237839364641188,-0.0345434957048615,0.00203411857368199,-0.0310202990020207,-0.00683432439293385,-0.000359449332754848,-0.00745690889729135,0.0453936282625347,-0.00510595659971758,0.0365498520492285
"10",10,"NUMEX_BILL_MELTON","4","309","2","7",9.3,8.2,1.2,5.25,4.25,0.0797071463090315,0.399278636817837,0.133969906999317,0.483200966661174,0.350655932844031,0.569942782095481,0.438827764520562,0.632067814780233,-0.0386674378602676,0.291777506894927,0.0857668536327912,0.415707973506225,0.277412269942663,0.465586579847699,0.365025671356898,0.56406287248505,0.0242066419911941,0.431070420817465,0.0945267911958735,0.411469025432414,0.116238985295211,0.37508350947901,-0.00824914583324379,0.447094242061395,0.336190477137711,0.517279782986683,0.178622799078644,0.41814638801232,0.168809145344738,0.452408515971569,0.344181969564609,0.489906211240715,0.218399105092905,0.234614281472487,0.119083479889938,0.253151422754088,0.293798641510312,0.218399105092905,0.234614281472487,0.119083479889938,0.253151422754088,0.293798641510312,0.0118880366448028,0.000820786377960847,0.013309680347379,0.02311527158333,-4.90026004026586e-06,0.0231067840840071,0.00751783637572942,-0.000509501597163476,0.00663535372676114,-0.0246687866740045,-0.00130837528306481,-0.0269349591297371,0.0336858873755531,-0.00378801098538908,0.0271248599179012
