"Germplasm","Rep","Plot","Row","Range","GNDVI_73","GNDVI_88","GNDVI_95","GNDVI_101","GNDVI_107","GNDVI_117","GNDVI_131","GNDVI_138","GNDVI_145","GNDVI_152","GNDVI_160","GNDVI_165","GNDVI_173","GNDVI_179","GNDVI_187","GNDVI_192","GNDVI_201","GNDVI_206","GNDVI_215","GNDVI_223","GNDVI_228","GNDVI_237","GNDVI_242","GNDVI_257","GNDVI_263","GNDVI_270","GNDVI_278","GNDVI_283","GNDVI_293","GNDVI_299","GNDVI_307"
"SW_1011",1,300,1,1,-0.0458633848356598,0.135662607163835,0.174149589119448,0.312510137631358,0.386023736385034,0.432403010533108,0.0816952119800104,0.170723149886549,0.361022579939084,0.399351233654966,0.00950784906196098,0.116193282432877,0.248838104985857,0.29013329471343,0.00812819545907205,-0.0101415495491799,-0.02711924125209,0.0219387711931225,0.00793532404242612,-0.0148341242664142,0.00796375193999584,0.0625595190494889,0.0434111763557894,-0.0378085861329784,-0.0934930251352023,0.228858876896493,0.132088141879687,-0.0231261578707559,0.141731369399203,0.100209537630473,0.278026324697053
"SW_8421S",1,301,1,2,0.0209913051878165,0.198043785450725,0.239122343158587,0.355835612313498,0.376824755002121,0.425901952563092,0.0726640672514681,0.162053091114351,0.363147964282646,0.404688446076928,0.0465382963240627,0.163361018268394,0.329698724777379,0.383797324210051,0.0257081141449398,0.0800102097036204,0.0980797201502991,0.11224865055462,0.0401344060974175,0.0154077704481104,0.0300804770666092,0.0917673572208925,0.0910568276660425,0.0319969399579244,0.0929849140300346,0.206264684621317,0.389028193645931,0.00906767005549504,0.276868325577315,0.223371929667428,0.380488871602346
"NM1715PAR",2,302,1,3,-0.0330258890394094,0.130525891343697,0.190623691400448,0.290147777777404,0.329256728207154,0.390593162217591,0.0775133171348086,0.127887748919102,0.343697609893645,0.365328855613701,0.00126030169887226,0.0866291184053791,0.30553429524833,0.358737806871838,0.0109719737502183,0.0387370801060882,0.0921960571878276,0.107361789559429,0.0438139180388613,0.0187701186703711,0.0355247255193823,0.0891338840019854,0.0903686281032787,0.02506791059481,0.0458146757489798,0.22255833857797,0.352792925690157,-0.00297677011730999,0.173029660535505,0.166272563288429,0.326195745855744
"NM170506PAR",2,303,1,4,0.00107911200024608,0.180170621918543,0.239499634753782,0.332676812734296,0.341502849297291,0.399383214596445,0.0776732380420412,0.133892952690176,0.340454820604541,0.389109288834594,0.0217698758646831,0.152629152754206,0.320951688194638,0.383835020786144,0.0118412284777507,0.0915921969509206,0.159505748961993,0.158470764797345,0.0415980595354056,0.0290109326713696,0.0455342134778478,0.10489499399165,0.104276663223401,0.0112375177479024,0.126524789210882,0.232614691027554,0.404317737780641,0.0111020152163311,0.261357526228237,0.219231966597689,0.372486347624321
"SW_9813",3,304,1,5,-0.0135927389586138,0.144258336805476,0.213072833972816,0.347061276436708,0.357002202905683,0.411521735923533,0.0595891955778328,0.135917970802215,0.326573358012294,0.390986670428098,0.00982992106287738,0.140617385017983,0.306219729585548,0.37979666107402,0.0201485938986795,0.042113709155636,0.122964963555968,0.143716848008882,0.0116641896653174,0.0166486352937935,0.0338560365536557,0.0826658424861044,0.103509803349974,-0.0256529936052241,0.0636468613067399,0.139907072792979,0.386157402475572,0.0144045380822114,0.261510522740159,0.197698609684126,0.363166178531535
"DONA_ANA",3,305,1,6,-0.0035861281160295,0.180699293698783,0.273041338357732,0.367981484237986,0.387754432483752,0.446777944220133,0.103913839537442,0.165119066412869,0.364124017111571,0.442577854514337,0.0166381659112125,0.176347617711805,0.331821073332856,0.385978471960357,0.0235810269379447,0.0417800462132497,0.107441175296527,0.144242653526139,0.017218543481338,0.0186231320673703,0.0332625530933899,0.0907058092340224,0.0850711477174462,-0.0171812947345417,0.0751985199167524,0.208666165189117,0.389913879839724,0.00626413463173444,0.275218312179582,0.213789116603107,0.385673940216702
"NM1712PAR",4,306,1,7,-0.041553074417928,0.127596398747609,0.236136546834055,0.324599376463519,0.34935595344436,0.422169135681885,0.095044517054124,0.134953643087951,0.348324767344696,0.425589564520894,-0.0121882222932067,0.110635133346877,0.29165330342566,0.355362783616665,0.00287609062576943,-0.0201093829493422,0.0367350870896813,0.0769495331977121,-0.00171098119279504,0.0120576062627633,0.00276863684573808,0.0877776735395453,0.0715596874799215,-0.0357809896482925,-0.0486940122110297,0.217142558875587,0.249557306542457,-0.0103062891803124,0.149753938820243,0.133416981454162,0.287587601074942
"NM1704PAR",4,307,1,8,-0.01588366128756,0.166085532344872,0.240696754298447,0.338426234679317,0.350902513639091,0.436690308407161,0.0911709519601645,0.151360912302533,0.354029926680428,0.437049106543933,-0.01394898550255,0.122316872096752,0.307147057696294,0.381729341183853,-0.0453376933632059,-0.0221290342890416,0.0288567419886582,0.0413416252542782,-0.0522951899846255,-0.0443606121161233,-0.0447759396463805,0.0793721800139432,0.0365164436944912,-0.0507722829629586,0.00328880543339219,0.178352239824865,0.309651081916843,-0.00226302820832993,0.193070548513032,0.168844542228606,0.317285788132336
"NUMEX_BILL_MELTON_CA_2019",4,308,2,8,-0.0298412858882584,0.162298930775406,0.251151633752812,0.339183480208057,0.380883182255845,0.432962028233614,0.0674774148830702,0.149011146570986,0.356442670275392,0.441632875187072,-0.0378982641387117,0.0797895040831716,0.28023412376525,0.38217519146692,-0.0577862777359267,-0.022260572461364,0.0481208910808307,0.0489344721007541,-0.0619710453304875,-0.0687747972081167,-0.0324195705791231,0.0597820622898138,0.0245012995671481,-0.0419796870246328,0.0275900476280374,0.17825036275868,0.349572526756459,-0.00457226039589733,0.195997657144786,0.186337036328436,0.34991881267924
"NUMEX_BILL_MELTON_CA_2019",4,309,2,7,-0.0220158509798219,0.146295073861266,0.253293758465464,0.349692752235423,0.380839065886758,0.419513718269198,0.0797071463090315,0.133969906999317,0.350655932844031,0.438827764520562,-0.0386674378602676,0.0857668536327912,0.277412269942663,0.365025671356898,0.0069974449796347,0.0242066419911941,0.0945267911958735,0.116238985295211,0.00050021276330902,-0.00863158159434143,0.00631898822738893,0.0935085858082923,0.0748262535586932,-0.0156876186864621,-0.00824914583324379,0.188056054903593,0.336190477137711,-0.00708077433687513,0.178622799078644,0.168809145344738,0.344181969564609
