"Germplasm","Rep","Plot","Row","Range","yld2","yld3","yld4","yld5","yld6","NDVI_73","NDVI_88","NDVI_95","NDVI_101","NDVI_107","NDVI_117","NDVI_131","NDVI_138","NDVI_145","NDVI_152","NDVI_160","NDVI_165","NDVI_173","NDVI_179","NDVI_187","NDVI_192","NDVI_201","NDVI_206","NDVI_215","NDVI_223","NDVI_228","NDVI_237","NDVI_242","NDVI_257","NDVI_263","NDVI_270","NDVI_278","NDVI_283","NDVI_293","NDVI_299","NDVI_307"
"SW_1011",1,300,1,1,9,5.95,0.35,2.75,3.6,0.413062021313804,0.455692481912551,0.529036703649431,0.559973115110158,0.594845245842324,0.615203004278635,0.442585449930119,0.473638002209431,0.580072992404899,0.577209599889338,0.286331143497193,0.418999061232442,0.404153882941544,0.467916387174981,0.466103130150409,0.447449663371332,0.427142871717534,0.437873682320326,0.30925855282306,0.445958058141986,0.424382033161057,0.309883991107099,0.254438986316021,0.281798968722437,0.468797352060208,0.468638237485126,0.425609709923765,0.424651766918977,0.395680511202232,0.448325612129044,0.436955900864212
"SW_8421S",1,301,1,2,8.55,8.2,1.05,6.3,5.2,0.411509709248981,0.466302778651568,0.532710778097798,0.565141021926012,0.590466645146286,0.615743904399367,0.416198268647021,0.471887900459329,0.587542192699011,0.592149540205537,0.190431974379228,0.419260894238992,0.523173593761829,0.587149110893061,0.453243674248514,0.41967991041483,0.383554490809142,0.387196358779004,0.345014773935707,0.428162432765054,0.425817502098115,0.258951200587187,0.218754239714005,0.137082406492009,0.465177986519044,0.461149155351247,0.582006575815936,0.355430513850295,0.469414419539576,0.515401445569477,0.542994051553205
"NM1715PAR",2,302,1,3,6.5,6.7,0.85,4.65,2.7,0.437001149203766,0.475839489284086,0.504804230359874,0.520941580706402,0.55080518882879,0.577753152543068,0.419800215690438,0.446970754113611,0.56679899326411,0.54084673375523,0.187153860260407,0.411397169527251,0.497212596107862,0.559233215682638,0.466474121932014,0.439913521815708,0.396537348206394,0.398152460927609,0.293932466583213,0.45406837320841,0.433923278613771,0.236816107517176,0.205642689448285,0.148643388979523,0.455282035792494,0.4767321609751,0.551289877045605,0.345669562782721,0.413158922418952,0.44692247034729,0.49387559015694
"NM170506PAR",2,303,1,4,8,8.55,1.7,7,4.85,0.413119659949892,0.484844122277507,0.517017445502355,0.544788306127049,0.563311593294034,0.590951423304365,0.400459453364084,0.470574332674246,0.585232855649918,0.590668789040832,0.204120924884067,0.426975877365672,0.517961409704595,0.599005471569459,0.443400392859057,0.415027393105674,0.403210377382115,0.3762244351882,0.318245021744106,0.437815826505646,0.41322671091783,0.256289554184845,0.231740412013827,0.228202048985684,0.467819297166877,0.492881632585079,0.608752486501847,0.325260280132118,0.478240049633731,0.512407409435567,0.538825654639965
"SW_9813",3,304,1,5,8.6,8.7,1.85,6.55,5.2,0.414956754145643,0.461784124986893,0.490514643943499,0.556417444058656,0.57731226677978,0.597592303889882,0.423319357127453,0.460847433996223,0.560886243707901,0.592452363661514,0.268798071218218,0.396991675799111,0.488144244564618,0.586943626758026,0.391337527395424,0.369305383669014,0.362450122480569,0.357922174641594,0.341445669875771,0.42740542020788,0.419198110141881,0.270821088878859,0.236403415518205,0.363394735056652,0.443556524021675,0.415034365129927,0.5746665218014,0.373194681195809,0.456483091148441,0.488519865216614,0.518867921201928
"DONA_ANA",3,305,1,6,8.85,8.45,1.2,6.25,5.15,0.40837063426814,0.479180958372654,0.527529322955323,0.580247145285078,0.593459366398356,0.62326510091216,0.395124396753817,0.511915873438365,0.585279502856891,0.633219746797043,0.212637359684899,0.416197425869054,0.532646255601779,0.597331108487123,0.38101282611337,0.368037621552686,0.357441492277342,0.366569736015142,0.343717757074488,0.419245461955227,0.425991454947738,0.234530439341512,0.209568568543692,0.348742070357555,0.463469315936223,0.496697271391037,0.571480063040611,0.351534901747443,0.472078576756299,0.499940815500109,0.538428854687943
"NM1712PAR",4,306,1,7,7.15,5.95,0.45,3.3,2.55,0.430630511510484,0.473620803187585,0.505988063814719,0.547175214913552,0.57372020335881,0.604528942798839,0.42832456830683,0.469440254734372,0.561469453428333,0.616128747795414,0.204989338482505,0.395728839641338,0.476579847698929,0.54011961457123,0.399094539333027,0.435862894776231,0.402817126093614,0.403618653837771,0.364718504013029,0.4442464689506,0.449521203830369,0.190552463099477,0.172226569859281,0.453848034940472,0.448573190508553,0.500845897925957,0.467387371370343,0.406711464594762,0.417646271486429,0.438619560537437,0.461554558885234
"NM1704PAR",4,307,1,8,8,6.6,0.8,4.3,3.55,0.398714260025175,0.460307434203628,0.498255289353439,0.554593891387291,0.579678166185929,0.616562860438293,0.357241534847505,0.49792635002719,0.594029758115213,0.636975134457227,0.254129074668143,0.402472460648695,0.504024574182393,0.572376427717445,0.440168022177889,0.36722351402013,0.372364636692386,0.323344379613631,0.402759057218506,0.475280288030839,0.454326695658808,0.313794861508116,0.358708606321134,0.499361388153877,0.447454360434803,0.469614713585583,0.510582897834016,0.407140918803137,0.429350509879506,0.469675928461126,0.478747892191703
"NUMEX_BILL_MELTON",4,308,2,8,9.4,7.95,1.3,5.55,4.25,0.430833588573824,0.47094876795638,0.517319098457888,0.569908843511523,0.605713297098299,0.6253905725186,0.338125325305319,0.4955054480314,0.576841563662426,0.637578943016321,0.269300390294055,0.417956619506348,0.479798521497868,0.571303952599472,0.47167320075942,0.363657645074017,0.39576197538284,0.308851289324252,0.443812419525143,0.482774288343328,0.462540514116008,0.309834678969627,0.393717721797445,0.408501691274801,0.442513016251139,0.462695884611366,0.547408969464706,0.407544896401701,0.426963146325025,0.470577148020644,0.503022886876875
"NUMEX_BILL_MELTON",4,309,2,7,9.3,8.2,1.2,5.25,4.25,0.428012198690907,0.470061206105456,0.50710869532089,0.558964129685907,0.601727357609711,0.61573984646649,0.399278636817837,0.483200966661174,0.569942782095481,0.632067814780233,0.291777506894927,0.415707973506225,0.465586579847699,0.56406287248505,0.367432982051552,0.431070420817465,0.411469025432414,0.37508350947901,0.294918839899893,0.457428899708587,0.452977276181791,0.273230240117437,0.180640153326667,0.453754664495556,0.447094242061395,0.455551530444414,0.517279782986683,0.406205253555804,0.41814638801232,0.452408515971569,0.489906211240715
