"plotNumber","germplasmName","replicate","rowNumber","colNumber","name","value","trait","doy","harvest","GDD_sum","loc","year"
300,"SW_1011",1,1,1,"GNDVI_72.5",-0.0458633848356598,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
301,"SW_8421S",1,1,2,"GNDVI_72.5",0.0209913051878165,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
302,"NM1715PAR",2,1,3,"GNDVI_72.5",-0.0330258890394094,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
303,"NM170506PAR",2,1,4,"GNDVI_72.5",0.00107911200024608,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
304,"SW_9813",3,1,5,"GNDVI_72.5",-0.0135927389586138,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
305,"DONA_ANA",3,1,6,"GNDVI_72.5",-0.0035861281160295,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
306,"NM1712PAR",4,1,7,"GNDVI_72.5",-0.041553074417928,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
307,"NM1704PAR",4,1,8,"GNDVI_72.5",-0.01588366128756,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
308,"NUMEX_BILL_MELTON_CA_2019",4,2,8,"GNDVI_72.5",-0.0298412858882584,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
309,"NUMEX_BILL_MELTON_CA_2019",4,2,7,"GNDVI_72.5",-0.0220158509798219,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
310,"NUMEX_BILL_MELTON_CA_2019",3,2,6,"GNDVI_72.5",-0.015798355752991,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
311,"NUMEX_BILL_MELTON_CA_2019",3,2,5,"GNDVI_72.5",-0.0300273478845242,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
312,"NUMEX_BILL_MELTON_CA_2019",2,2,4,"GNDVI_72.5",-0.0234193919951792,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
313,"NUMEX_BILL_MELTON_CA_2019",2,2,3,"GNDVI_72.5",0.000177576157345431,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
314,"NUMEX_BILL_MELTON_CA_2019",1,2,2,"GNDVI_72.5",0.011365284817347,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
315,"NUMEX_BILL_MELTON_CA_2019",1,2,1,"GNDVI_72.5",-0.044321296776919,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
