"Germplasm","Rep","Plot","Row","Range","NDRE_73","NDRE_88","NDRE_95","NDRE_101","NDRE_107","NDRE_117","NDRE_131","NDRE_138","NDRE_145","NDRE_152","NDRE_160","NDRE_161","NDRE_165","NDRE_173","NDRE_179","NDRE_187","NDRE_192","NDRE_201","NDRE_206","NDRE_215","NDRE_223","NDRE_228","NDRE_237","NDRE_242","NDRE_257","NDRE_263","NDRE_270","NDRE_278","NDRE_283","NDRE_293","NDRE_299","NDRE_307"
"SW_8421S",1,100,1,1,0.450887135,0.42025765,0.421333301,0.415371645,0.420558794,0.3878567,0.403145058,0.41597514,0.350408125,0.430212079,0.460872411,0.5749886,0.35948598,0.304710297,0.325712865,0.328232448,0.432986671,0.393371104,0.361213081,0.265383402,0.387229806,0.38411988,0.366456411,0.375404149,0.316628841,0.380877616,0.420408235,0.300032805,0.471093412,0.345297659,0.299496823,0.293157705
"SW_1011",1,101,1,2,0.442845482,0.40515238,0.4156027,0.391896836,0.41716009,0.374178264,0.409180161,0.45475019,0.322620553,0.407549851,0.423520962,0.563337893,0.385424442,0.286582433,0.328746576,0.256719165,0.429624499,0.319347662,0.385779595,0.300765494,0.378893438,0.314837703,0.367319707,0.392854546,0.30954758,0.368803588,0.362967273,0.288364084,0.474731908,0.326272151,0.285499509,0.263324933
"SW_9813",2,102,1,3,0.442895707,0.414412039,0.405599798,0.404192821,0.43300207,0.392437552,0.411127628,0.469255643,0.33502602,0.401819831,0.333909013,0.560647515,0.426118816,0.263713387,0.335384294,0.26014055,0.426802801,0.307657056,0.406224267,0.300634079,0.370882477,0.298142425,0.360161008,0.384877469,0.293049166,0.36077326,0.351371403,0.309860183,0.463876654,0.340669532,0.287368639,0.278189492
"DONA_ANA",2,103,1,4,0.44721667,0.416975614,0.397133065,0.411349081,0.44215026,0.411233618,0.400006346,0.420512715,0.359758327,0.441063251,0.335246294,0.563999088,0.40622952,0.290941657,0.33751404,0.261396701,0.436498114,0.31939154,0.425814337,0.287320035,0.374165111,0.308271238,0.369525681,0.397160631,0.300525295,0.365628615,0.372284919,0.323714098,0.474449357,0.347800637,0.2948908,0.271324093
"NM1715PAR",3,104,1,5,0.460642923,0.436939049,0.431882868,0.431389173,0.435776091,0.402855387,0.414255135,0.433815462,0.364034725,0.395467371,0.415858513,0.528180575,0.439875163,0.265004047,0.393717396,0.234347449,0.458119859,0.334830471,0.431807546,0.306101631,0.422395982,0.399228184,0.32659122,0.353670493,0.328229978,0.385170422,0.32487976,0.231967149,0.431572355,0.296696771,0.291313491,0.255901217
"NM170506PAR",3,105,1,6,0.443661582,0.421943483,0.424926286,0.419613216,0.427977937,0.413321509,0.39213522,0.424645381,0.346921431,0.432364403,0.329496086,0.495189238,0.402583913,0.27621043,0.342277252,0.212551348,0.421951769,0.29272952,0.420918148,0.299622198,0.360077519,0.299058921,0.351215713,0.3794235,0.301164226,0.370206907,0.352291458,0.306394572,0.443018451,0.325949514,0.286718186,0.27309293
"NM1704PAR",4,106,1,7,0.446836865,0.418942405,0.427695515,0.419147945,0.443170856,0.408304498,0.398183232,0.423051574,0.373235375,0.461445695,0.36547035,0.49876881,0.420693678,0.29904996,0.354905392,0.258724289,0.431714071,0.288582695,0.421623048,0.345941539,0.378886385,0.281632376,0.345089417,0.371801951,0.307162792,0.385763431,0.395948787,0.296861663,0.361014096,0.310043305,0.287972895,0.271567217
"NM1712PAR",4,107,1,8,0.455412131,0.441271386,0.431783041,0.421644552,0.436522195,0.410574765,0.41184965,0.42692989,0.351267741,0.450382445,0.48776029,0.524783402,0.424860513,0.273037521,0.336395823,0.298304756,0.43773442,0.296871171,0.378178876,0.316099493,0.389620834,0.339891987,0.334272852,0.359556469,0.313599746,0.397553035,0.345714218,0.276309764,0.31779478,0.300701246,0.292940363,0.264586132
"NUMEX_BILL_MELTON_CA_2019",4,108,2,8,0.443242722,0.429408881,0.426682138,0.408897327,0.429035721,0.369632006,0.387596899,0.426551086,0.365908099,0.458372929,0.422122457,0.547811218,0.414815031,0.279985086,0.343790479,0.252694544,0.422275036,0.279671969,0.371636751,0.301714756,0.356070164,0.279665679,0.371249491,0.366300077,0.303546987,0.382356061,0.338061362,0.308225538,0.33780781,0.339567895,0.286538756,0.25935555
"NUMEX_BILL_MELTON_CA_2019",4,109,2,7,0.444711947,0.412444294,0.421260952,0.414544469,0.429764543,0.368528275,0.402124081,0.432296473,0.372578049,0.450220212,0.341275714,0.554400365,0.420393928,0.280164809,0.36162399,0.224024262,0.43228432,0.282483032,0.418626941,0.350430757,0.377889262,0.288164856,0.367884576,0.35541508,0.315316344,0.377317344,0.343530962,0.312589513,0.34905619,0.340814534,0.304616371,0.268400295
