"Germplasm","Rep","Plot","Row","Range","NDVI_73","NDVI_88","NDVI_95","NDVI_101","NDVI_107","NDVI_117","NDVI_131","NDVI_138","NDVI_145","NDVI_152","NDVI_160","NDVI_161","NDVI_165","NDVI_173","NDVI_179","NDVI_187","NDVI_192","NDVI_201","NDVI_206","NDVI_215","NDVI_223","NDVI_228","NDVI_237","NDVI_242","NDVI_257","NDVI_263","NDVI_270","NDVI_278","NDVI_283","NDVI_293","NDVI_299","NDVI_307"
"SW_8421S",1,100,1,1,0.447605447,0.451655472,0.432500977,0.449849243,0.467676324,0.462062197,0.404367359,0.422070838,0.499096815,0.510859884,0.243591044,0.514911081,0.313637281,0.407856749,0.433260896,0.332983345,0.443327586,0.376336617,0.42445291,0.262117029,0.439569986,0.36626584,0.468136965,0.464170761,0.320858806,0.420584716,0.458475496,0.463079058,0.381671126,0.412223027,0.465170254,0.50311007
"SW_1011",1,101,1,2,0.446397707,0.442674864,0.427679085,0.437763325,0.458546541,0.427174501,0.405377118,0.443246819,0.44583688,0.478753533,0.22945833,0.499088007,0.325712375,0.388462712,0.420886095,0.390089825,0.443430429,0.372515758,0.428228624,0.305829229,0.437765848,0.381703679,0.468518112,0.476221429,0.302535373,0.406067694,0.524570428,0.460701777,0.343420851,0.387131994,0.421456831,0.457700999
"SW_9813",2,102,1,3,0.437026184,0.436793026,0.431043743,0.440012979,0.466796951,0.43468896,0.411466251,0.449106971,0.422188921,0.452279268,0.168432035,0.515959872,0.393057017,0.324904009,0.377824529,0.357597123,0.435257611,0.315955141,0.411263378,0.280181986,0.438453279,0.372241081,0.459276209,0.484939061,0.317382111,0.428300728,0.492806581,0.479392245,0.344625459,0.422857626,0.449742313,0.474024103
"DONA_ANA",2,103,1,4,0.455132714,0.449536064,0.44866974,0.461038485,0.487315574,0.471637122,0.38994019,0.431810224,0.487322382,0.503095607,0.163506147,0.515845873,0.400787502,0.39689034,0.419479665,0.321068037,0.437919327,0.375626367,0.443767762,0.262820074,0.451660153,0.387526597,0.486546118,0.494473066,0.303687972,0.43639786,0.556528869,0.496496346,0.317845472,0.434446859,0.462001327,0.492179772
"NM1715PAR",3,104,1,5,0.446554435,0.450583994,0.459502077,0.454573006,0.464583922,0.427927664,0.358972958,0.449098904,0.402788788,0.389580715,0.177038903,0.51618787,0.399833234,0.237625906,0.359323011,0.307776244,0.434044487,0.260963596,0.39809272,0.24318096,0.430172688,0.316021047,0.373148116,0.390718882,0.272381532,0.380672628,0.504180353,0.383961887,0.290926147,0.29304163,0.374828933,0.369714151
"NM170506PAR",3,105,1,6,0.446015302,0.446374924,0.451209851,0.445736464,0.469706703,0.456573262,0.358822146,0.436150303,0.464642049,0.485839655,0.157382696,0.512061104,0.390525356,0.389347898,0.438702715,0.428646558,0.422447783,0.3533782,0.435228886,0.223367402,0.425509223,0.380248602,0.461969405,0.475407772,0.316422124,0.451683315,0.515151331,0.49644045,0.299936069,0.401359051,0.449682812,0.473873564
"NM1704PAR",4,106,1,7,0.44536989,0.447285385,0.452652693,0.457041684,0.477433469,0.46444624,0.315602128,0.453867675,0.484030226,0.51844149,0.16070192,0.502963976,0.400994422,0.418164907,0.455278703,0.339837376,0.424305183,0.366843324,0.434480377,0.195216354,0.421042919,0.380089425,0.454839116,0.469213657,0.304130801,0.436589599,0.473365173,0.506890794,0.25630443,0.367459995,0.438910786,0.478659502
"NM1712PAR",4,107,1,8,0.443007014,0.448788927,0.440015014,0.451786157,0.4669388,0.446328055,0.302077948,0.441762612,0.453545259,0.49231523,0.187713725,0.517305062,0.393833183,0.352879427,0.419900732,0.356125072,0.424187083,0.334523737,0.413721459,0.198551523,0.40748851,0.353379346,0.420758944,0.436820138,0.273248448,0.415142344,0.464208018,0.469593542,0.281418015,0.326256641,0.410386743,0.426357433
"NUMEX_BILL_MELTON_CA_2019",4,108,2,8,0.447307804,0.437891987,0.4343305,0.453866418,0.474624398,0.47596427,0.287943489,0.426003392,0.482036821,0.522032369,0.226895552,0.526607387,0.389853369,0.364783791,0.442905942,0.335264067,0.42038617,0.358170677,0.427096683,0.194955669,0.421221545,0.364675178,0.497276544,0.463845414,0.29639285,0.411805179,0.47470986,0.510125717,0.29973034,0.383777534,0.435470405,0.448996335
"NUMEX_BILL_MELTON_CA_2019",4,109,2,7,0.447606405,0.438318575,0.436361733,0.452125406,0.472624985,0.44531104,0.316609997,0.424595623,0.474312404,0.506540836,0.201101211,0.521751026,0.399683299,0.359210904,0.441829511,0.318575429,0.42297513,0.33669056,0.427312415,0.195687738,0.430094611,0.344498385,0.467610527,0.455623592,0.298691183,0.401609413,0.458853024,0.494334387,0.273092695,0.380888742,0.443026752,0.458660305
