"Germplasm","Plot","Rep","Row","Range","gndvi_138","gndvi_145","gndvi_152","yld2","gndvi_160","gndvi_165","gndvi_173","gndvi_179","yld3","gndvi_187","gndvi_192","gndvi_201","yld4","gndvi_215","gndvi_223","gndvi_228","gndvi_237","gndvi_242","yld5","gndvi_257","gndvi_263","gndvi_278","yld6","gndvi_293","gndvi_299","gndvi_307","yld7"
"SW_8421S","100","1","1","1",0.00520580492779123,0.00378413214294249,0.0121842878521111,-1.10493756684983,0.0420872541464299,-0.0159634670440752,0.0428603329659161,-0.00443988059653007,-1.17630273606737,0.022888683320489,-0.0103125406042594,0.00622846361071293,-0.907801951367015,-0.0132583488449043,-0.0203513970790289,-0.00624459063017029,0.00249869055923687,-0.0584558286820964,-0.593550950275293,0.0205175583748406,-0.0266759716219092,-0.0311669806393054,-0.464484037573309,0.0403666864308597,0.026868771475998,0.0348931852152515,-0.120421745968572
"SW_1011","101","1","1","2",-0.0217539012124523,-0.025172884908347,-0.0268265942973051,-1.62352093138857,0.0414729091293375,-0.0286694335898555,0.0337677042473174,-0.0267884655234398,-1.52150637832537,0.0348026505535737,-0.0164887364868032,-0.00178051551940247,-1.14561267767568,-0.0203052529479424,-0.0104904553433089,0.00306278097287835,0.00999999132724745,-0.0533188275708126,-0.646614061718148,0.027001922361393,-0.0311442000674827,-0.0187690526456099,-0.65026839797478,0.0410818916666293,0.0110609620185736,0.0271546483649752,-0.251810113954374
"SW_9813","102","2","1","3",-0.0275343862052442,-0.0382515451196734,-0.0518842354206751,-1.8602920634473,0.0465140253722409,-0.0332186079306899,0.03031961369436,-0.0389870078208316,-1.70519311080815,0.0380888798346605,-0.0162442078586044,0.00120798858042767,-1.19396366434996,-0.00684585888701343,0.00576131601195418,0.0110567172864143,0.0123141502237131,-0.0479455241816937,-0.665502507877581,0.0502387765221871,-0.0241391557323126,-0.0131846955560029,-0.64506970803569,0.041698556457516,0.0114816170777559,0.0244811661648436,-0.348808920896412
"DONA_ANA","103","2","1","4",-0.0388413752990057,-0.0548783374150652,-0.0782176152762306,-2.10800731082822,0.0475926018709898,-0.0396906980797663,0.0217987354035795,-0.059033588152058,-1.9290561901603,0.0279349155507538,-0.0193823259637863,0.00149866024425565,-1.29037110067492,-0.00442813242407672,0.00219277385155626,0.00528810042380848,0.0132720525654687,-0.0534430346736231,-0.883921904093085,0.048148954447403,-0.0297727063622707,-0.0214881754365065,-0.938203396192823,0.0350462087139949,0.00230741618026673,0.00607521935574355,-0.638588209588776
"NM1715PAR","104","3","1","5",-0.0451026218282193,-0.0687169675272534,-0.109622744278987,-2.45852362560746,0.0464094080920863,-0.0443631344901107,0.00887467840008688,-0.0797080820566355,-2.29795916217485,0.0150544880971933,-0.0265110117577206,-0.0110185836886172,-1.57469288358177,0.00858253048845527,-0.0121451584416179,-0.00586579853937273,-0.0133259619973265,-0.0651078560790947,-1.32302726875885,0.042011262741696,-0.0440660516286235,-0.0230257029529582,-1.2003696156301,0.0220398794531035,-0.00560541951891452,0.00171830569643494,-0.966635661045665
"NM170506PAR","105","3","1","6",-0.0332325112165514,-0.0402199597175129,-0.0622632367271227,-2.12492106870554,0.0510147563348655,-0.0374518567427176,0.0436984087223843,-0.0324474853632021,-1.89845225578952,0.0373700914623419,-0.0107489877218201,0.0130757350146585,-1.45969929496382,0.0346094515109091,-0.00374642447762265,5.55648699942096e-06,0.00716828248448375,-0.0617221690174653,-1.42526093160697,0.0312670519104267,-0.0428978549874291,-0.00511312102072752,-1.16634696884212,0.0296088563994457,0.00518448913673752,0.0146577700112177,-0.841834929259117
"NM1704PAR","106","4","1","7",-0.00796777204056319,-0.00666131601849328,-0.00983855023589257,-1.32825325932554,0.0513156021302656,-0.0271400330795157,0.0664781090170746,0.00833148158246759,-1.26222653734979,0.0125904887025864,-0.00522341366563342,0.0305974224321505,-1.04017522231841,0.0179244719818686,0.00982966740200488,0.00359692893813999,0.00516846042802054,-0.0510286734620134,-1.01041649960061,0.0327506500300383,-0.033815458457487,0.0133097794124213,-0.756724022574264,0.0417909821011178,0.0167573697971556,0.0255911080967865,-0.385172978087105
"NM1712PAR","107","4","1","8",-0.00863369776539471,-0.00626260680145171,-0.0157241383752915,-1.51921031244913,0.0454035418587558,-0.0246285944327015,0.063067938606917,0.00329023183046169,-1.3114275814644,-0.010352951019295,-0.0105516760596178,0.0266217852210407,-1.05664491874818,-0.000416122284047509,0.00970287283036307,-0.00445972330034903,-0.0100049122493056,-0.0498169846269277,-1.04069132119766,0.015982133005902,-0.0434211917839683,0.00222840842661601,-0.859346221519488,0.0326596294372794,0.00831893174655166,0.00641045457301312,-0.466107164684906
"NUMEX_BILL_MELTON_CA_2019","108","4","2","8",0.0169002152933917,0.018321257970084,0.023024266499171,-0.69800502794686,0.0351184315973236,-0.00199464241400634,0.0379498213550832,0.00972450503866124,-0.750530524766181,0.0325479569182299,0.02074877208279,0.0111374502542204,-0.601164094939899,-0.0111396746535135,-0.0130502714584844,0.00881822628277185,0.0304693313670414,-0.087966069966729,-0.379429477705614,0.0088640021158426,-0.0164916922013345,-0.0198612252437354,-0.306011304922691,0.0396474654989942,0.0269846561815581,0.0149803760517899,-0.0892421298262133
"NUMEX_BILL_MELTON_CA_2019","109","4","2","7",-0.0108263376509322,-0.00924589791958568,-0.0129904531044702,-1.14399499398819,0.0364467541246218,-0.0145562122529124,0.028188691533609,-0.0150414040270645,-1.09939391831521,0.043289537800065,0.0138365434831699,-0.00406665401440864,-0.837459810816723,-0.0287698995354045,-0.00606026930450896,0.0093910132495749,0.0237395902270256,-0.0868157085157077,-0.424553008120794,0.00535060834446853,-0.0233249380644003,-0.00753456997445706,-0.487242498612257,0.0405734115924533,0.0104187435806377,0.00972380017335362,-0.179612790137122
