"Germplasm","Plot","Rep","Row","Range","ndvi_145","ndvi_152","yld2","ndvi_160","ndvi_165","ndvi_173","ndvi_179","yld3","ndvi_187","ndvi_201","ndvi_206","yld4","ndvi_237","ndvi_242","yld5","ndvi_257","ndvi_263","ndvi_278","yld6","ndvi_293","ndvi_299","ndvi_307","yld7"
"SW_8421S","100","1","1","1",-0.0326953055741523,-0.0301494909420039,-1.10493756684983,-0.200038603689835,-0.060171479445354,-0.0267465617588445,-0.0490973830033923,-1.17630273606737,-0.0455146872781787,-0.0287323698677393,-0.044942808554763,-0.907801951367015,-0.00817269937540729,-0.0120990968775397,-0.593550950275293,-0.0223577597435017,-0.0241858054378062,-0.051695325102783,-0.464484037573309,-0.0276895402151226,-0.00287765403647799,-0.0112436465056759,-0.120421745968572
"SW_1011","101","1","1","2",-0.0565868217082439,-0.0560030056276276,-1.62352093138857,-0.22804006069458,-0.0467574543407114,-0.045108948931112,-0.067049429926619,-1.52150637832537,0.00966457231701673,-0.037066745832923,-0.0458006047762101,-1.14561267767568,-0.00747152137568838,-0.00306301225375816,-0.646614061718148,-0.0396040594275063,-0.0226375220905444,-0.038688264831296,-0.65026839797478,-0.0247318130353744,-0.0100118259473859,-0.0189249156040783,-0.251810113954374
"SW_9813","102","2","1","3",-0.0676604982639451,-0.0663251416796517,-1.8602920634473,-0.24552207105431,-0.029364482108069,-0.0530318211670785,-0.0745419934217501,-1.70519311080815,-0.0320718437754567,-0.0540028563076879,-0.0443722580052726,-1.19396366434996,-0.00891878678947877,0.00552776718635069,-0.665502507877581,-0.0255378651453045,-0.0174027954273346,-0.0328980478193591,-0.64506970803569,-0.0237708507573809,-0.00358481939992385,-0.0176194979517073,-0.348808920896412
"DONA_ANA","103","2","1","4",-0.065102209301351,-0.0647324891277981,-2.10800731082822,-0.254917032619019,-0.00936686558178565,-0.0523312163519609,-0.0787299570859592,-1.9290561901603,-0.0717513247647691,-0.0407682698687359,-0.0411274579788357,-1.29037110067492,-0.0123445026864401,-0.00296426398840152,-0.883921904093085,-0.0315171935680453,-0.0197554305335594,-0.0451959300120254,-0.938203396192823,-0.0525509069622759,-0.0135362384144665,-0.0355864686094677,-0.638588209588776
"NM1715PAR","104","3","1","5",-0.0698539724708709,-0.0812674205860604,-2.45852362560746,-0.229397105833894,-0.00813421231460698,-0.0613768683550581,-0.084147772182907,-2.29795916217485,-0.0714198872014234,-0.0760357844296155,-0.0500590794648471,-1.57469288358177,-0.0382751456581003,-0.024556958360062,-1.32302726875885,-0.0369801342780527,-0.0305400575961104,-0.0558434068264109,-1.2003696156301,-0.0668079360908501,-0.0267428403877407,-0.0415764130101886,-0.966635661045665
"NM170506PAR","105","3","1","6",-0.0552300702581006,-0.0535336818910074,-2.12492106870554,-0.239944032436188,-0.000373062214087983,-0.0389881693919931,-0.0615427916237475,-1.89845225578952,0.0370604138484187,-0.0557497877330353,-0.0475627811336527,-1.45969929496382,-0.028176108992876,-0.0336780053723035,-1.42526093160697,-0.0259872606835684,-0.0276215456464533,-0.0414290244719912,-1.16634696884212,-0.0597757330108482,-0.0198312344115789,-0.0318396799931389,-0.841834929259117
"NM1704PAR","106","4","1","7",-0.0357621785679426,-0.0235169518951317,-1.32825325932554,-0.245925821976575,0.000227511565821005,-0.0197227192331817,-0.0394394362998695,-1.26222653734979,-0.0247051239050353,-0.0240407303102217,-0.0384757704660994,-1.04017522231841,-0.0312732827636331,-0.0248380978799904,-1.01041649960061,-0.024902315894358,-0.0221680091801283,-0.0138193544661686,-0.756724022574264,-0.0503665512861733,-0.00576599675157533,-0.0177074663398398,-0.385172978087105
"NM1712PAR","107","4","1","8",-0.0309316796441108,-0.0140248787664754,-1.51921031244913,-0.201335229180593,-0.0039233604635143,-0.0236754443502827,-0.038171833486732,-1.3114275814644,-0.0106896768627773,-0.0125047908156139,-0.0375751665774025,-1.05664491874818,-0.0398611251393814,-0.0217259232779675,-1.04069132119766,-0.0350778067490442,-0.0194225166161121,-0.0109390906188274,-0.859346221519488,-0.0532741340395565,-0.00317251110965697,-0.0225696339884948,-0.466107164684906
"NUMEX_BILL_MELTON_CA_2019","108","4","2","8",-0.0157210400882244,-0.0124603510581345,-0.69800502794686,-0.0548965931713357,-0.0435615678464112,-0.0225017078976347,-0.0304428060215774,-0.750530524766181,-0.0138525110979447,-0.0196894250007399,-0.0378771649902006,-0.601164094939899,-0.00659477343397278,-0.0298588495513843,-0.379429477705614,-0.00286410504419991,-0.0154261700267872,-0.0376104778367876,-0.306011304922691,-0.0166682573327704,-0.00436546508517656,-0.0165484601471248,-0.0892421298262133
"NUMEX_BILL_MELTON_CA_2019","109","4","2","7",-0.0384230043370063,-0.0382660660657315,-1.14399499398819,-0.128582787685556,-0.035049218284522,-0.0408532567171434,-0.049918610056116,-1.09939391831521,0.0636747404974483,-0.0284979376713049,-0.040066014279749,-0.837459810816723,-0.0155528115512501,-0.0254024053771517,-0.424553008120794,-0.0271634518427512,-0.016047403273993,-0.0275255992692297,-0.487242498612257,-0.0126950952446563,-0.00980789158424289,-0.0227881414322591,-0.179612790137122
