"Germplasm","Plot","Rep","Row","Range","ndvi_145","ndvi_152","yld2","ndvi_160","ndvi_165","ndvi_173","ndvi_179","yld3","ndvi_187","ndvi_201","ndvi_206","yld4","ndvi_237","ndvi_242","yld5","ndvi_257","ndvi_263","ndvi_278","yld6","ndvi_293","ndvi_299","ndvi_307","yld7"
"SW_8421S","100","1","1","1",-0.813693764478294,-0.773349621619423,-0.827397921376658,-2.41531022779967,-4.93503654282443,-1.31905211790013,-1.63356884247035,-1.17751478176915,-0.701411005540651,-1.09662773256811,-1.84472322051266,-1.26931834662335,-0.391247097794868,0.0968313058877074,-0.84350674132864,-1.19224803895693,-1.23302031295996,-1.46698339513571,-0.637076865032925,-1.6750738065868,0.00309628721556979,0.133545796222235,-0.165454417353792
"SW_1011","101","1","1","2",-1.65507148108669,-1.6299471574302,-1.32656365315434,-2.7353667629546,-3.96558504699369,-2.05500829183114,-2.20364039329306,-1.53549798123277,0.431203130002452,-1.41120251176426,-1.87819127235868,-1.59129786610855,-0.356647576666754,0.348321772546729,-0.920751477446513,-1.86117125768499,-1.15605237377047,-1.06831320190555,-0.914562646537814,-1.5398250727225,-0.64658469717076,-0.128125228393303,-0.454739977162071
"SW_9813","102","2","1","3",-2.0450486027814,-1.97194770992699,-1.5544692195102,-2.93518606744043,-2.70856913891684,-2.37255342812652,-2.44156854207596,-1.72598485953766,-0.425482066211382,-2.05044331819017,-1.82246243771402,-1.65676180752813,-0.428062667103851,0.587418596039462,-0.948247660757085,-1.3155931263232,-0.895824732492773,-0.890841360704526,-0.906797931911498,-1.49588290919915,-0.0613024818616046,-0.0836547157382801,-0.66830800146385
"DONA_ANA","103","2","1","4",-1.9549543905225,-1.91917878206903,-1.79290911401274,-3.04257043839673,-1.26331172339691,-2.34447350396772,-2.57455833154426,-1.95813542684936,-1.23994643904291,-1.55091376442664,-1.69586228164014,-1.7872909073065,-0.59710409396457,0.351070114153773,-1.26620392387335,-1.54751021507016,-1.01277843874505,-1.26777503885619,-1.34461966441858,-2.81191577014298,-0.967539082569781,-0.695719670243175,-1.30633224238656
"NM1715PAR","104","3","1","5",-2.12229528354057,-2.46702621071375,-2.13030083293612,-2.75087778315845,-1.17422604297028,-2.70701914558044,-2.74660234789494,-2.34069531338355,-1.2331433236686,-2.88205968970423,-2.04434128339961,-2.17224322825733,-1.87664770446461,-0.2498933573107,-1.90541593197576,-1.75939844329386,-1.54890157240767,-1.59412331051831,-1.73618867554273,-3.46385052312118,-2.17021239596114,-0.899773827003902,-2.02861376618661
"NM170506PAR","105","3","1","6",-1.6072913221918,-1.54813171942771,-1.80918955975255,-2.87142910962305,-0.613316210491209,-1.80969021587376,-2.02877577475889,-1.92639852433419,0.993532483480519,-2.1163799365639,-1.94694490896627,-2.01654974469667,-1.37831228519575,-0.503748479859066,-2.05423894846192,-1.33302359636289,-1.40381711440956,-1.1523182847411,-1.6853727687978,-3.14228720607182,-1.54079961612363,-0.568081124621003,-1.75383259557905
"NM1704PAR","106","4","1","7",-0.92169857179821,-0.55359549252692,-1.04235186836882,-2.93980093877458,-0.569911852384857,-1.03753968582987,-1.32687843114366,-1.26661951163804,-0.274272152938967,-0.919545311035963,-1.59240319317971,-1.44854273584747,-1.53114185110014,-0.257717975163106,-1.4503439297009,-1.29094240945101,-1.13271204578626,-0.306073841608076,-1.0735637708722,-2.71203118933207,-0.259933726894465,-0.0866514572873045,-0.748372902204886
"NM1712PAR","107","4","1","8",-0.751584874040308,-0.239097191208379,-1.22615880025013,-2.43013065167602,-0.869901532324282,-1.19596312100153,-1.28662540013261,-1.31764199527665,0.0134100949286598,-0.484129914070918,-1.55726494369104,-1.47084158260192,-1.9549076193412,-0.171100565568777,-1.49441542384611,-1.68561385894272,-0.996228691440247,-0.217792914126676,-1.22683932653539,-2.84498695641341,-0.0237551870618159,-0.252286637382832,-0.926570499423709
"NUMEX_BILL_MELTON_CA_2019","108","4","2","8",-0.215918024525335,-0.187260116212238,-0.435702405369654,-0.756337661332841,-3.73461358852129,-1.14892029477255,-1.04118828133189,-0.735980337209656,-0.0515105072941761,-0.755308550819796,-1.56904781039555,-0.854151582697706,-0.313384583609956,-0.397454512987767,-0.531807027608923,-0.436157834962375,-0.797563142391212,-1.03527871598842,-0.400383475063248,-1.17110083517661,-0.13239281492135,-0.0471686147910602,-0.0968044078542883
"NUMEX_BILL_MELTON_CA_2019","109","4","2","7",-1.01540378068083,-1.04227391817065,-0.864992897482798,-1.59857055303478,-3.11941345646311,-1.88444207242637,-1.65964710427113,-1.09775877321202,1.53982039658034,-1.08777926487984,-1.65444865464521,-1.17407988128791,-0.755417604083267,-0.273423666478431,-0.597494001192843,-1.37864390857222,-0.828445760148473,-0.72617424477716,-0.671068689390984,-0.989419054133908,-0.628013196588559,-0.259730337891619,-0.295778848735617
"NUMEX_BILL_MELTON_CA_2019","110","3","2","6",-1.3965386878623,-1.31161319767216,-0.9922289830078,-1.62928133052252,-2.96885133742312,-2.15240406021112,-1.88199903461931,-1.20164142236874,1.41633468388911,-1.20164028982707,-1.63115729059109,-1.12908463271405,-1.28794054263694,-0.069966039161267,-0.543084937563217,-0.966695401223877,-0.810144828934907,-0.584886699018613,-0.576330945349606,-0.949082902738588,-0.0291057409388974,-0.159849962251005,-0.467565683368614
"NUMEX_BILL_MELTON_CA_2019","111","3","2","5",-1.35245688792546,-1.24127123933913,-1.23406980930251,-2.13259675218989,-1.71946646640387,-2.18791418047808,-2.12373392349645,-1.44237428641203,0.10818202259868,-0.851166272729392,-1.59657575640567,-1.29762774716142,-0.918100993551111,-0.344284997773788,-0.842241613098665,-1.12173306434523,-1.13431845003773,-1.12477962851812,-0.992409219178089,-2.26008103601087,-0.972763032330118,-0.80692688952174,-1.09084612251595
"NUMEX_BILL_MELTON_CA_2019","112","2","2","4",-1.56162265017325,-1.73915696381127,-1.58186712707697,-2.39623622879419,-1.64156468006219,-2.51025127335278,-2.43850804774327,-1.88752558781121,-0.0437568324978336,-2.20815493392639,-2.08400576617104,-1.75502129279584,-0.505184063587838,-0.957872097325148,-1.56178387897378,-1.17965426077178,-2.05343526113317,-1.43906132854216,-1.50641063227066,-2.71736484221846,-1.9347504713983,-0.933832761536567,-1.88800257353158
"NUMEX_BILL_MELTON_CA_2019","113","2","2","3",-1.08715345892067,-1.03662707260787,-1.33413896586008,-2.3303136852956,-0.753509909238154,-1.79439047929983,-1.79154369653452,-1.57168676319798,0.69366884226619,-2.3295725182028,-1.98836456865667,-1.6536362134008,-0.120309650498743,-1.27103734549042,-1.78112796109181,-1.03942967221508,-2.34324529695256,-1.21534759938097,-1.56529339522902,-2.3830742077799,-1.42252511825072,-0.626872394873677,-1.59596015523998
"NUMEX_BILL_MELTON_CA_2019","114","1","2","2",-0.408692085042785,-0.112508665174825,-0.587953683683279,-2.54317819934153,-0.697482996445749,-1.10343122692513,-1.06575849291151,-0.91924074879747,-0.647172104739194,-1.12046927760948,-1.54279276377559,-1.05080893325735,-0.167101696459123,-0.817873209704202,-1.04394243075326,-1.00748703432354,-1.86778419271175,-0.196594359402889,-0.815354254188931,-1.83580391136044,0.0200100795530727,-0.0934267725443101,-0.530465091599166
"NUMEX_BILL_MELTON_CA_2019","115","1","2","1",-0.239263879975585,0.198627949718248,-0.762287569719626,-2.24100219858215,-0.954509276374183,-1.21679321976931,-1.01815782498429,-0.970287731366074,-0.419152149455161,-0.533758280546765,-1.48237954354525,-1.04476950812956,0.30860511894729,-0.600015498552989,-1.01089657950652,-1.2518137498702,-1.55648027074346,0.0955538462309226,-0.859629290278934,-1.89766581279572,0.351264477865558,-0.207977079422287,-0.669173732802313
