"","Harvest","Rep","Model","Value"
"1","YLD2",1,"Base",0.43
"2","YLD2",1,"AR",0.43
"3","YLD2",1,"RR",0.78
"4","YLD2",2,"Base",0.14
"5","YLD2",2,"AR",0.74
"6","YLD2",2,"RR",0.72
"7","YLD2",3,"Base",0.84
"8","YLD2",3,"AR",0.79
"9","YLD2",3,"RR",0.75
"10","YLD2",4,"Base",0.72
"11","YLD2",4,"AR",0.74
"12","YLD2",4,"RR",0.82
"13","YLD3",1,"Base",0.45
"14","YLD3",1,"AR",0.45
"15","YLD3",1,"RR",0.83
"16","YLD3",2,"Base",0.58
"17","YLD3",2,"AR",0.81
"18","YLD3",2,"RR",0.89
"19","YLD3",3,"Base",0.83
"20","YLD3",3,"AR",0.87
"21","YLD3",3,"RR",0.9
"22","YLD3",4,"Base",0.75
"23","YLD3",4,"AR",0.79
"24","YLD3",4,"RR",0.91
"25","YLD4",1,"Base",0.49
"26","YLD4",1,"AR",0.49
"27","YLD4",1,"RR",0.92
"28","YLD4",2,"Base",0.67
"29","YLD4",2,"AR",0.85
"30","YLD4",2,"RR",0.94
"31","YLD4",3,"Base",0.85
"32","YLD4",3,"AR",0.85
"33","YLD4",3,"RR",0.92
"34","YLD4",4,"Base",0.76
"35","YLD4",4,"AR",0.72
"36","YLD4",4,"RR",0.91
"37","YLD5",1,"Base",0.59
"38","YLD5",1,"AR",0.59
"39","YLD5",1,"RR",0.96
"40","YLD5",2,"Base",0.81
"41","YLD5",2,"AR",0.87
"42","YLD5",2,"RR",0.95
"43","YLD5",3,"Base",0.85
"44","YLD5",3,"AR",0.85
"45","YLD5",3,"RR",0.96
"46","YLD5",4,"Base",0.82
"47","YLD5",4,"AR",0.81
"48","YLD5",4,"RR",0.95
"49","YLD6",1,"Base",0.59
"50","YLD6",1,"AR",0.59
"51","YLD6",1,"RR",0.97
"52","YLD6",2,"Base",0.76
"53","YLD6",2,"AR",0.85
"54","YLD6",2,"RR",0.98
"55","YLD6",3,"Base",0.84
"56","YLD6",3,"AR",0.86
"57","YLD6",3,"RR",0.97
"58","YLD6",4,"Base",0.83
"59","YLD6",4,"AR",0.86
"60","YLD6",4,"RR",0.99
"61","YLD7",1,"Base",0.64
"62","YLD7",1,"AR",0.64
"63","YLD7",1,"RR",0.79
"64","YLD7",2,"Base",0.91
"65","YLD7",2,"AR",0.86
"66","YLD7",2,"RR",0.84
"67","YLD7",3,"Base",0.88
"68","YLD7",3,"AR",0.88
"69","YLD7",3,"RR",0.91
"70","YLD7",4,"Base",0.9
"71","YLD7",4,"AR",0.89
"72","YLD7",4,"RR",0.9
