"","GEN","germplasmName"
"1","G1","AFX_149092"
"2","G10","NM170506PAR"
"3","G11","NM1712PAR"
"4","G12","NM1713PAR"
"5","G13","NM1715PAR"
"6","G14","NUMEX_BILL_MELTON_CA_2019"
"7","G15","NUMEX_BILL_MELTON_FG2011"
"8","G16","NUMEX_BILL_MELTON_FG2012"
"9","G17","SW_1011"
"10","G18","SW_8421S"
"11","G19","SW_8888"
"12","G2","AFX_779"
"13","G20","SW_9720"
"14","G21","SW_9812"
"15","G22","SW_9813"
"16","G23","TMA_990"
"17","G24","DONA_ANA"
"18","G3","AMERISTAND_803T"
"19","G4","MESQUITE"
"20","G5","NM1701PAR"
"21","G6","NM1702PAR"
"22","G7","NM1703PAR"
"23","G8","NM1704PAR"
"24","G9","NM1705PAR"
