plot,rep,ent,Cultivar Name,yld1,yld2,yld3,tot22,,,
113,1,22,SW4412Y,1.66,0.63,0.52,2.8,,,
114,1,25,AmeriStand 427 TQ,1.34,0.72,0.61,2.67,,,
115,1,4,Vernal,0.83,0.54,0.49,1.86,,,
116,1,30,Hi-Gest 360,1.36,0.78,0.63,2.77,,,
117,1,19,55V50,2,0.86,0.65,3.51,,,
118,1,29,Pluss III,1.44,0.62,0.51,2.57,,,
119,1,16,WL 358LH,1.25,0.51,0.48,2.23,,,
120,1,28,NY1614,1.31,0.6,0.61,2.52,,,
121,1,27,Lander,1.05,0.56,0.59,2.21,,,
122,1,11,Lightning Bolt,1.65,0.69,0.63,2.97,,,
123,1,7,N-R-Gee,1.83,0.68,0.53,3.03,,,
124,1,17,SW4602Z,1.84,0.67,0.51,3.01,,,
125,1,18,Oneida VR,1.96,0.47,0.58,3.02,,,
126,1,2,Regen,2.04,.,0.56,.,,,
127,1,9,NY2003,1.6,.,0.42,.,,,
128,1,15,NY0651,1.79,.,0.43,.,,,
129,1,26,NY1517,2.25,.,0.56,.,,,
130,1,21,Seedway 9558,2.04,.,0.58,.,,,
131,1,33,AlfaBar,1.82,0.55,0.46,2.82,,,
132,1,13,SW4107,1.62,0.5,0.41,2.54,,,
133,1,1,Guardsman II,1.89,0.65,0.45,2.99,,,
134,1,14,SW315 LH,1.76,0.56,0.42,2.74,,,
135,1,3,Seedway 9558 SBR,1.88,0.6,0.47,2.95,,,
136,1,35,FSG 415BR,1.93,0.65,0.55,3.13,,,
137,1,36,NY1615,2.14,0.72,0.54,3.4,,,
138,1,20,Rebound 6XT,1.74,0.7,0.47,2.9,,,
139,1,31,NY0465,1.8,0.69,0.53,3.02,,,
140,1,5,WL 349HQ,1.74,0.67,0.49,2.9,,,
141,1,32,FSG 421LH,1.62,0.56,0.46,2.63,,,
142,1,8,SW3407,1.59,0.57,0.49,2.66,,,
143,1,6,SW5606,1.64,0.54,0.47,2.65,,,
144,1,24,Ezra,1.89,0.6,0.55,3.04,,,
145,1,12,SW5210,2.11,0.71,0.48,3.3,,,
146,1,34,Persist III,2.25,0.79,0.54,3.58,,,
147,1,10,Algonquin,1.97,0.61,0.47,3.05,,,
148,1,23,Oneida Ultra,1.74,0.5,0.48,2.71,,,
213,2,24,Ezra,1.72,0.73,0.62,3.07,,,
214,2,31,NY0465,1.57,0.77,0.74,3.08,,,
215,2,8,SW3407,1.71,0.81,0.56,3.08,,,
216,2,29,Pluss III,1.77,0.8,0.6,3.17,,,
217,2,26,NY1517,2,0.72,0.61,3.33,,,
218,2,28,NY1614,1.61,0.94,0.63,3.17,,,
219,2,9,NY2003,1.62,0.95,0.68,3.26,,,
220,2,18,Oneida VR,1.48,0.92,0.69,3.09,,,
221,2,5,WL 349HQ,1.45,1.12,0.7,3.26,,,
222,2,32,FSG 421LH,1.8,1.14,0.64,3.58,,,
223,2,3,Seedway 9558 SBR,1.59,1.02,0.68,3.29,,,
224,2,10,Algonquin,0.96,0.78,0.68,2.43,,,
225,2,25,AmeriStand 427 TQ,2.02,0.8,0.7,3.52,,,
226,2,20,Rebound 6XT,1.7,0.72,0.58,2.99,,,
227,2,17,SW4602Z,1.68,0.77,0.49,2.94,,,
228,2,36,NY1615,1.66,0.63,0.51,2.8,,,
229,2,1,Guardsman II,1.67,0.63,0.61,2.9,,,
230,2,22,SW4412Y,2.02,0.6,0.63,3.25,,,
231,2,35,FSG 415BR,1.75,1.15,0.66,3.57,,,
232,2,27,Lander,1.35,0.86,0.56,2.78,,,
233,2,6,SW5606,1.91,1.08,0.51,3.51,,,
234,2,4,Vernal,1.28,0.82,0.66,2.77,,,
235,2,12,SW5210,2.04,1.32,0.72,4.08,,,
236,2,19,55V50,2.18,1.32,0.73,4.22,,,
237,2,7,N-R-Gee,1.54,1.04,0.57,3.15,,,
238,2,16,WL 358LH,1.59,0.9,0.54,3.03,,,
239,2,30,Hi-Gest 360,1.54,0.99,0.57,3.11,,,
240,2,15,NY0651,1.79,1.07,0.55,3.4,,,
241,2,2,Regen,2.02,1.16,0.72,3.9,,,
242,2,13,SW4107,2,1.2,0.68,3.88,,,
243,2,34,Persist III,1.91,1.04,0.81,3.76,,,
244,2,11,Lightning Bolt,1.54,0.89,0.75,3.18,,,
245,2,21,Seedway 9558,1.26,0.88,0.73,2.87,,,
246,2,23,Oneida Ultra,1.47,0.85,0.77,3.09,,,
247,2,14,SW315 LH,2,0.82,0.81,3.64,,,
248,2,33,AlfaBar,2.13,0.89,0.76,3.78,,,
313,3,19,55V50,2.2,0.89,0.52,3.6,,,
314,3,13,SW4107,2.01,1,0.46,3.46,,,
315,3,23,Oneida Ultra,2.02,0.99,0.51,3.52,,,
316,3,6,SW5606,1.97,0.72,0.49,3.17,,,
317,3,20,Rebound 6XT,1.68,0.77,0.45,2.9,,,
318,3,36,NY1615,2.13,0.8,0.49,3.42,,,
319,3,3,Seedway 9558 SBR,1.98,0.74,0.49,3.21,,,
320,3,33,AlfaBar,2.17,0.85,0.53,3.55,,,
321,3,22,SW4412Y,2.07,0.92,0.5,3.49,,,
322,3,1,Guardsman II,2.11,0.96,0.55,3.63,,,
323,3,15,NY0651,2.08,1,0.52,3.6,,,
324,3,4,Vernal,2.02,0.69,0.58,3.29,,,
325,3,12,SW5210,2.37,0.72,0.54,3.63,,,
326,3,24,Ezra,2.25,0.7,0.49,3.44,,,
327,3,21,Seedway 9558,1.75,.,0.43,.,,,
328,3,2,Regen,1.95,.,0.48,.,,,
329,3,30,Hi-Gest 360,1.73,.,0.47,.,,,
330,3,8,SW3407,1.8,.,0.5,.,,,
331,3,17,SW4602Z,1.85,0.91,0.47,3.23,,,
332,3,34,Persist III,1.82,0.9,0.5,3.21,,,
333,3,14,SW315 LH,1.83,0.74,0.46,3.03,,,
334,3,7,N-R-Gee,1.85,0.78,0.43,3.07,,,
335,3,9,NY2003,1.93,0.82,0.53,3.28,,,
336,3,11,Lightning Bolt,2.25,1.13,0.61,3.98,,,
337,3,29,Pluss III,2.06,1.1,0.56,3.72,,,
338,3,26,NY1517,2.16,0.85,0.58,3.58,,,
339,3,28,NY1614,2.12,0.81,0.53,3.47,,,
340,3,31,NY0465,2.01,0.8,0.6,3.4,,,
341,3,10,Algonquin,1.85,0.71,0.56,3.12,,,
342,3,35,FSG 415BR,2.06,0.85,0.64,3.54,,,
343,3,27,Lander,1.72,0.76,0.56,3.04,,,
344,3,18,Oneida VR,1.69,0.74,0.57,3,,,
345,3,16,WL 358LH,1.78,0.81,0.5,3.09,,,
346,3,32,FSG 421LH,2.19,0.8,0.55,3.54,,,
347,3,25,AmeriStand 427 TQ,2.21,0.87,0.61,3.69,,,
348,3,5,WL 349HQ,1.91,0.83,0.56,3.3,,,
413,4,6,SW5606,1.38,0.46,0.36,2.21,,,
414,4,29,Pluss III,1.29,0.44,0.37,2.1,,,
415,4,5,WL 349HQ,1.31,0.51,0.41,2.24,,,
416,4,17,SW4602Z,1.25,0.46,0.35,2.05,,,
417,4,24,Ezra,1.5,0.44,0.42,2.36,,,
418,4,27,Lander,1.27,0.4,0.41,2.08,,,
419,4,7,N-R-Gee,1.68,0.53,0.37,2.57,,,
420,4,18,Oneida VR,1.69,0.51,0.48,2.68,,,
421,4,34,Persist III,1.64,0.64,0.54,2.82,,,
422,4,31,NY0465,1.55,0.61,0.48,2.65,,,
423,4,10,Algonquin,1.67,0.66,0.52,2.85,,,
424,4,36,NY1615,2.01,0.6,0.54,3.15,,,
425,4,11,Lightning Bolt,1.7,.,0.54,.,,,
426,4,4,Vernal,1.42,.,0.43,.,,,
427,4,30,Hi-Gest 360,1.43,.,0.39,.,,,
428,4,22,SW4412Y,1.59,.,0.38,.,,,
429,4,35,FSG 415BR,1.67,.,0.48,.,,,
430,4,20,Rebound 6XT,1.72,0.88,0.51,3.11,,,
431,4,26,NY1517,1.84,0.72,0.57,3.13,,,
432,4,9,NY2003,1.67,0.79,0.53,2.99,,,
433,4,16,WL 358LH,1.49,0.79,0.42,2.69,,,
434,4,21,Seedway 9558,1.53,0.7,0.48,2.72,,,
435,4,25,AmeriStand 427 TQ,1.7,0.68,0.44,2.82,,,
436,4,14,SW315 LH,1.71,0.47,0.51,2.7,,,
437,4,33,AlfaBar,1.94,0.77,0.6,3.32,,,
438,4,2,Regen,1.68,0.83,0.64,3.15,,,
439,4,23,Oneida Ultra,1.49,0.68,0.54,2.72,,,
