plot,rep,ent,cultivar name,yld1,yld2,yld3,tot22,,,
113,1,10,Algonquin,2.14,1.94,1.43,5.51,,,
114,1,14,SW315 LH,2.18,1.77,1.31,5.26,,,
115,1,31,NY0465,2.34,1.97,1.59,5.9,,,
116,1,30,Hi-Gest 360,2.06,1.97,1.38,5.42,,,
117,1,7,N-R-Gee,1.98,1.86,1.38,5.22,,,
118,1,29,Pluss III,1.84,1.91,1.13,4.88,,,
119,1,3,Seedway 9558 SBR,2.22,1.68,1.26,5.16,,,
120,1,26,NY1517,2.19,1.67,1.37,5.23,,,
121,1,6,SW5606,1.88,1.86,1.25,4.98,,,
122,1,24,Ezra,2.14,2.03,1.44,5.6,,,
123,1,32,FSG 421LH,1.61,1.68,1.14,4.43,,,
124,1,18,Oneida VR,2.01,1.87,1.49,5.36,,,
125,1,34,Persist III,2.2,1.94,1.4,5.54,,,
126,1,23,Oneida Ultra,1.73,1.59,1.24,4.56,,,
127,1,5,WL 349HQ,1.76,1.76,1.18,4.71,,,
128,1,35,FSG 415BR,1.92,1.78,1.35,5.04,,,
129,1,1,Guardsman II,1.79,1.77,1.36,4.93,,,
130,1,25,AmeriStand 427 TQ,1.66,1.78,1.17,4.6,,,
131,1,11,Lightning Bolt,1.99,1.96,1.41,5.36,,,
132,1,4,Vernal,1.78,1.51,1.2,4.49,,,
133,1,20,Rebound 6XT,1.7,1.82,1.21,4.74,,,
134,1,21,Seedway 9558,2.08,1.87,1.54,5.49,,,
135,1,9,NY2003,1.79,1.65,1.19,4.63,,,
136,1,27,Lander,1.97,1.88,1.42,5.27,,,
137,1,36,NY1615,2.18,1.91,1.37,5.46,,,
138,1,19,55V50,2.19,2.02,1.27,5.47,,,
139,1,12,SW5210,2.14,1.91,1.26,5.31,,,
140,1,28,NY1614,2.16,1.87,1.34,5.38,,,
141,1,16,WL 358LH,1.65,1.68,1.07,4.4,,,
142,1,8,SW3407,1.87,1.73,1.17,4.78,,,
143,1,33,AlfaBar,2.03,1.93,1.24,5.2,,,
144,1,13,SW4107,1.74,1.85,1.2,4.79,,,
145,1,15,NY0651,1.72,1.81,1.11,4.63,,,
146,1,22,SW4412Y,2.01,1.99,1.27,5.27,,,
147,1,17,SW4602Z,1.47,1.82,1.04,4.33,,,
148,1,2,Regen,2.28,2.11,1.33,5.72,,,
213,2,6,SW5606,1.94,1.86,1.28,5.07,,,
214,2,18,Oneida VR,2.29,1.95,1.53,5.77,,,
215,2,27,Lander,2.18,1.95,1.41,5.54,,,
216,2,16,WL 358LH,1.82,1.88,1.18,4.88,,,
217,2,22,SW4412Y,2.36,2.11,1.51,5.98,,,
