"","Germplasm","Rep","Row","Range","Plot","yld1","yld2","yld3","tot22","sca_yld1","sca_yld2","sca_yld3","GNDVI_133","NDRE_133","NDVI_133","GNDVI_159","NDRE_159","NDVI_159","GNDVI_164","NDRE_164","NDVI_164","GNDVI_168","NDRE_168","NDVI_168","GNDVI_171","NDRE_171","NDVI_171","GNDVI_175","NDRE_175","NDVI_175","GNDVI_178","NDRE_178","NDVI_178","GNDVI_181","NDRE_181","NDVI_181","GNDVI_187","NDRE_187","NDVI_187","GNDVI_189","NDRE_189","NDVI_189","GNDVI_192","NDRE_192","NDVI_192","GNDVI_194","NDRE_194","NDVI_194","GNDVI_196","NDRE_196","NDVI_196","GNDVI_207","NDRE_207","NDVI_207","GNDVI_223","NDRE_223","NDVI_223","GNDVI_231","NDRE_231","NDVI_231","GNDVI_236","NDRE_236","NDVI_236","GNDVI_238","NDRE_238","NDVI_238","GNDVI_243","NDRE_243","NDVI_243","GNDVI_245","NDRE_245","NDVI_245","GNDVI_252","NDRE_252","NDVI_252","GNDVI_258","NDRE_258","NDVI_258","GNDVI_259","NDRE_259","NDVI_259"
"1","ALGONQUIN",1,1,16,113,2.14,1.94,1.43,5.51,0.487914878620742,0.251070639306264,0.220053674203608,0.349609145320225,0.366803859464892,0.544405112078424,0.212780024144719,0.34139145913615,0.499030702435633,0.226449764257024,0.431820471307789,0.48827232116088,0.054023437019382,0.39697910255283,0.277710952841525,0.121476266054482,0.368703104920615,0.344494232682502,0.102063296355222,0.47830656318724,0.352487030445174,0.128348830186426,0.283166427673348,0.394262731589721,0.255567894428851,0.354845703882771,0.521212284000358,0.249092601834381,0.330337792031706,0.572998930955361,0.274576977132246,0.366666666666667,0.551625807313447,0.295864706774399,0.295602887894288,0.54924546509425,0.293908662930202,0.327327602004385,0.605564349491005,0.270357373858996,0.34368295209807,0.527825453450511,0.271572411149354,0.241488792384963,0.412760889590736,0.217008783393612,0.292764740133161,0.453387628310229,0.24188112645492,0.327097845489643,0.478999404984294,0.251287469005697,0.25513866871039,0.463744282649701,0.304577983342423,0.321216742589292,0.534294843863471,0.222279790742012,0.223548251692391,0.428827500868521,0.286949166694842,0.329665005103125,0.517933565325224,0.263976625129675,0.298977460142936,0.43414981776719,0.200977947851692,0.227789967005023,0.427224008574491,0.11838209839094,0.301279896574014,0.362478547980278
"2","SW315_LH",1,1,17,114,2.18,1.77,1.31,5.26,0.497034782894027,0.229069603903138,0.201587631613095,0.343449511341316,0.407176055308709,0.533142380028442,0.227812338262245,0.326388104648974,0.491529593831384,0.215091181611321,0.431509742321472,0.459460063744693,0.0606071681103992,0.38380931445822,0.26540637181629,0.11833545797526,0.393112047034003,0.325275218209647,0.0688884741600339,0.505906148867314,0.326467364271108,0.107153023194021,0.289276721849154,0.344509434807942,0.235273054211516,0.340825946817083,0.492270421106038,0.252443593808769,0.31853945035461,0.553515722778473,0.283005450742102,0.376629852816081,0.540649210468001,0.28431422295601,0.25997127632847,0.516350518788506,0.301300295960136,0.347745548401524,0.592237306771275,0.269774876577799,0.312869261438761,0.504192017226872,0.267049019761893,0.248930414820664,0.410344489772046,0.218384709081565,0.295686185159869,0.436059250919932,0.261916954545442,0.337000982467793,0.484053855840148,0.255183103697013,0.235473335787243,0.445136777905988,0.316203771763053,0.341375605631971,0.534620882515527,0.204053901605889,0.194469350828844,0.384829185911653,0.301365813803388,0.362540400775695,0.515199380000139,0.274576376905004,0.335254393587402,0.434301843740209,0.229404184450404,0.256881869575268,0.426067923418027,0.127227139446366,0.307935500515996,0.361155572755418
"3","NY0465",1,1,18,115,2.34,1.97,1.59,5.9,0.533514399987166,0.254953174965639,0.244675064324291,0.360638926676845,0.363586007714664,0.553642760492238,0.218107115207192,0.300631082472515,0.488962945740439,0.211161322712557,0.412000659591054,0.481693799844097,0.0608849328456958,0.392859110759401,0.29596266010141,0.143376177080708,0.352082944700079,0.323090774364714,0.124628669018647,0.431581646125409,0.366311262995646,0.136540070700092,0.275096398936683,0.400690479352012,0.260496788268997,0.347326692690806,0.526992417104141,0.242354792160272,0.317866604088444,0.548412468710889,0.278867602341572,0.369913925285754,0.537576375336865,0.272748710765438,0.270248709387136,0.49881447144075,0.288393477561205,0.321300124490553,0.584457505494395,0.253369848025773,0.318081570492524,0.497745466643227,0.269780441101735,0.282289043880043,0.44450541737948,0.223988864821445,0.308432251156709,0.461258910794514,0.265808740107775,0.356542128495717,0.499625693608424,0.257293645767363,0.271482738394503,0.466702139545277,0.318041505401187,0.33329122760363,0.533166605072372,0.189845157813932,0.23738188307338,0.396229000074606,0.300616609909854,0.312686542042497,0.510537067451902,0.264110413887522,0.309531409790326,0.420549989064061,0.231652466863097,0.263515961582918,0.43051636088519,0.131189294110306,0.299127976982648,0.359844987768863
"4","HI-GEST_360",1,1,19,116,2.06,1.97,1.38,5.42,0.469675070074172,0.254953174965639,0.212359489790894,0.380428572429714,0.394982645456045,0.572800445641353,0.226851788801968,0.290789392583388,0.487736407275094,0.21133724054857,0.437445583738082,0.474845745637705,0.0608787110734913,0.371581816583135,0.299040124270934,0.188393401565184,0.277237209716733,0.349123088378487,0.206500017178612,0.312305410733037,0.445595911399323,0.184521731873657,0.309870247752077,0.457708271813156,0.308321162693385,0.426249561816833,0.571805739554548,0.274793938289389,0.317368064246975,0.562100803087192,0.310069934361478,0.42592781625957,0.555355736169787,0.310029804946447,0.283467089647104,0.522755222570956,0.31875682022971,0.376200293201393,0.598699076794753,0.291755127386985,0.347669973767748,0.520033351706117,0.285829387115457,0.256518401544063,0.43824991592461,0.261273938280701,0.38396317591364,0.486505777217852,0.28155608791692,0.379423803395741,0.506221235141904,0.291450963173535,0.28202720531368,0.48477825254678,0.335337247110881,0.367627211772918,0.537510013146634,0.201243455816462,0.197995883852599,0.376159654068784,0.313650335908352,0.352630634773007,0.519900445521964,0.268942669414326,0.312580113142634,0.418289500907387,0.220456999015225,0.231468801883025,0.412756026311918,0.120646107423274,0.276382625448369,0.350286069178803
"5","N-R-GEE",1,1,20,117,1.98,1.86,1.38,5.22,0.451435261527602,0.240717210881264,0.212359489790894,0.369925839212102,0.338784369740624,0.559631929644991,0.211144398963747,0.318159067417379,0.477242598265616,0.219373068129695,0.405165197577502,0.469965371469689,0.0579024914078899,0.372337114217884,0.273225475541487,0.183526159865132,0.263359268125855,0.33272447456784,0.207923681134205,0.298160498148523,0.440904429419748,0.178313932855919,0.285383350478506,0.448844389372071,0.296058567746789,0.387031154185549,0.558613242398409,0.252217430771435,0.311035669586984,0.540506883604506,0.282447291313153,0.39216571996097,0.537239365532943,0.286861635152924,0.288178015771526,0.506136035332007,0.292027553176869,0.335563558545547,0.577547885937204,0.255599189827993,0.329013687723918,0.492428499249778,0.252296231429563,0.261116813615827,0.42055957655247,0.239269272302897,0.361358415877541,0.468965345051433,0.258079004112691,0.356822832343947,0.485723460829286,0.271315954232723,0.258543007422494,0.465937365486977,0.316489687739794,0.364145286638702,0.522212467076383,0.18231171482615,0.192885158432229,0.355312688345739,0.300133356929114,0.343710337733108,0.511055737431449,0.257185208080659,0.291819326464381,0.406576814626966,0.210563378492695,0.240770211839363,0.406293174064972,0.115315317354325,0.280312432665374,0.342215039862099
"6","PLUSS_III",1,1,21,118,1.84,1.91,1.13,4.88,0.419515596571105,0.247188103646889,0.173888567727326,0.382011256760756,0.370787906556353,0.577353147732949,0.190863974095796,0.331223820226378,0.448168692158462,0.182661746522197,0.385620660952921,0.436655172098384,0.0793197214852963,0.324303760368123,0.285828717137079,0.215838063204164,0.263277914231232,0.379521359283671,0.25476019803094,0.322234759860725,0.486171649994166,0.203868941671026,0.328348058330499,0.482377592693659,0.318524707553861,0.450467387565247,0.573716815482867,0.275234888290297,0.339863631622862,0.553472569879015,0.300863378209758,0.432255652534437,0.5511403715697,0.306275817337935,0.301700921332388,0.519249202693125,0.306920694324116,0.366176312613347,0.590495914769388,0.276886056506173,0.339962534710211,0.505397055830591,0.249759965778821,0.195105350119168,0.36674036057376,0.259484035177935,0.392122314103738,0.479670805057802,0.2693804116247,0.380172416178892,0.496038302406354,0.275508665799177,0.243462742616557,0.458496387375874,0.318587520825048,0.386294930575879,0.520857152147758,0.178777095236387,0.148293731174501,0.336588875906218,0.318372445808757,0.39449037679588,0.523867388146325,0.273200871836303,0.317476339948099,0.421160982934024,0.19198586100824,0.195999411554547,0.390420738499044,0.110933438685729,0.285693240454076,0.333296439628483
"7","SEEDWAY_9558_SBR",1,1,22,119,2.22,1.68,1.26,5.16,0.506154687167312,0.217421996925012,0.193893447200382,0.351933589746826,0.328347560693178,0.544409893179004,0.217133008002367,0.328251458686241,0.476310910837765,0.20188394832978,0.420772920789111,0.445673832224021,0.0489595893873089,0.349028840235646,0.279774612386061,0.146924953992505,0.314795725779763,0.337054273186068,0.161622694974594,0.33672734771642,0.402743189733314,0.142841580578899,0.292635481469297,0.41257436096638,0.260954371786222,0.355482884173456,0.522721968543886,0.247237879004522,0.306603306216103,0.528489648518982,0.281267739536464,0.386565017549127,0.53638752475106,0.290684615882467,0.286878938370839,0.502920953674009,0.279826600824418,0.32210517978774,0.572499013861841,0.249121534443479,0.315347143542477,0.48800563432036,0.247472779338503,0.213684695354652,0.371338772645524,0.227681350452144,0.310106668930198,0.434382003731849,0.241391869594812,0.323052845697206,0.464201502760596,0.268675375571522,0.268490168147031,0.467876794592481,0.289797496334414,0.365532353951453,0.509943144229071,0.174598829459416,0.191233839958255,0.34934231994815,0.299300192267049,0.33313720174977,0.511166566563374,0.281030885284021,0.284659419390307,0.434505665998688,0.230643688517425,0.230080490931635,0.42681924216632,0.142642169575951,0.300412563215331,0.359154086974156
"8","NY1517",1,1,23,120,2.19,1.67,1.37,5.23,0.499314758962348,0.216127818371887,0.210820652908352,0.347392068702196,0.358340437624325,0.547117660829255,0.215948115926011,0.294986892429348,0.493545121166605,0.198519839294954,0.424190052167656,0.452842237812556,0.0406598647720654,0.335778012251238,0.28768691931182,0.136263820325568,0.323467359988393,0.348201534842267,0.125075380614456,0.364033050627048,0.393065770378476,0.115906213314114,0.301368721701933,0.382845024877565,0.237377695614367,0.345046738756525,0.511584630801215,0.240164806163275,0.301240743637881,0.524491421568627,0.287210740169211,0.378771431558405,0.544321653424403,0.277341779565944,0.255104831089062,0.491192564375148,0.28127689024324,0.330451225964686,0.580812031659489,0.244247653487985,0.295935465375069,0.493018179440559,0.260087928902967,0.274663332894679,0.414397216007954,0.224694387909674,0.296620785475275,0.434517666715809,0.244156633082972,0.342079510703364,0.473788312784535,0.268761000159623,0.252715037112471,0.461985280994425,0.283600519662531,0.361916161483828,0.511587776097143,0.188370400287925,0.211780983579873,0.366474273325149,0.290033915178459,0.312708607016007,0.50458518394951,0.280586328882707,0.273102204537059,0.426676440046424,0.232483281065587,0.285695731668873,0.444240590126726,0.1185271708923,0.2543037124352,0.321054792957907
"9","SW5606",1,1,24,121,1.88,1.86,1.25,4.98,0.42863550084439,0.240717210881264,0.192354610317839,0.389843725056304,0.398084532925729,0.563154580608978,0.243550021602632,0.30447987317648,0.519601802748007,0.210358479596711,0.472637860636245,0.459175752680935,0.0748454851083537,0.269708813271198,0.287466367713004,0.207869367525643,0.292475128236949,0.377018827045586,0.238619571031801,0.333737309381016,0.474425930799288,0.200997613574999,0.316141734359469,0.465794767550694,0.301136319776893,0.433698269544278,0.562772468255037,0.279069139901826,0.3171721161869,0.546122887984981,0.327464603414607,0.45308314211576,0.566667238532307,0.309770220943205,0.288028555490903,0.510898508625136,0.314494350643497,0.383213114443328,0.60095164072719,0.276966341354535,0.348609906986141,0.512299337368963,0.280215783471588,0.279020338933485,0.425223348101358,0.273943894552865,0.382696193841705,0.482893657197063,0.278129612849151,0.403706117591709,0.487397567354394,0.297345920684205,0.283917089234409,0.471395785871014,0.317589762246121,0.399483237407733,0.508985269729782,0.206407985125179,0.198051348599704,0.360727040345328,0.308726696336388,0.310538259969,0.497329899701816,0.285013502729555,0.293170062719088,0.404944463163619,0.197330951722138,0.241106472696606,0.396135989879823,0.108625307553452,0.248493098596905,0.302644080256537
"10","EZRA",1,1,25,122,2.14,2.03,1.44,5.6,0.487914878620742,0.26271824628439,0.221592511086151,0.377170826446686,0.364172841453507,0.553088895648919,0.217265732871897,0.301799138627783,0.503571336307909,0.201842676169241,0.403871049949032,0.459311177070216,0.0496140846812758,0.291268354875583,0.294109147395879,0.176593101511272,0.283426216681176,0.370784754176512,0.17904503177429,0.321753763902547,0.428255546783504,0.151779937682701,0.28312226586448,0.429437612352837,0.269385594159431,0.36428283642224,0.542696600710299,0.243089075875524,0.339562082811848,0.532745880267,0.295660172196164,0.395682615463247,0.562993245283896,0.28966045388425,0.281806195369714,0.506393219938578,0.283509946139223,0.334865334067727,0.590364570623793,0.256950052934421,0.335080444072764,0.508076758810998,0.244271801486757,0.239390270649647,0.407935254638768,0.229742955452716,0.302634482820241,0.461109547487256,0.245355657002551,0.350912726417314,0.484755559245575,0.271783819163913,0.280360871101966,0.475794829800562,0.283970171969849,0.324995024875622,0.507393880271843,0.181575748968173,0.200371523373945,0.356031527488585,0.29841233016251,0.32794847467523,0.513787003635201,0.286055421583227,0.308518919174543,0.435857111611603,0.202533427467614,0.239297438160688,0.419204968160898,0.117897375161815,0.298202937207272,0.340713376200683
