Time,h2_ndvi,h2_ndvi_spa,h2_gndvi,h2_gndvi_spa,h2_ndre,h2_ndre_spa,
131,0.18,0.65,0.27,0.56,0.01,0.01,
145,0.21,0.28,0.3,0.46,0.31,0.69,
154,0.14,0.2,0.11,0.99,0.13,0.61,
159,0.04,0.87,0.01,0.99,0,0.99,
162,0.25,0.66,0.13,0.9,0.12,0.99,
164,0.24,0.49,0.55,0.95,0,0.99,
175,0.56,0.67,0.59,0.71,0.5,0.66,
178,0.3,0.7,0.3,0.87,0.06,0.4,
181,0.16,0.49,0.23,0.58,0.18,0.59,
187,0.01,0.52,0.17,0.77,0.07,0.1,
189,0,1,0.03,0,0.18,0.3,
192,0.02,1,0.07,0.88,0.07,0.47,
201,0.04,1,0.09,0.99,0.08,0.1,
203,0,0.11,0,0.16,0.03,0.03,
210,0.03,0.31,0.33,0.32,0.22,0.22,
215,0.25,0.61,0.31,0.64,0.12,0.25,
223,0.43,0.66,0.41,0.62,0.33,0.78,
236,0.14,0.61,0.13,0.7,0.13,0.13,
238,0.22,0.72,0.16,0.16,0.08,0.1,
243,0.08,0.51,0.14,0.14,0.07,0.1,
259,0.1,0.79,0.13,0.99,0.01,0.99,
263,0.18,0.55,0.29,1,0.09,0.1,
,,,,,,,
