"plotNumber","germplasmName","replicate","rowNumber","colNumber","name","value","trait","doy","harvest","GDD_sum","loc","year"
2111010,"ALGONQUIN",1,1,1,"GNDVI_132.5",0.358506624749331,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111020,"NY2003",1,1,2,"GNDVI_132.5",0.416885947675742,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111030,"N-R-GEE",1,1,3,"GNDVI_132.5",0.40753152648983,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111040,"SW5210",1,1,4,"GNDVI_132.5",0.415309863122361,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111050,"NY2003",1,1,5,"GNDVI_132.5",0.390693987465129,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111060,"LIGHTNING_BOLT",1,1,6,"GNDVI_132.5",0.385931932989084,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111070,"N-R-GEE",1,1,7,"GNDVI_132.5",0.3409107949663,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111080,"SW5210",1,1,8,"GNDVI_132.5",0.347192444731662,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111090,"SW3407",1,1,9,"GNDVI_132.5",0.395380805961657,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111100,"ALGONQUIN",1,1,10,"GNDVI_132.5",0.35394084912351,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111110,"LIGHTNING_BOLT",1,1,11,"GNDVI_132.5",0.389214095949347,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111120,"SW3407",1,1,12,"GNDVI_132.5",0.42128727840987,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111121,"BORDER",1,1,13,"GNDVI_132.5",0.406451421928933,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111122,"BORDER",1,1,14,"GNDVI_132.5",0.397508678126901,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111123,"BORDER",1,1,15,"GNDVI_132.5",0.39533016211553,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111130,"ALGONQUIN",1,1,16,"GNDVI_132.5",0.349609145320225,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111140,"SW315_LH",1,1,17,"GNDVI_132.5",0.343449511341316,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111150,"NY0465",1,1,18,"GNDVI_132.5",0.360638926676845,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111160,"HI-GEST_360",1,1,19,"GNDVI_132.5",0.380428572429714,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111170,"N-R-GEE",1,1,20,"GNDVI_132.5",0.369925839212102,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111180,"PLUSS_III",1,1,21,"GNDVI_132.5",0.382011256760756,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111190,"SEEDWAY_9558_SBR",1,1,22,"GNDVI_132.5",0.351933589746826,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111200,"NY1517",1,1,23,"GNDVI_132.5",0.347392068702196,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111210,"SW5606",1,1,24,"GNDVI_132.5",0.389843725056304,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111220,"EZRA",1,1,25,"GNDVI_132.5",0.377170826446686,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111230,"FSG_421LH",1,1,26,"GNDVI_132.5",0.322139231339066,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111240,"ONEIDA_VR",1,1,27,"GNDVI_132.5",0.315572593870677,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111250,"PERSIST_III",1,1,28,"GNDVI_132.5",0.355359567297237,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111260,"ONEIDA_ULTRA",1,1,29,"GNDVI_132.5",0.291993393838045,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111270,"WL_349HQ",1,1,30,"GNDVI_132.5",0.350300568998254,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111280,"FSG_415BR",1,1,31,"GNDVI_132.5",0.317945094298868,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111290,"GUARDSMAN_II",1,1,32,"GNDVI_132.5",0.287739188792201,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111300,"AMERISTAND_427_TQ",1,1,33,"GNDVI_132.5",0.338459249099061,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111310,"LIGHTNING_BOLT",1,1,34,"GNDVI_132.5",0.371374332828202,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111320,"VERNAL",1,1,35,"GNDVI_132.5",0.341561699825628,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111330,"REBOUND_6XT",1,1,36,"GNDVI_132.5",0.403507221101859,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111340,"SEEDWAY_9558",1,1,37,"GNDVI_132.5",0.385134322428729,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111350,"NY2003",1,1,38,"GNDVI_132.5",0.359123825159521,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111360,"LANDER",1,1,39,"GNDVI_132.5",0.362120560504266,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111370,"NY1615",1,1,40,"GNDVI_132.5",0.371166949116364,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111380,"55V50",1,1,41,"GNDVI_132.5",0.386866501391905,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111390,"SW5210",1,1,42,"GNDVI_132.5",0.405843925536934,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111400,"NY1614",1,1,43,"GNDVI_132.5",0.365982032937375,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111410,"WL_358LH",1,1,44,"GNDVI_132.5",0.394401543431315,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111420,"SW3407",1,1,45,"GNDVI_132.5",0.40866164849464,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111430,"ALFABAR",1,1,46,"GNDVI_132.5",0.403865196491644,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111440,"SW4107",1,1,47,"GNDVI_132.5",0.403361138078522,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111450,"NY0651",1,1,48,"GNDVI_132.5",0.368471614791434,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111460,"SW4412Y",1,1,49,"GNDVI_132.5",0.376765131886629,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111470,"SW4602Z",1,1,50,"GNDVI_132.5",0.330112410116742,"GNDVI",133,"1",288.3,"NY-sny","2022"
2111480,"REGEN",1,1,51,"GNDVI_132.5",0.382787387599592,"GNDVI",133,"1",288.3,"NY-sny","2022"
2112010,"ALGONQUIN",2,2,1,"GNDVI_132.5",0.317622997035543,"GNDVI",133,"1",288.3,"NY-sny","2022"
2112020,"NY2003",2,2,2,"GNDVI_132.5",0.361840892639823,"GNDVI",133,"1",288.3,"NY-sny","2022"
2112030,"SW5210",2,2,3,"GNDVI_132.5",0.389798975915039,"GNDVI",133,"1",288.3,"NY-sny","2022"
2112040,"SW3407",2,2,4,"GNDVI_132.5",0.385824724632458,"GNDVI",133,"1",288.3,"NY-sny","2022"
2112050,"LIGHTNING_BOLT",2,2,5,"GNDVI_132.5",0.366331619076142,"GNDVI",133,"1",288.3,"NY-sny","2022"
2112060,"N-R-GEE",2,2,6,"GNDVI_132.5",0.355694536033914,"GNDVI",133,"1",288.3,"NY-sny","2022"
2112070,"SW5210",2,2,7,"GNDVI_132.5",0.384466740203293,"GNDVI",133,"1",288.3,"NY-sny","2022"
2112080,"NY2003",2,2,8,"GNDVI_132.5",0.350141083500909,"GNDVI",133,"1",288.3,"NY-sny","2022"
2112090,"LIGHTNING_BOLT",2,2,9,"GNDVI_132.5",0.368215162889847,"GNDVI",133,"1",288.3,"NY-sny","2022"
