,Germplasm,Rep,Row,Range,Plot,yld1,yld2,yld3,tot22,GNDVI_131,NDRE_131,NDVI_131,GNDVI_145,NDRE_145,NDVI_145,GNDVI_154,NDRE_154,NDVI_154,GNDVI_159,NDRE_159,NDVI_159,GNDVI_162,NDRE_162,NDVI_162,GNDVI_164,NDRE_164,NDVI_164,GNDVI_175,NDRE_175,NDVI_175,GNDVI_178,NDRE_178,NDVI_178,GNDVI_181,NDRE_181,NDVI_181,GNDVI_187,NDRE_187,NDVI_187,GNDVI_189,NDRE_189,NDVI_189,GNDVI_192,NDRE_192,NDVI_192,GNDVI_201,NDRE_201,NDVI_201,GNDVI_203,NDRE_203,NDVI_203,GNDVI_210,NDRE_210,NDVI_210,GNDVI_215,NDRE_215,NDVI_215,GNDVI_223,NDRE_223,NDVI_223,GNDVI_236,NDRE_236,NDVI_236,GNDVI_238,NDRE_238,NDVI_238,GNDVI_243,NDRE_243,NDVI_243,GNDVI_259,NDRE_259,NDVI_259,GNDVI_263,NDRE_263,NDVI_263
1,SW4412Y,1,1,36,113,1.66,0.63,0.52,2.8,0.16935768,0.314060375,0.433960789,0.25427421,0.310847735,0.53797804,0.193290368,0.463660449,0.503501105,-0.062098589,0.547377765,0.512364756,0.021021971,0.477078379,0.4420386,0.025841198,0.253885865,0.233372703,0.301920437,0.347774174,0.539604983,0.21775868,0.274722087,0.521196779,0.298564761,0.354781181,0.55311437,0.19001313,0.244056898,0.449249578,0.283235166,0.375569684,0.456102419,0.280736032,0.395178631,0.459765405,0.152942232,0.318081109,0.349537889,0.092788564,0.399205071,0.398350848,0.079537212,0.413331433,0.427960717,0.154330699,0.44668381,0.441904813,0.26905429,0.357326718,0.494660157,0.160334086,0.254637161,0.421347486,0.217583097,0.282690884,0.445329478,0.173371683,0.291445002,0.444557294,0.202322914,0.253818903,0.36784372,0.117719674,0.291265486,0.356858403
2,AMERISTAND_427_TQ,1,1,35,114,1.34,0.72,0.61,2.67,0.153713328,0.345328954,0.412417326,0.24491885,0.296865652,0.549971064,0.182757964,0.459618657,0.53133804,-0.059021048,0.541915317,0.504378847,0.041221552,0.448327327,0.408325547,0.045981102,0.260179254,0.244352754,0.311238506,0.352778171,0.552878855,0.235429112,0.282875628,0.547173102,0.311466086,0.340567054,0.573788363,0.209895962,0.284193359,0.474610881,0.310824624,0.410766506,0.492202268,0.325093764,0.428733225,0.509481032,0.179575414,0.312758752,0.330202127,0.098839742,0.384260816,0.40290296,0.100928457,0.405732652,0.408952816,0.173956279,0.441872986,0.433229421,0.320726244,0.368322663,0.53794873,0.190461668,0.281152183,0.470604446,0.25048028,0.332425234,0.500959144,0.206480055,0.335668809,0.492669193,0.204119219,0.274710293,0.390848007,0.122945712,0.287582604,0.341455323
3,VERNAL,1,1,34,115,0.83,0.54,0.49,1.86,-0.07139242,0.506061576,0.358206037,0.031590868,0.44821706,0.385115612,0.152929438,0.423512555,0.513200229,-0.075534158,0.516528147,0.516374853,-0.005103147,0.500312611,0.420219324,-0.015086793,0.243947166,0.204332228,0.158950704,0.360849778,0.443861813,0.072078179,0.349167616,0.42573727,0.176256954,0.321649947,0.471263499,0.129105689,0.322960749,0.415543613,0.249542669,0.387686246,0.454448754,0.244665053,0.390252283,0.45408788,0.133280427,0.3457692,0.374800661,0.080806893,0.39206177,0.401070637,0.053554319,0.441062016,0.411430981,0.111099839,0.448418841,0.429142535,0.154772419,0.374442323,0.42801909,0.097995137,0.259551424,0.366298594,0.164994814,0.293262977,0.407452226,0.145616235,0.299561688,0.411323543,0.162870411,0.259817539,0.354766722,0.090230008,0.265219065,0.346166705
4,HI-GEST_360,1,1,33,116,1.36,0.78,0.63,2.77,0.148035549,0.418124244,0.389954849,0.242327112,0.292853972,0.548032874,0.227824534,0.495639839,0.539671771,-0.065290947,0.434327594,0.51291926,0.032271652,0.45563215,0.384818076,0.032404805,0.25442173,0.221366056,0.306939571,0.36819748,0.56541874,0.221853173,0.273949731,0.548646934,0.317030611,0.355810749,0.581640376,0.237922227,0.348083623,0.488739997,0.346802535,0.451326767,0.528664294,0.352008078,0.465242078,0.526677301,0.203983124,0.364961758,0.354530358,0.10557037,0.363740858,0.405709087,0.10806363,0.385392127,0.397438149,0.178196107,0.448259632,0.442807014,0.309942171,0.359839632,0.529752135,0.187291157,0.281656745,0.449280139,0.257503998,0.367985662,0.51035462,0.226362036,0.401136783,0.510275891,0.183229188,0.263533411,0.390608878,0.120594444,0.302784624,0.339269684
5,55V50,1,1,32,117,2,0.86,0.65,3.51,0.208429611,0.351180775,0.459932363,0.270524401,0.338422784,0.552287538,0.22672355,0.501330725,0.51584864,-0.055326103,0.397500537,0.513741939,0.034419432,0.454665562,0.365802883,0.037658681,0.241910999,0.216071426,0.318880288,0.393046129,0.559908533,0.233175023,0.315297915,0.559616051,0.325058098,0.392577853,0.58528884,0.227714574,0.349352164,0.488440633,0.31395413,0.437005786,0.493188071,0.321125749,0.455713526,0.503455404,0.1762384,0.343503598,0.348517145,0.106894086,0.364850449,0.410579708,0.07967314,0.40522651,0.381471423,0.172271335,0.448396654,0.431635488,0.307588563,0.348532317,0.526418426,0.178253569,0.276374771,0.438676243,0.238455467,0.359275537,0.482922609,0.221660254,0.397487999,0.484983688,0.177970095,0.232091915,0.356155669,0.120401185,0.31899061,0.346546865
6,PLUSS_III,1,1,31,118,1.44,0.62,0.51,2.57,0.197310259,0.392467836,0.449639679,0.259678771,0.309861926,0.555211009,0.199515387,0.482369957,0.536828078,-0.064629552,0.390171737,0.513134051,0.042053975,0.440670561,0.3883407,0.055137748,0.255671257,0.234503637,0.320727645,0.376736373,0.559684122,0.198206637,0.290549411,0.541158898,0.288871641,0.356244693,0.551022251,0.186335831,0.307879253,0.460992657,0.277209021,0.400035571,0.449756438,0.272463912,0.420160158,0.44902034,0.118925834,0.343856573,0.354911047,0.096950277,0.382802309,0.411501867,0.094957288,0.381063388,0.398437361,0.164510475,0.447582567,0.435208273,0.283956571,0.320191071,0.507102309,0.149233192,0.249714646,0.399412937,0.187054775,0.281811805,0.438578175,0.183509838,0.334387892,0.44792284,0.14432935,0.211943219,0.347691172,0.09117241,0.282362033,0.332510754
7,WL_358LH,1,1,30,119,1.25,0.51,0.48,2.23,0.150434467,0.407267372,0.385449581,0.238822533,0.34334179,0.518798954,0.19149142,0.506075569,0.524077255,-0.05487826,0.325310178,0.520599608,0.042425881,0.436939237,0.342577049,0.049902325,0.238315771,0.214765175,0.298036851,0.362656663,0.536804863,0.190837464,0.255660989,0.526022672,0.288864367,0.346980904,0.551274308,0.181417551,0.311035362,0.445247366,0.256987832,0.40789208,0.431904789,0.270941468,0.437766816,0.449414088,0.118404342,0.347771329,0.348679105,0.103505348,0.351577794,0.408671388,0.108099949,0.372101572,0.389789395,0.160147126,0.457557963,0.427663527,0.268254611,0.317359312,0.49051061,0.152220956,0.241562201,0.383841586,0.168784823,0.265230222,0.415006112,0.171207316,0.340335915,0.439812418,0.164705481,0.26739249,0.368900949,0.078793658,0.295680575,0.30195305
8,NY1614,1,1,29,120,1.31,0.6,0.61,2.52,0.133113167,0.425006681,0.3659336,0.221972911,0.320772554,0.506512605,0.166371865,0.467928057,0.530553091,-0.064939603,0.357830061,0.529296964,0.019904838,0.461402411,0.402456483,0.027567783,0.247870532,0.222201707,0.259435232,0.315144493,0.525213282,0.162811594,0.240951097,0.516254484,0.26156084,0.317020766,0.544691448,0.174453374,0.283445798,0.45869541,0.257352323,0.396893967,0.45290856,0.267139524,0.412275992,0.470055598,0.121745017,0.333531115,0.361068442,0.092516302,0.347855235,0.400314695,0.06927167,0.376892209,0.387833474,0.145899797,0.442893179,0.430886031,0.274400775,0.285987814,0.504940786,0.162133297,0.253525402,0.43130375,0.171793959,0.260216688,0.441548847,0.162593538,0.309154984,0.440719767,0.191785151,0.289468172,0.397252829,0.104224391,0.321194452,0.326969081
9,LANDER,1,1,28,121,1.05,0.56,0.59,2.21,0.062307913,0.478439109,0.327681309,0.174525689,0.308898182,0.469935521,0.167808007,0.46653563,0.520545139,-0.064906114,0.330504209,0.540605405,0.022981625,0.455764257,0.364985627,0.021893027,0.258652045,0.218261292,0.255423073,0.301321854,0.522457108,0.157930693,0.249299231,0.514855306,0.272217043,0.296917995,0.559286668,0.175969738,0.322200929,0.463049651,0.294098861,0.408245765,0.481578294,0.293587806,0.415195921,0.481340836,0.137642957,0.328589114,0.351336445,0.097603117,0.309314658,0.392009189,0.098835823,0.337337189,0.404687088,0.169638714,0.44952307,0.427999469,0.292566531,0.290282522,0.524698898,0.159252565,0.25570787,0.432638874,0.177817811,0.270657057,0.459553893,0.150481987,0.309710843,0.428993734,0.169246937,0.268823514,0.387039754,0.089273957,0.375931971,0.336759401
10,LIGHTNING_BOLT,1,1,27,122,1.65,0.69,0.63,2.97,0.208275374,0.389451046,0.463314196,0.260801333,0.400751546,0.539335791,0.194018571,0.48566576,0.544581524,-0.060712397,0.35048641,0.520777485,0.033398022,0.42480263,0.38646345,0.042501396,0.264637565,0.247363183,0.31251658,0.372904228,0.564960014,0.197962293,0.291604102,0.537439824,0.295452889,0.363948587,0.555528554,0.189278364,0.366403421,0.468990287,0.281733397,0.436146551,0.476662586,0.279616829,0.44839518,0.469005708,0.128166224,0.342131724,0.368933451,0.087135266,0.309241144,0.399341466,0.082013156,0.341778078,0.399111959,0.157939479,0.447121322,0.434745816,0.30048007,0.321167438,0.522552189,0.178120504,0.268866126,0.436785367,0.191220391,0.317081515,0.458181992,0.180266728,0.349276807,0.438884047,0.189026427,0.279362892,0.394047294,0.112479859,0.377521028,0.342483705
