"plotNumber","germplasmName","replicate","rowNumber","colNumber","name","value","trait","doy","harvest","GDD_sum","loc","year"
2121010,"SW5606",1,1,51,"GNDVI_130.5",0.211676280090871,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121020,"VERNAL",1,1,50,"GNDVI_130.5",0.0329782784745209,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121030,"SEEDWAY_9558_SBR",1,1,49,"GNDVI_130.5",0.208140983047892,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121040,"REGEN",1,1,48,"GNDVI_130.5",0.158065371536462,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121050,"WL_349HQ",1,1,47,"GNDVI_130.5",0.196947253523858,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121060,"GUARDSMAN_II",1,1,46,"GNDVI_130.5",0.188207380325017,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121070,"WL_349HQ",1,1,45,"GNDVI_130.5",0.207088249030733,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121080,"SW5606",1,1,44,"GNDVI_130.5",0.269885725454427,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121090,"VERNAL",1,1,43,"GNDVI_130.5",0.111400446766195,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121100,"REGEN",1,1,42,"GNDVI_130.5",0.170954856819969,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121110,"GUARDSMAN_II",1,1,41,"GNDVI_130.5",0.183069340217246,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121120,"SEEDWAY_9558_SBR",1,1,40,"GNDVI_130.5",0.146061116823898,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121121,"BORDER",1,1,39,"GNDVI_130.5",0.185274742136312,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121122,"BORDER",1,1,38,"GNDVI_130.5",0.214528331725779,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121123,"BORDER",1,1,37,"GNDVI_130.5",0.210729771336253,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121130,"SW4412Y",1,1,36,"GNDVI_130.5",0.169357680418153,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121140,"AMERISTAND_427_TQ",1,1,35,"GNDVI_130.5",0.153713328044616,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121150,"VERNAL",1,1,34,"GNDVI_130.5",-0.0713924201115208,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121160,"HI-GEST_360",1,1,33,"GNDVI_130.5",0.148035548631902,"GNDVI",131,"1",269.85,"NY-mus","2022"
