"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","GNDVI_131","GNDVI_145","GNDVI_154","GNDVI_159","GNDVI_162","GNDVI_164","GNDVI_175","GNDVI_178","GNDVI_181","GNDVI_187","GNDVI_189","GNDVI_192","GNDVI_201","GNDVI_203","GNDVI_210","GNDVI_215","GNDVI_223","GNDVI_236","GNDVI_238","GNDVI_243","GNDVI_259","GNDVI_263"
"SW4412Y",1,113,1,36,1.66,0.63,0.52,2.8,0.169357680418153,0.254274210060753,0.193290367916925,-0.0620985887887745,0.0210219709276661,0.0258411979384575,0.301920436634497,0.217758680346703,0.298564760912243,0.190013129829867,0.283235165993897,0.280736032278359,0.152942231546952,0.0927885635434326,0.0795372121637068,0.154330698863169,0.269054289700344,0.160334085848352,0.217583096950651,0.173371683206574,0.202322914269574,0.117719673816976
"AMERISTAND_427_TQ",1,114,1,35,1.34,0.72,0.61,2.67,0.153713328044616,0.244918849970928,0.182757964391476,-0.0590210479923484,0.0412215517884332,0.0459811021748095,0.311238506291576,0.235429112336726,0.311466086419519,0.209895962337736,0.310824624303913,0.325093764004586,0.179575414192039,0.0988397415104214,0.100928457492087,0.173956279381547,0.32072624368976,0.190461668064066,0.250480280369219,0.206480054582426,0.204119218727409,0.122945711768291
"VERNAL",1,115,1,34,0.83,0.54,0.49,1.86,-0.0713924201115208,0.0315908676661731,0.152929437765443,-0.0755341578254701,-0.00510314658866228,-0.0150867929227732,0.158950704042221,0.0720781790290716,0.176256954150066,0.129105688701308,0.249542669094181,0.244665052949755,0.133280427437731,0.0808068927942032,0.0535543188057273,0.111099838884365,0.154772419388943,0.0979951368931519,0.16499481413452,0.145616235161165,0.162870410848338,0.0902300079453952
"HI-GEST_360",1,116,1,33,1.36,0.78,0.63,2.77,0.148035548631902,0.242327111952479,0.227824533593072,-0.0652909467650931,0.0322716524675382,0.032404805339703,0.306939571342079,0.221853173417683,0.317030610981433,0.237922227386677,0.346802534974074,0.352008078182536,0.203983124265478,0.105570369595157,0.108063629975901,0.178196107005668,0.309942170532343,0.187291156812519,0.257503998452845,0.226362035993575,0.18322918813836,0.120594443905329
"55V50",1,117,1,32,2,0.86,0.65,3.51,0.208429611029964,0.270524401480656,0.226723550112373,-0.0553261029189615,0.034419431891169,0.0376586810161706,0.318880287779293,0.233175022985381,0.325058098328002,0.227714574053859,0.313954129628435,0.321125748719245,0.176238399612379,0.106894086410359,0.0796731395850892,0.172271335207917,0.307588563137308,0.178253568910188,0.238455467138451,0.221660253909457,0.177970095047639,0.120401185284422
"PLUSS_III",1,118,1,31,1.44,0.62,0.51,2.57,0.197310258859617,0.25967877065149,0.199515386991267,-0.0646295518929484,0.0420539749540505,0.0551377475808287,0.320727644706274,0.198206637172394,0.288871641240855,0.18633583138363,0.277209020738618,0.272463912251919,0.118925833697621,0.0969502770133151,0.0949572875366587,0.164510474976686,0.283956571469123,0.149233192479391,0.187054775280716,0.18350983804832,0.144329349613249,0.0911724096412348
"WL_358LH",1,119,1,30,1.25,0.51,0.48,2.23,0.150434467152141,0.238822532524724,0.191491420477026,-0.0548782600039244,0.0424258807869835,0.0499023248587558,0.29803685136555,0.19083746432852,0.288864366955643,0.181417551078041,0.256987831983535,0.270941467511068,0.118404341896344,0.103505348169184,0.10809994879896,0.160147126283472,0.268254610977526,0.152220956195419,0.168784822919355,0.171207315720267,0.164705481246646,0.078793658393639
"NY1614",1,120,1,29,1.31,0.6,0.61,2.52,0.133113166801602,0.221972910856551,0.166371865311763,-0.0649396027591951,0.0199048380965463,0.0275677827231848,0.259435231670085,0.1628115936219,0.261560839728962,0.174453373983482,0.257352322594052,0.267139524349122,0.121745016760117,0.0925163022547918,0.0692716698255547,0.145899796523394,0.274400774930811,0.162133296942043,0.171793959359095,0.162593537682849,0.191785150815581,0.104224391037393
"LANDER",1,121,1,28,1.05,0.56,0.59,2.21,0.0623079134411389,0.174525689378418,0.167808006843272,-0.0649061140143915,0.0229816251461327,0.0218930266871392,0.255423073281231,0.157930692770404,0.27221704308602,0.175969737714645,0.294098860820543,0.293587805628006,0.137642956782413,0.0976031171362165,0.0988358230289093,0.169638714484159,0.292566530887725,0.159252564795324,0.17781781145665,0.150481987162946,0.169246936696104,0.0892739574145565
"LIGHTNING_BOLT",1,122,1,27,1.65,0.69,0.63,2.97,0.208275373622542,0.260801332874759,0.194018570961538,-0.0607123966288045,0.0333980217001193,0.0425013960780027,0.3125165800565,0.197962292617873,0.295452889241837,0.189278363828602,0.281733397436113,0.279616829233657,0.128166223601466,0.0871352659857357,0.0820131564895689,0.157939478610798,0.300480069678213,0.17812050350994,0.191220391283029,0.180266727799013,0.189026426924972,0.112479859196802
