"Germplasm","Rep","Plot","Row","Range","NDRE_131","NDRE_145","NDRE_154","NDRE_159","NDRE_162","NDRE_164","NDRE_175","NDRE_178","NDRE_181","NDRE_187","NDRE_189","NDRE_192","NDRE_201","NDRE_203","NDRE_210","NDRE_215","NDRE_223","NDRE_236","NDRE_238","NDRE_243","NDRE_259","NDRE_263"
"SW5606",1,2121010,1,51,0.338156525163868,0.415738597325723,0.486004166467885,0.427608551013914,0.409343720617181,0.24287306501548,0.352312589031339,0.282155164483693,0.405410507731353,0.267931991209552,0.390132381303534,0.415075557286008,0.266048033724563,0.315867989611382,0.402260806199089,0.438670707992482,0.356242736857674,0.24298716017004,0.299273555773142,0.38260097764596,0.270025199148259,0.258247099531854
"VERNAL",1,2121020,1,50,0.467528092253487,0.330326092701231,0.436710716727891,0.424014035016072,0.459960808127144,0.259348009757541,0.373507106268632,0.353804813,0.345741638960453,0.245085842043062,0.371061153921451,0.388989715668482,0.275978174300578,0.36012910299152,0.452545682404774,0.446394686907021,0.351530149694286,0.23061194360375,0.267489686783804,0.316002455776831,0.265545697736243,0.2548598955153
"SEEDWAY_9558_SBR",1,2121030,1,49,0.343451510207144,0.347063448020718,0.456431626989806,0.49110678626783,0.462144813801194,0.252222147009936,0.35999272037875,0.289587416826468,0.363314454727328,0.253283888565387,0.376677161,0.387639543914075,0.293539668982617,0.354126457238552,0.447261106593175,0.441229447487368,0.335285798047667,0.24590872445531,0.255949511686877,0.290338820459691,0.269140651,0.243764145502818
"REGEN",1,2121040,1,48,0.380418008988585,0.336999894297342,0.409628516451187,0.508541678695845,0.466560554531332,0.262718954248366,0.341952876235964,0.3075277795468,0.336715650292415,0.258027413361986,0.366896638115227,0.385551173602782,0.343006191086566,0.384497075107462,0.431054850494104,0.446935349731878,0.356256852203247,0.248891054006144,0.251742487007607,0.280732654287896,0.253676737473201,0.242896645339601
"WL_349HQ",1,2121050,1,47,0.343398583631042,0.344412821732467,0.41333063,0.527304905759415,0.427759010943291,0.260176473095312,0.365055497544185,0.313963128857943,0.378567199316011,0.245588412922845,0.398592919665159,0.424305498862297,0.332690439990227,0.359982391757677,0.360209415409594,0.437303063340388,0.359973735,0.240665685333704,0.271555131143366,0.301389925833347,0.216082357836237,0.267650595199234
"GUARDSMAN_II",1,2121060,1,46,0.350819337778153,0.351745547,0.437585993034683,0.554770425049305,0.452964301,0.254242932767288,0.322981738101223,0.261176682870911,0.387667772984335,0.281088217566594,0.4206041891202,0.441463879242313,0.333909477572738,0.352858016542486,0.373084489529898,0.441163497957929,0.351015255,0.238038376197899,0.247241972333107,0.337552445635789,0.204932867365202,0.256363932424181
"WL_349HQ",1,2121070,1,45,0.350247408,0.360834258231594,0.40297425377288,0.54540587295603,0.383666110659435,0.244908402914595,0.372032637841461,0.318308909032156,0.390606695956142,0.280817437152924,0.419800116285666,0.430587739429167,0.319122810729554,0.356376046819812,0.348774539866235,0.446146163383386,0.379240854944128,0.247415316610146,0.23197258416811,0.329862251,0.20213330917048,0.283928760431508
"SW5606",1,2121080,1,44,0.274078801774177,0.431668516463189,0.458657347772848,0.575245819789894,0.36604920600386,0.23877932965796,0.404269707348751,0.319148722883837,0.402429091,0.300588780022215,0.426229647398476,0.439976806351878,0.316713964320922,0.324120239605933,0.334253760763565,0.441666132238825,0.418008763311359,0.247172733417572,0.278774764,0.341182061865842,0.189604348897023,0.290595688885987
"VERNAL",1,2121090,1,43,0.454411355283075,0.295806544916423,0.403222174514575,0.573036979674369,0.427924159,0.254508851,0.335681403971845,0.314956375910162,0.352515628223396,0.23938430807672,0.416509255582657,0.428652214595671,0.367853212750449,0.357427972125589,0.34935089453419,0.450549254310103,0.3822639943074,0.238728638277486,0.316283422459893,0.321259024157608,0.242632022134007,0.34813673804705
"REGEN",1,2121100,1,42,0.420078211454012,0.336606548279689,0.384359365806339,0.5661264,0.398266759162996,0.256529630672046,0.362339269219465,0.274419347914794,0.365104084207698,0.263088158321669,0.42808747461453,0.445158849276873,0.385052358377714,0.318295930011411,0.340717719689372,0.44765466985934,0.414876632226166,0.263270423857313,0.332893098340489,0.324044923133573,0.215911134857364,0.344848589
