"Germplasm","Rep","Plot","Row","Range","NDVI_131","NDVI_145","NDVI_154","NDVI_159","NDVI_162","NDVI_164","NDVI_175","NDVI_178","NDVI_181","NDVI_187","NDVI_189","NDVI_192","NDVI_201","NDVI_203","NDVI_210","NDVI_215","NDVI_223","NDVI_236","NDVI_238","NDVI_243","NDVI_259","NDVI_263"
"SW5606",1,2121010,1,51,0.481938701,0.580185376037207,0.517553710859851,0.402528049896229,0.243889073376414,0.217526847421584,0.5147696445031,0.535259798614502,0.556388621022179,0.521487501494821,0.507716215705183,0.505231654,0.284972761007183,0.371295258876673,0.396215996517582,0.411241582967639,0.511348461798513,0.450301853966655,0.469236649845598,0.519907288405558,0.394131134513668,0.327183798086709
"VERNAL",1,2121020,1,50,0.338628924902499,0.435077559325617,0.482533435109648,0.438198454,0.34757551203549,0.188417057143788,0.430438079942898,0.457483671924201,0.492616593982834,0.468161590037634,0.435328908418895,0.446515196235428,0.259589861057534,0.397776435285665,0.424145492586557,0.399571674547955,0.412709123972169,0.380771229285986,0.418996180290298,0.479975990396158,0.371952447087777,0.341791166293507
"SEEDWAY_9558_SBR",1,2121030,1,49,0.475954487486051,0.550253950636859,0.498270915827807,0.446268350864799,0.365268251223661,0.203737047817465,0.481137401541813,0.511923328214962,0.53055551557545,0.491683267441029,0.464801250779965,0.467496341976526,0.282048859086421,0.401675644862999,0.407190144875154,0.406315945535402,0.449958534060176,0.395667805765548,0.433865833145038,0.4908823803494,0.372803979372005,0.331407776762203
"REGEN",1,2121040,1,48,0.427828819154437,0.521379155435759,0.49553106562982,0.462860464931974,0.384916681616518,0.209103292991838,0.461823623680241,0.499447593304133,0.530072276035445,0.488523441495266,0.435180431864163,0.460627421674339,0.27317310222331,0.394017333064835,0.426807165893464,0.422474654707056,0.453459572000843,0.416630949354061,0.443711932916573,0.481267551483449,0.355814056427553,0.327310613479576
"WL_349HQ",1,2121050,1,47,0.480616169627378,0.5393854711696,0.512147321215591,0.477325395345411,0.340985494191188,0.246751455984516,0.493779505,0.526222807178928,0.55634549,0.518523834222661,0.492309942141177,0.507402290477417,0.295892872646948,0.391003878,0.416659270383269,0.419635759132743,0.515866489832007,0.438881048839407,0.464119556913675,0.487216804530031,0.339043682168908,0.315129703379687
"GUARDSMAN_II",1,2121060,1,46,0.45726854586885,0.521022012578616,0.518203648044782,0.542299430692466,0.403508719157707,0.237512116755513,0.507206955966147,0.546453110295002,0.575254540199113,0.524128361694367,0.513567724582601,0.527882826024613,0.325347356,0.402289197662075,0.417753960409136,0.415082759629941,0.49034464270622,0.428785622169441,0.4586743993372,0.499633716500299,0.332386607738466,0.338798833028021
"WL_349HQ",1,2121070,1,45,0.468108068904689,0.537341049627398,0.496705150835679,0.521941447056333,0.355980385795224,0.253566000562905,0.510583207642031,0.5245362213212,0.558396205949357,0.517748376128777,0.512743798097831,0.518382178613655,0.322393706467737,0.396762594982841,0.422629466357867,0.417768364176272,0.508906282943285,0.401651621008631,0.444272551530215,0.483398143571154,0.307652386107817,0.328909967
"SW5606",1,2121080,1,44,0.532328208662709,0.55157034511918,0.504071688691697,0.521179051908309,0.365103739244059,0.244278852059939,0.518641591251885,0.539672684,0.574768866141571,0.526588178452925,0.525859803803634,0.540014694892583,0.347281805305112,0.391164872351167,0.41034203310954,0.407030178197105,0.52712611984449,0.410747043336416,0.44908696205755,0.466984930958685,0.308076381696014,0.329219440273335
"VERNAL",1,2121090,1,43,0.354550442,0.465208354353748,0.524207337436191,0.566192632142643,0.444237309484822,0.262471576023326,0.456241096866097,0.463035217695884,0.505135124761918,0.476521727634325,0.50530411537807,0.492817400259987,0.378889010037132,0.41330854954859,0.414669206330883,0.421972851071212,0.490083544170356,0.400459547515766,0.457861966809771,0.455871554101092,0.346937123985121,0.398677667515397
"REGEN",1,2121100,1,42,0.439655289391738,0.519630833465462,0.520060271,0.567363369311391,0.434936164372745,0.251545048003252,0.48321813200655,0.522690777261223,0.553451402582075,0.518626029950572,0.525296429169527,0.551302444752856,0.423141144537772,0.415690252264212,0.408438371055524,0.453315593,0.534835747337728,0.448678388212646,0.482577389470513,0.467373653686827,0.340376596818315,0.370576674065853
"GUARDSMAN_II",1,2121110,1,41,0.446608363574985,0.525931108292374,0.478926259879459,0.550950954016945,0.450745774917585,0.249755011414454,0.489116966230937,0.516628101980597,0.519986615,0.507017755767605,0.533243702870298,0.522384801043296,0.406393883795746,0.407585748344176,0.419277673046405,0.458069410559923,0.526481394,0.445074302,0.477181436210848,0.459860822760477,0.349948940349518,0.356495148924622
"SEEDWAY_9558_SBR",1,2121120,1,40,0.407709431463792,0.492329950848264,0.426282620104003,0.540216513881954,0.47389476068151,0.256066246982107,0.46815335910005,0.493911143189382,0.50817981,0.471837454832373,0.494098266114546,0.503497468166299,0.37706391175562,0.40509516136435,0.421002253470995,0.433679136499773,0.493161237613325,0.422208954446177,0.443912153850016,0.416249458687585,0.334131540699567,0.355373227491689
"BORDER",1,2121121,1,39,0.449948425089787,0.545920405898208,0.401201763462355,0.524748296318762,0.481779789802718,0.253478937986678,0.550756053368473,0.566804768340634,0.568105347249797,0.531339154818831,0.525969601120853,0.540485161717083,0.377248415918459,0.423637167350547,0.421193939941568,0.450292778846049,0.543818588,0.459761585301427,0.486508402327853,0.462316361838853,0.344929107541883,0.369877831820853
"BORDER",1,2121122,1,38,0.482275461595446,0.559021986152952,0.433041839606889,0.509109657922008,0.43345738529011,0.263044813459674,0.564069177350427,0.573960699400655,0.589612209,0.51879592254935,0.535382214957437,0.560663007596548,0.37518999789423,0.421066436,0.430221273694663,0.435292486170095,0.524435747417246,0.453840731686489,0.478524147700082,0.468810677212061,0.356904092739531,0.361813671084416
"BORDER",1,2121123,1,37,0.484683492774272,0.553258680830823,0.492623443537999,0.508831725579815,0.444355381501118,0.252912219740217,0.563700613792526,0.553707045190264,0.567182529973085,0.495637767197351,0.505712533,0.498764331,0.371908283419107,0.398372646,0.427229601518027,0.437639799262925,0.50276989836883,0.445045065,0.472146847766666,0.459121292352557,0.374782104699102,0.354173739418076
"SW4412Y",1,2121130,1,36,0.433960789002354,0.537978040272713,0.503501105,0.512364756137058,0.442038599879638,0.233372703048226,0.539604982785405,0.521196779,0.55311437,0.449249577835724,0.456102419314893,0.45976540504106,0.349537889252613,0.398350847883213,0.427960717,0.441904812926992,0.494660157073582,0.421347486362966,0.445329478321535,0.444557293781915,0.367843720496193,0.356858402876722
"AMERISTAND_427_TQ",1,2121140,1,35,0.412417325837387,0.549971064,0.53133804048789,0.504378847214156,0.408325546972281,0.244352753541608,0.552878854533266,0.547173102369782,0.573788362910616,0.474610880853613,0.492202267650715,0.509481031656818,0.33020212676532,0.402902960330363,0.408952816445547,0.433229420800578,0.537948730138607,0.470604446104123,0.500959144477837,0.492669193167463,0.390848006798927,0.341455322613474
"VERNAL",1,2121150,1,34,0.358206037077672,0.385115612282649,0.513200228996708,0.516374852960989,0.420219323859581,0.204332227712719,0.443861812887548,0.425737269525878,0.471263499282757,0.415543613013565,0.454448753947095,0.45408788048154,0.374800660661752,0.401070637460005,0.411430980994548,0.429142534698591,0.428019090179175,0.366298594435929,0.407452225973645,0.411323543115876,0.354766721710063,0.346166704750713
"HI-GEST_360",1,2121160,1,33,0.389954848510423,0.548032873526769,0.539671771384953,0.512919259520175,0.384818076214978,0.221366055692191,0.565418739765714,0.54864693381262,0.581640375749027,0.488739996542161,0.528664293818093,0.526677300577539,0.354530358,0.405709086857125,0.39743814945333,0.442807013515789,0.529752134724858,0.449280138718217,0.510354619566072,0.510275891178389,0.390608877869795,0.339269684011229
"55V50",1,2121170,1,32,0.459932363352214,0.552287537656572,0.515848639536918,0.513741939253065,0.365802883349174,0.21607142633768,0.559908533391989,0.559616051400712,0.58528884027308,0.488440633,0.493188070792444,0.503455403920742,0.348517144898142,0.410579707983105,0.381471422536061,0.431635487517652,0.526418425667681,0.43867624262372,0.482922608679007,0.484983687592684,0.356155669,0.346546865138952
"PLUSS_III",1,2121180,1,31,0.449639678922741,0.555211008931875,0.53682807754083,0.513134050895027,0.388340699826225,0.234503636514061,0.559684122046254,0.541158898300088,0.551022251327739,0.460992657199568,0.449756438255148,0.449020340494477,0.354911046902542,0.41150186681721,0.398437360961802,0.435208272744435,0.507102308665402,0.39941293709482,0.438578175021813,0.447922840369024,0.34769117165364,0.332510753782482
