"Germplasm","Rep","Plot","Row","Range","GNDVI_133","GNDVI_159","GNDVI_164","GNDVI_168","GNDVI_171","GNDVI_175","GNDVI_178","GNDVI_181","GNDVI_187","GNDVI_189","GNDVI_192","GNDVI_194","GNDVI_196","GNDVI_207","GNDVI_223","GNDVI_231","GNDVI_236","GNDVI_238","GNDVI_243","GNDVI_245","GNDVI_252","GNDVI_258","GNDVI_259"
"ALGONQUIN",1,2111010,1,1,0.358506624749331,0.250438225939161,0.343562739337027,0.0173084588079548,0.0925548188345797,0.113975321258853,0.174027793862824,0.240791908509621,0.0896545187196144,0.0515278089887193,0.118063400442581,0.137881399502626,0.142109254820996,0.22593793508972,0.306898730810809,0.296666610957599,0.290839805628573,0.296647883545738,0.277879970665982,0.24593555541024,0.23093786245841,0.206588492669503,0.162473463948589
"NY2003",1,2111020,1,2,0.416885947675742,0.272688016033208,0.339521625711507,0.0215369681527232,0.107311773588516,0.158484134793098,0.206049239090625,0.27660176533958,0.0856932648534783,0.0553140742704047,0.105720339557417,0.143409877266058,0.136303195746094,0.217176990015688,0.312687942063402,0.297990390332904,0.279963361871726,0.30256867059306,0.273751773790886,0.257220596925042,0.238937775220622,0.260817683835264,0.148534497264738
"N-R-GEE",1,2111030,1,3,0.40753152648983,0.263368747032444,0.327350424669408,0.0518812253335839,0.149234349766754,0.229612605459902,0.228380915996139,0.299010309720592,0.0783162666774955,0.0547111075113326,0.0969232248883353,0.137509868951162,0.140810774334835,0.199563676707921,0.297393913854563,0.292630878235341,0.264825171470151,0.287321882095234,0.261648288952548,0.246740356703222,0.225454110737921,0.223144080479611,0.138829250889944
"SW5210",1,2111040,1,4,0.415309863122361,0.276951990663485,0.333802257902972,0.0675416463233585,0.159586443680668,0.254694636985381,0.243541701916543,0.321441286456777,0.0774409627949519,0.0658294641652476,0.116235782926636,0.167760409889271,0.171038329937038,0.247022995107488,0.313813088607498,0.31640865458218,0.286306016789299,0.306101590749759,0.28283265373745,0.265968969172627,0.248451408495043,0.228032497135886,0.140487229814721
"NY2003",1,2111050,1,5,0.390693987465129,0.261227231015933,0.327290535222487,0.050967050475774,0.107868863495433,0.150573225734684,0.171579095851518,0.267893607134952,0.0564826667893187,0.0312311778618332,0.0752704567772453,0.121473897755518,0.132618188320014,0.215442225619431,0.298214603001014,0.300288562149138,0.285199809514366,0.299154344568847,0.267688619171852,0.255892100150738,0.241677921676013,0.206275166424296,0.122243231657502
"LIGHTNING_BOLT",1,2111060,1,6,0.385931932989084,0.258717222233455,0.304310585726898,0.0702427000762206,0.152026756967526,0.23029271158303,0.216544641683204,0.31199145850859,0.0535925097284072,0.0272043006687661,0.0903916565904271,0.136146061732964,0.157621155142381,0.232393154096769,0.301267546389123,0.294378138613306,0.254731062509385,0.2900600492201,0.230942895601476,0.240666944834291,0.228819117677657,0.195317807629008,0.127279244446998
"N-R-GEE",1,2111070,1,7,0.3409107949663,0.256553196323958,0.289519772074432,0.0673876782497916,0.134902423561332,0.192457956922553,0.189064810687818,0.289976956056339,0.0411323624231193,-0.00177456172720635,0.0748047487909529,0.0954481309218173,0.132017677463316,0.209746378197906,0.281277403415712,0.279067280766443,0.26241309529352,0.292155213562903,0.227628398752704,0.243596291317552,0.222689240212065,0.183566915882694,0.0983815077312842
"SW5210",1,2111080,1,8,0.347192444731662,0.275770567973015,0.272387566262511,0.0595331050762779,0.128313690223031,0.191172034341401,0.19931690132818,0.305810741531201,0.0363701057909847,-0.0182945294547268,0.0744808300148906,0.0990957903018137,0.15607340264208,0.233166241348941,0.315197758095957,0.304421778168834,0.27422975883158,0.31287349973185,0.240573534025415,0.25581616343457,0.238674502539756,0.18561075169026,0.117161570353334
"SW3407",1,2111090,1,9,0.395380805961657,0.267732459475539,0.255336987232187,0.0755695740300703,0.154267848451598,0.214261966090172,0.220812696804817,0.33152589219448,0.0307584146106504,-0.0319912789969878,0.0611764687780208,0.097260467531102,0.172082314808137,0.254651545945239,0.32393561955686,0.306525437702974,0.292928290104356,0.324926166013285,0.254299956296455,0.26386622399979,0.238401176191158,0.150216487214655,0.102561294626545
"ALGONQUIN",1,2111100,1,10,0.35394084912351,0.22430580602693,0.23372818624659,0.0421863964820409,0.0857947130902044,0.0885994131430496,0.122248293203118,0.240347169829032,0.00694957191394296,-0.0434779881728432,0.0296050280565571,0.0510114275678404,0.117565208037496,0.214337470177647,0.292614229878062,0.273990377897111,0.274123605734513,0.28987744985304,0.232996262150754,0.236665136566463,0.211966578521371,0.156097494116025,0.0867822091146623
