"Germplasm","Rep","Plot","Row","Range","NDRE_133","NDRE_159","NDRE_164","NDRE_168","NDRE_171","NDRE_175","NDRE_178","NDRE_181","NDRE_187","NDRE_189","NDRE_192","NDRE_194","NDRE_196","NDRE_207","NDRE_223","NDRE_231","NDRE_236","NDRE_238","NDRE_243","NDRE_245","NDRE_252","NDRE_258","NDRE_259"
"ALGONQUIN",1,2111010,1,1,0.510757461383327,0.295460709117043,0.390342987347844,0.387856033295231,0.352527282054471,0.378001817701713,0.279879450179721,0.327444848267301,0.399674723612849,0.404950497880523,0.331059975194897,0.294103083135984,0.3190424972696,0.221525785556579,0.417354288871317,0.34723566773216,0.241175840673589,0.30823271302338,0.230945862337402,0.251550173419244,0.250075487535985,0.217774625391421,0.315187552591887
"NY2003",1,2111020,1,2,0.565870234961124,0.317428209755576,0.406694784702592,0.381814238400891,0.321780632084057,0.336526746620978,0.2692126140059,0.403272450532725,0.414740691489362,0.401368948053155,0.340642257976728,0.285736289359443,0.32269699679094,0.206304338290126,0.405196294360381,0.335664549517761,0.218204150606111,0.327893220912339,0.183809870464193,0.305739576091271,0.269944019814739,0.269378349410504,0.26783819410117
"N-R-GEE",1,2111030,1,3,0.500896705486766,0.292596160115342,0.432957092026672,0.367624051115214,0.262418775649795,0.294245070405237,0.269435941648409,0.386984789339077,0.427653447017105,0.409281379339924,0.36547055870541,0.259657786764318,0.316124107136007,0.201954643154801,0.393218664221361,0.329950323107366,0.212136928173505,0.306624914642474,0.196213811194976,0.27565371061576,0.239960512393079,0.195698292220114,0.237971144340089
"SW5210",1,2111040,1,4,0.476818479418838,0.31333207854947,0.420569197097799,0.322115243705853,0.256500117736156,0.317568762550432,0.267736681317996,0.438700222748992,0.418609850855236,0.38304641761918,0.322887544711927,0.255357244412428,0.302898051464209,0.254794929157345,0.412784337552139,0.356368466935116,0.242350421517884,0.341078893510266,0.241277075802072,0.280443418062014,0.2355761494629,0.210186621272303,0.247360862897195
"NY2003",1,2111050,1,5,0.416223696910291,0.327864074922898,0.441529051987768,0.331209443418623,0.332656593292708,0.346476636333837,0.326141698888376,0.396166621899902,0.451759099916562,0.430740208587992,0.362323115993385,0.296227672123816,0.308503144748986,0.185904139433551,0.393596885856948,0.333625582907828,0.238154770028661,0.349047895593433,0.20219974995648,0.299924063918371,0.254948069067844,0.183023558834037,0.24268584583631
"LIGHTNING_BOLT",1,2111060,1,6,0.35963206986733,0.333186638165891,0.433009975920193,0.316802368181951,0.273684666377099,0.323099427354334,0.27606950096464,0.435732938484318,0.468337896328744,0.44823305803364,0.339591574686772,0.2891491802758,0.304022970868274,0.235934406573964,0.427205268072141,0.355070087315095,0.222460058097313,0.323148700360376,0.20511617076209,0.291281268990835,0.246175436107515,0.195040455624908,0.257038417176826
"N-R-GEE",1,2111070,1,7,0.325391278443594,0.345733584403661,0.43328790387248,0.320727747003136,0.295276551423952,0.316217214458187,0.293843052886073,0.406740102600918,0.47110346266166,0.46841557476071,0.353428271911174,0.385771043834872,0.295397616612762,0.204729131026012,0.384420051912312,0.317391982595791,0.240642814110809,0.306134035703834,0.18973125871255,0.28559438663803,0.224108366288933,0.208977302184755,0.22194618656286
"SW5210",1,2111080,1,8,0.353634103607851,0.372886212016647,0.41127840738742,0.33382689996776,0.297454522420783,0.326747677330095,0.280607033723803,0.430601814546214,0.479118690029203,0.478106981764634,0.34227707185934,0.412041885222344,0.261829010625593,0.225880159670132,0.407768232226437,0.372372313780841,0.224371537656648,0.339441745520762,0.221231779773801,0.284739975394624,0.228687746428086,0.203913792741105,0.252354715641913
"SW3407",1,2111090,1,9,0.382773929228088,0.352772641775199,0.415363374707681,0.307236730267593,0.285291397214277,0.324118190965707,0.282895665237281,0.457674877731413,0.4742366760534,0.485772842904934,0.372004488542405,0.421626130310326,0.249742908615815,0.251747198879552,0.412457895644753,0.366282812348652,0.246225096499424,0.362278610875923,0.233132329230647,0.30220670965135,0.227154350434777,0.228843284366265,0.230044867825673
"ALGONQUIN",1,2111100,1,10,0.319632872824723,0.300787684419398,0.399585408534123,0.376241390427621,0.336900311284851,0.399430740037951,0.299664603552415,0.351820813561345,0.501254954109303,0.493241834830907,0.404009676871285,0.48225199790038,0.28646744407458,0.189481792717087,0.386318291271852,0.302601740766878,0.268557203508184,0.314133474136094,0.21524044646107,0.272673927255912,0.231993391333688,0.2687239140029,0.202462958033892
