"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","NDRE_133","NDRE_159","NDRE_164","NDRE_168","NDRE_171","NDRE_175","NDRE_178","NDRE_181","NDRE_187","NDRE_189","NDRE_192","NDRE_194","NDRE_196","NDRE_207","NDRE_223","NDRE_231","NDRE_236","NDRE_238","NDRE_243","NDRE_245","NDRE_252","NDRE_258","NDRE_259"
"ALGONQUIN",1,113,1,16,2.14,1.94,1.43,5.51,0.366803859464892,0.34139145913615,0.431820471307789,0.39697910255283,0.368703104920615,0.47830656318724,0.283166427673348,0.354845703882771,0.330337792031706,0.366666666666667,0.295602887894288,0.327327602004385,0.34368295209807,0.241488792384963,0.292764740133161,0.327097845489643,0.25513866871039,0.321216742589292,0.223548251692391,0.329665005103125,0.298977460142936,0.227789967005023,0.301279896574014
"SW315_LH",1,114,1,17,2.18,1.77,1.31,5.26,0.407176055308709,0.326388104648974,0.431509742321472,0.38380931445822,0.393112047034003,0.505906148867314,0.289276721849154,0.340825946817083,0.31853945035461,0.376629852816081,0.25997127632847,0.347745548401524,0.312869261438761,0.248930414820664,0.295686185159869,0.337000982467793,0.235473335787243,0.341375605631971,0.194469350828844,0.362540400775695,0.335254393587402,0.256881869575268,0.307935500515996
"NY0465",1,115,1,18,2.34,1.97,1.59,5.9,0.363586007714664,0.300631082472515,0.412000659591054,0.392859110759401,0.352082944700079,0.431581646125409,0.275096398936683,0.347326692690806,0.317866604088444,0.369913925285754,0.270248709387136,0.321300124490553,0.318081570492524,0.282289043880043,0.308432251156709,0.356542128495717,0.271482738394503,0.33329122760363,0.23738188307338,0.312686542042497,0.309531409790326,0.263515961582918,0.299127976982648
"HI-GEST_360",1,116,1,19,2.06,1.97,1.38,5.42,0.394982645456045,0.290789392583388,0.437445583738082,0.371581816583135,0.277237209716733,0.312305410733037,0.309870247752077,0.426249561816833,0.317368064246975,0.42592781625957,0.283467089647104,0.376200293201393,0.347669973767748,0.256518401544063,0.38396317591364,0.379423803395741,0.28202720531368,0.367627211772918,0.197995883852599,0.352630634773007,0.312580113142634,0.231468801883025,0.276382625448369
"N-R-GEE",1,117,1,20,1.98,1.86,1.38,5.22,0.338784369740624,0.318159067417379,0.405165197577502,0.372337114217884,0.263359268125855,0.298160498148523,0.285383350478506,0.387031154185549,0.311035669586984,0.39216571996097,0.288178015771526,0.335563558545547,0.329013687723918,0.261116813615827,0.361358415877541,0.356822832343947,0.258543007422494,0.364145286638702,0.192885158432229,0.343710337733108,0.291819326464381,0.240770211839363,0.280312432665374
"PLUSS_III",1,118,1,21,1.84,1.91,1.13,4.88,0.370787906556353,0.331223820226378,0.385620660952921,0.324303760368123,0.263277914231232,0.322234759860725,0.328348058330499,0.450467387565247,0.339863631622862,0.432255652534437,0.301700921332388,0.366176312613347,0.339962534710211,0.195105350119168,0.392122314103738,0.380172416178892,0.243462742616557,0.386294930575879,0.148293731174501,0.39449037679588,0.317476339948099,0.195999411554547,0.285693240454076
"SEEDWAY_9558_SBR",1,119,1,22,2.22,1.68,1.26,5.16,0.328347560693178,0.328251458686241,0.420772920789111,0.349028840235646,0.314795725779763,0.33672734771642,0.292635481469297,0.355482884173456,0.306603306216103,0.386565017549127,0.286878938370839,0.32210517978774,0.315347143542477,0.213684695354652,0.310106668930198,0.323052845697206,0.268490168147031,0.365532353951453,0.191233839958255,0.33313720174977,0.284659419390307,0.230080490931635,0.300412563215331
"NY1517",1,120,1,23,2.19,1.67,1.37,5.23,0.358340437624325,0.294986892429348,0.424190052167656,0.335778012251238,0.323467359988393,0.364033050627048,0.301368721701933,0.345046738756525,0.301240743637881,0.378771431558405,0.255104831089062,0.330451225964686,0.295935465375069,0.274663332894679,0.296620785475275,0.342079510703364,0.252715037112471,0.361916161483828,0.211780983579873,0.312708607016007,0.273102204537059,0.285695731668873,0.2543037124352
"SW5606",1,121,1,24,1.88,1.86,1.25,4.98,0.398084532925729,0.30447987317648,0.472637860636245,0.269708813271198,0.292475128236949,0.333737309381016,0.316141734359469,0.433698269544278,0.3171721161869,0.45308314211576,0.288028555490903,0.383213114443328,0.348609906986141,0.279020338933485,0.382696193841705,0.403706117591709,0.283917089234409,0.399483237407733,0.198051348599704,0.310538259969,0.293170062719088,0.241106472696606,0.248493098596905
"EZRA",1,122,1,25,2.14,2.03,1.44,5.6,0.364172841453507,0.301799138627783,0.403871049949032,0.291268354875583,0.283426216681176,0.321753763902547,0.28312226586448,0.36428283642224,0.339562082811848,0.395682615463247,0.281806195369714,0.334865334067727,0.335080444072764,0.239390270649647,0.302634482820241,0.350912726417314,0.280360871101966,0.324995024875622,0.200371523373945,0.32794847467523,0.308518919174543,0.239297438160688,0.298202937207272
