"Germplasm","Rep","Plot","Row","Range","NDVI_133","NDVI_159","NDVI_164","NDVI_168","NDVI_171","NDVI_175","NDVI_178","NDVI_181","NDVI_187","NDVI_189","NDVI_192","NDVI_194","NDVI_196","NDVI_207","NDVI_223","NDVI_231","NDVI_236","NDVI_238","NDVI_243","NDVI_245","NDVI_252","NDVI_258","NDVI_259"
"ALGONQUIN",1,2111010,1,1,0.536721735875605,0.52306380869964,0.471553336931103,0.322415662827164,0.306683455623264,0.345670369619818,0.394186153286152,0.496344655329714,0.302443027743012,0.280597027728335,0.351730155917789,0.391612574862824,0.417374529197416,0.452936936146569,0.511622788402974,0.491107697842722,0.47356815151547,0.490419903626112,0.455437617608249,0.495805096232041,0.447388793322575,0.390724418384717,0.376146828609986
"NY2003",1,2111020,1,2,0.593210551155277,0.517229412625832,0.455591600484587,0.327179284269762,0.282327086952925,0.367813476784387,0.413661180844666,0.527220282329066,0.281854792448894,0.279615625871202,0.353550867475278,0.391258775505046,0.397611698042114,0.416319106315158,0.487405679975339,0.450858759876569,0.423175660577621,0.460075099414496,0.404822117170785,0.48326660646598,0.425485821702814,0.392639177857638,0.331832008821628
"N-R-GEE",1,2111030,1,3,0.586332595989299,0.51619839855134,0.457332132044234,0.293513291714294,0.301157220287692,0.464309641802227,0.475642719101894,0.553927850316328,0.274282827492699,0.289865397124945,0.354902994330262,0.402732456835102,0.419721521059187,0.417932768931585,0.499185150213813,0.476712884165663,0.432464125353439,0.480277826553507,0.417806969531107,0.485126954007409,0.413305077231375,0.370852835757959,0.302279900930961
"SW5210",1,2111040,1,4,0.592938146975575,0.527298684076178,0.476055495592733,0.308853717869809,0.305756597997849,0.474323735131384,0.485166957615054,0.565325533696394,0.271217537546934,0.30766642853824,0.369751658043786,0.429606705718059,0.458217099958151,0.451416853094705,0.512685159124788,0.485441902943252,0.45117902524208,0.486983561101208,0.433836359402518,0.479634359947453,0.411465919701214,0.3669360906206,0.304471652914559
"NY2003",1,2111050,1,5,0.567678167481,0.515469270712237,0.487993793847814,0.329032796975292,0.283789977407453,0.34172557022181,0.388829851539012,0.518584773330946,0.246253128911139,0.29911389419056,0.354091070163005,0.383552147296428,0.389990745560761,0.40439092863096,0.489286049347969,0.462539333305658,0.43472719446515,0.472639683802916,0.404918879039375,0.480450021199547,0.402136823375717,0.346334615303785,0.302790569183139
"LIGHTNING_BOLT",1,2111060,1,6,0.57293456461831,0.51369627443584,0.489244851258581,0.32557182215188,0.338689682096467,0.457528497624621,0.472489006225249,0.571266209000763,0.258240900083438,0.325130244633398,0.384453555979558,0.437095396018626,0.448014408580701,0.448554195727508,0.516951320666491,0.48067056886269,0.427992151276465,0.481437695578181,0.397206566242316,0.486146413024413,0.406364361843622,0.371011075384066,0.327614611455442
"N-R-GEE",1,2111070,1,7,0.544729230479362,0.517589724853152,0.472733786408359,0.3133295231396,0.3453103625171,0.435173925154396,0.444986909648894,0.551553371920851,0.267137437421777,0.318390627122158,0.363010866997401,0.379388068472636,0.40014907984467,0.418819289087745,0.49679993209405,0.466424519922648,0.437020126197143,0.473930478327318,0.381810075053873,0.47288039285193,0.369881123386949,0.375550854926846,0.297913062283737
"SW5210",1,2111080,1,8,0.54681975551202,0.512883677845315,0.458522516040055,0.307286116240218,0.333238706875155,0.407937475280513,0.442092004207895,0.547972065538544,0.265810127242386,0.325060582016255,0.356963032126431,0.392265317489644,0.425369114329751,0.431874661870714,0.504244866473969,0.483143481810508,0.422150878555956,0.484097421389783,0.378425507790354,0.467189183365654,0.372631068707254,0.369803501250447,0.313367428419332
"SW3407",1,2111090,1,9,0.57149965466559,0.514086794137945,0.452830395155004,0.279715994020927,0.336990631347676,0.443551379559375,0.460970732736063,0.571609757556722,0.255461775135586,0.337902930722052,0.359954671627687,0.409125735373105,0.442976748221412,0.456806868580766,0.507989764820884,0.489792436381751,0.43865198265635,0.502183957716983,0.391615650785201,0.477596410744081,0.374431656292303,0.30978563772776,0.276369802333889
"ALGONQUIN",1,2111100,1,10,0.551006801927349,0.505715663516175,0.470599751723725,0.276414754242504,0.313362884710846,0.340631006552323,0.374662076683374,0.506055152654669,0.247616421568627,0.313346486243057,0.346203451858468,0.364650596497113,0.396633038639152,0.41813010620915,0.497746445734062,0.48132605476912,0.462793279705044,0.507638946784761,0.42355428046925,0.484788551726826,0.403631043279202,0.364804236807263,0.297289884279504
"LIGHTNING_BOLT",1,2111110,1,11,0.575419528725747,0.486600690823293,0.455234154824009,0.28374263606788,0.330850055049608,0.430915053149352,0.456899113646518,0.564373394276835,0.227334949937422,0.320908111467336,0.353173724309001,0.393450045180818,0.425602346612773,0.429608134920635,0.506177207725195,0.496832164058284,0.421505845957873,0.484187558937339,0.387001203494581,0.4593319710018,0.390051605809644,0.383376765760067,0.317036262468788
"SW3407",1,2111120,1,12,0.600932258238161,0.486368003503553,0.471890292425476,0.260331193763006,0.322493315508021,0.454802478460849,0.482132791263608,0.585337341649093,0.22802917709637,0.318939475170309,0.314558616320925,0.424551734205483,0.423137076277674,0.378816526610644,0.496073517126149,0.487522243901089,0.42819997435802,0.507518876207199,0.394767473844528,0.463415471002755,0.385630885456383,0.34549418910115,0.280092478167738
"BORDER",1,2111121,1,13,0.595047026024864,0.477015927143804,0.448025754924395,0.259743398106627,0.327672163274593,0.451728940536265,0.462414568801893,0.572581400901304,0.514546438256154,0.511200748071741,0.494476430465091,0.590657243498719,0.530361187824852,0.393826380664122,0.478863379482575,0.50138140506732,0.459890044898916,0.533092822276669,0.431329744703908,0.495795886592851,0.398030939840513,0.458410987117248,0.318982487893943
"BORDER",1,2111122,1,14,0.582169168503767,0.48040510055399,0.460304311326977,0.270358011665055,0.337016281142478,0.423440767877671,0.459181056607812,0.570609723341391,0.580306633291615,0.562446870107868,0.544872773988823,0.617322420428049,0.544640258607682,0.40205772689389,0.481700537737689,0.498622884580791,0.462288559298363,0.53245237196697,0.431452128874149,0.498881323560417,0.398374269213263,0.373238551583549,0.362449142552949
"BORDER",1,2111123,1,15,0.577778528892244,0.484851437281105,0.452426695448822,0.285466309094639,0.349463524861421,0.434308416090712,0.45958930836016,0.566895948310674,0.596392886942011,0.57362712930597,0.563719377978768,0.61733972537217,0.543572817096571,0.389627582576655,0.487132636663247,0.500576196604259,0.470146875098424,0.53352492439762,0.436276426279324,0.501072836082324,0.414211282342301,0.322445709466582,0.412480575940784
"ALGONQUIN",1,2111130,1,16,0.544405112078424,0.499030702435633,0.48827232116088,0.277710952841525,0.344494232682502,0.352487030445174,0.394262731589721,0.521212284000358,0.572998930955361,0.551625807313447,0.54924546509425,0.605564349491005,0.527825453450511,0.412760889590736,0.453387628310229,0.478999404984294,0.463744282649701,0.534294843863471,0.428827500868521,0.517933565325224,0.43414981776719,0.427224008574491,0.362478547980278
"SW315_LH",1,2111140,1,17,0.533142380028442,0.491529593831384,0.459460063744693,0.26540637181629,0.325275218209647,0.326467364271108,0.344509434807942,0.492270421106038,0.553515722778473,0.540649210468001,0.516350518788506,0.592237306771275,0.504192017226872,0.410344489772046,0.436059250919932,0.484053855840148,0.445136777905988,0.534620882515527,0.384829185911653,0.515199380000139,0.434301843740209,0.426067923418027,0.361155572755418
"NY0465",1,2111150,1,18,0.553642760492238,0.488962945740439,0.481693799844097,0.29596266010141,0.323090774364714,0.366311262995646,0.400690479352012,0.526992417104141,0.548412468710889,0.537576375336865,0.49881447144075,0.584457505494395,0.497745466643227,0.44450541737948,0.461258910794514,0.499625693608424,0.466702139545277,0.533166605072372,0.396229000074606,0.510537067451902,0.420549989064061,0.43051636088519,0.359844987768863
"HI-GEST_360",1,2111160,1,19,0.572800445641353,0.487736407275094,0.474845745637705,0.299040124270934,0.349123088378487,0.445595911399323,0.457708271813156,0.571805739554548,0.562100803087192,0.555355736169787,0.522755222570956,0.598699076794753,0.520033351706117,0.43824991592461,0.486505777217852,0.506221235141904,0.48477825254678,0.537510013146634,0.376159654068784,0.519900445521964,0.418289500907387,0.412756026311918,0.350286069178803
"N-R-GEE",1,2111170,1,20,0.559631929644991,0.477242598265616,0.469965371469689,0.273225475541487,0.33272447456784,0.440904429419748,0.448844389372071,0.558613242398409,0.540506883604506,0.537239365532943,0.506136035332007,0.577547885937204,0.492428499249778,0.42055957655247,0.468965345051433,0.485723460829286,0.465937365486977,0.522212467076383,0.355312688345739,0.511055737431449,0.406576814626966,0.406293174064972,0.342215039862099
