,AMERISTAND 803T,MESQUITE,NM1701PAR,NM1702PAR,NM1703PAR,NM1704PAR,NM1705PAR,NM170506PAR,NM1712PAR,NM1713PAR,NM1715PAR,NUMEX BILL MELTON CA 2019,SW 1011,SW 8421S,SW 8888,SW 9720,SW 9812,SW 9813,DONA ANA,N-R-GEE,SW3407,NY2003,ALGONQUIN,LIGHTNING_BOLT,SW5210,GUARDSMAN_II,REGEN,SEEDWAY_9558_SBR,WL_349HQ,SW5606,SW4107,SW315_LH,NY0651,SW4602Z,ONEIDA_VR,SEEDWAY_9558,SW4412Y,ONEIDA_ULTRA,EZRA,NY1517,LANDER,NY1614,PLUSS_III,NY0465,ALFABAR,NY1615
AMERISTAND 803T,0.855188898,0.166569947,0.083850026,0.084193085,0.090887633,0.033792534,0.11510486,0.139314037,-0.04711982,-0.050420318,-0.030883564,0.130539066,0.177152959,0.150690287,0.11683543,0.176757959,0.196270129,0.215407915,0.068514063,-0.003736872,-0.110578014,-0.17268478,-0.147396642,-0.084869324,-0.093328244,-0.123774656,-0.139785049,-0.107206882,-0.069709187,-0.049386989,-0.054899043,-0.213532626,-0.116495639,-0.11845997,-0.122021595,-0.084251847,-0.053044597,-0.071653821,-0.086194155,-0.113713765,-0.011009788,-0.09342054,-0.089354265,-0.110360116,-0.081805078,-0.149971642
MESQUITE,0.166569947,0.725098329,0.153104836,0.170457461,0.163253813,0.135679329,0.178925815,0.202967129,0.043967841,0.028321605,-0.048431278,0.087304894,0.204405529,0.234530814,0.135586191,0.095691536,0.111996926,0.138268713,0.111394399,0.01413764,-0.081496012,-0.116350349,-0.148801207,-0.029473842,-0.05236163,-0.100124854,-0.095123722,-0.204238603,-0.079436469,-0.106684829,-0.101841255,-0.167097453,-0.134201181,-0.20863649,-0.113427628,-0.076015156,-0.123588307,-0.049543178,-0.172276402,-0.206129174,-0.112137915,-0.135998037,-0.077278784,-0.167755569,-0.073227209,-0.119986216
NM1701PAR,0.083850026,0.153104836,0.870387321,0.189289587,0.178138127,0.253892259,0.167303482,0.163938534,0.111657606,0.055796945,-0.043570249,0.251115494,0.115807844,0.172550728,0.077646165,0.011294235,0.015512858,0.055657856,0.086093399,-0.004968791,-0.096875908,-0.118933308,-0.143801493,-0.045257787,-0.036759267,-0.114153297,-0.095611392,-0.154195134,-0.078311115,-0.112390126,-0.104795061,-0.15441436,-0.146381481,-0.198852936,-0.091148628,-0.066490383,-0.119391228,-0.057184674,-0.148095917,-0.191195384,-0.10832172,-0.137575151,-0.080127801,-0.170281294,-0.083276265,-0.110677153
NM1702PAR,0.084193085,0.170457461,0.189289587,0.871052325,0.363345626,0.283682072,0.299309715,0.231985676,0.126744919,0.056623429,-0.031281264,0.11855629,0.130358033,0.171782922,0.080469625,0.025240486,0.03176896,0.069659743,0.056926064,-0.007056216,-0.096457301,-0.108112806,-0.135598982,-0.057803552,-0.046359219,-0.121645896,-0.119915825,-0.200517658,-0.10585756,-0.127661761,-0.132639502,-0.147301016,-0.156718369,-0.180314741,-0.127527444,-0.08624296,-0.119168198,-0.07500588,-0.193426997,-0.217356479,-0.126668619,-0.14232737,-0.095658685,-0.185131289,-0.098908496,-0.118781937
NM1703PAR,0.090887633,0.163253813,0.178138127,0.363345626,0.983525037,0.347573901,0.33593773,0.247993054,0.178167467,0.084043271,-0.012823486,0.13178129,0.135936998,0.166300332,0.077155875,0.035883761,0.04361291,0.061957214,0.059264487,-0.015328208,-0.100231048,-0.112819062,-0.148798649,-0.06109946,-0.073191735,-0.128504608,-0.117565254,-0.215186021,-0.112308548,-0.1369474,-0.128632073,-0.188812662,-0.181718322,-0.194493768,-0.143259945,-0.102972356,-0.124645627,-0.096327959,-0.199986792,-0.24167896,-0.137056421,-0.158546262,-0.091695798,-0.21510296,-0.100176035,-0.14484911
NM1704PAR,0.033792534,0.135679329,0.253892259,0.283682072,0.347573901,0.922291923,0.26860005,0.202482154,0.244165676,0.123728518,0.01684265,0.199471727,0.098077057,0.143187028,0.022067927,-0.027926778,-0.028138677,0.000314329,0.06027929,-0.007736041,-0.062245008,-0.065263291,-0.136813909,-0.04747069,-0.040944288,-0.114414057,-0.113717548,-0.220476307,-0.088546397,-0.129428667,-0.126329452,-0.147181821,-0.180964055,-0.188142432,-0.116080022,-0.085470416,-0.141530957,-0.07054674,-0.211826809,-0.238256019,-0.134459627,-0.154613716,-0.063854428,-0.201333414,-0.079735165,-0.132681694
NM1705PAR,0.11510486,0.178925815,0.167303482,0.299309715,0.33593773,0.26860005,0.961489808,0.36354524,0.105832516,0.057622815,-0.037698739,0.102222137,0.157076569,0.187082664,0.112745739,0.060033848,0.08118241,0.092857811,0.083648639,-0.000264377,-0.090122377,-0.136411547,-0.168810517,-0.08213799,-0.059865859,-0.135425029,-0.124306215,-0.191236931,-0.126013276,-0.133295619,-0.135622446,-0.191200143,-0.180912031,-0.217919759,-0.13669349,-0.123022375,-0.135355112,-0.087866192,-0.201104981,-0.20055791,-0.126266715,-0.162011773,-0.104829381,-0.209876323,-0.104748095,-0.126946644
NM170506PAR,0.139314037,0.202967129,0.163938534,0.231985676,0.247993054,0.202482154,0.36354524,0.88495476,0.079949795,0.030822194,-0.039670068,0.093881718,0.168799733,0.191734029,0.110234005,0.075157087,0.084850363,0.110429092,0.094981922,0.001432475,-0.085578073,-0.133963074,-0.154550075,-0.050019885,-0.051763383,-0.122175789,-0.124290072,-0.208775616,-0.118271427,-0.102775833,-0.110290159,-0.186281049,-0.16516296,-0.212496732,-0.132948863,-0.092770592,-0.134178317,-0.080657801,-0.191646219,-0.210851348,-0.10096323,-0.140345155,-0.095038233,-0.195255107,-0.096224879,-0.142509059
NM1712PAR,-0.04711982,0.043967841,0.111657606,0.126744919,0.178167467,0.244165676,0.105832516,0.079949795,0.958853715,0.25363197,0.115298637,0.059687048,-0.001685457,0.04158688,-0.043018968,-0.094309679,-0.078675844,-0.070109586,0.002019818,-0.016757269,-0.037761714,-0.04442135,-0.086349055,0.022786912,-0.020454705,-0.051726911,-0.067482498,-0.176603872,-0.007632946,-0.081555169,-0.074159814,-0.099634598,-0.131021726,-0.138488544,-0.068471133,-0.027132846,-0.105848677,-0.051715687,-0.160856215,-0.173901559,-0.093565634,-0.095793842,0.020491093,-0.140048487,-0.009247707,-0.069290578
NM1713PAR,-0.050420318,0.028321605,0.055796945,0.056623429,0.084043271,0.123728518,0.057622815,0.030822194,0.25363197,0.764867862,0.153064195,-0.028248108,-0.028977073,0.019002525,-0.022216926,-0.10281218,-0.11573452,-0.104184214,-0.002973143,-0.003038611,-0.002381035,-0.006991711,-0.06484996,0.079286067,0.017477372,0.004327887,-0.042987074,-0.156100672,0.037873067,-0.061794887,-0.037145354,-0.057009604,-0.119157231,-0.099181938,-0.030840973,0.005289315,-0.066557709,-0.016204313,-0.138991425,-0.168036456,-0.080396598,-0.084792992,0.074486002,-0.135592626,0.02556928,-0.044216667
