,N-R-GEE,SW3407,NY2003,ALGONQUIN,LIGHTNING_BOLT,SW5210,GUARDSMAN_II,REGEN,SEEDWAY_9558_SBR,WL_349HQ,SW5606,SW4107,SW315_LH,NY0651,SW4602Z,ONEIDA_VR,SEEDWAY_9558,SW4412Y,ONEIDA_ULTRA,EZRA,NY1517,LANDER,NY1614,PLUSS_III,NY0465,ALFABAR,NY1615,AMERISTAND_427_TQ,VERNAL,HI-GEST_360,55V50,WL_358LH,FSG_415BR,REBOUND_6XT,FSG_421LH,PERSIST_III
N-R-GEE,0.667102973,0.115354813,-0.013008049,-0.049953259,0.002743818,0.066448226,-0.017314916,-0.027350513,-0.064779914,-0.034068642,0.079558937,-0.005596952,-0.067576871,-0.001431003,-0.087801805,-0.004579167,-0.009667505,-0.001068917,-0.0026352,-0.060549809,-0.107833944,-0.052612547,-0.06046378,-0.02154569,-0.051379324,-0.015384071,-0.016618833,0,0,0,0,0,0,0,0,0
SW3407,0.115354813,0.806788067,0.204968802,0.079952159,0.044162714,0.157267572,0.038213656,-0.018883909,-0.078058655,0.029047852,0.168724111,0.053760353,0.075424774,-0.014228012,0.032024104,0.000153128,0.024634876,0.057688327,0.011697684,-0.067573392,-0.052324665,-0.062662188,-0.006238884,0.049584331,-0.046513797,0.023452767,-0.002408821,0,0,0,0,0,0,0,0,0
NY2003,-0.013008049,0.204968802,1.005163531,0.35042842,0.051374535,0.054979922,0.075884981,0.058881951,-0.069874714,0.029289852,-0.001323726,-0.041328345,0.356337925,-0.002426944,0.123359345,0.029813769,0.049174367,-0.023630528,0.053300208,-0.040891769,0.052341474,-0.06233493,0.037279135,0.034441828,0.00498611,0.018895855,0.046857829,0,0,0,0,0,0,0,0,0
ALGONQUIN,-0.049953259,0.079952159,0.35042842,0.970183972,-0.012180613,-0.012898335,0.083277175,0.118001507,0.074848947,-0.012855263,-0.043071198,-0.059695583,0.270288853,0.129023516,0.085594584,0.075556791,0.016357961,-0.044100325,0.041491326,0.118143908,0.124423047,-0.018042627,0.050941958,-0.018617365,0.09828523,-0.008365981,0.132034116,0,0,0,0,0,0,0,0,0
LIGHTNING_BOLT,0.002743818,0.044162714,0.051374535,-0.012180613,0.693762296,0.038495117,0.084563086,0.011584401,-0.094932714,0.137214347,0.013271207,0.051677513,0.041123387,-0.045259953,-0.012406938,0.031951325,0.092550082,-0.003380294,0.035248897,-0.074067468,-0.100239435,-0.060418557,-0.020393984,0.193670316,-0.062208139,0.09966414,-0.006677107,0,0,0,0,0,0,0,0,0
SW5210,0.066448226,0.157267572,0.054979922,-0.012898335,0.038495117,0.938979107,0.008977545,-0.001898211,-0.107196818,0.009433831,0.199398187,0.092307375,-0.011895936,-0.046986666,-0.029704626,-0.007439983,0.02608732,0.111193037,0.017503492,-0.078833332,-0.103680485,-0.064210232,-0.028800218,0.036158742,-0.054336591,0.00761494,-0.022496597,0,0,0,0,0,0,0,0,0
GUARDSMAN_II,-0.017314916,0.038213656,0.075884981,0.083277175,0.084563086,0.008977545,0.73524959,0.069071263,0.023393503,0.084963329,-0.005849382,0.027941323,0.12304643,0.077839027,0.077544716,0.069104758,0.080307376,-0.006813289,0.0554896,0.03696184,0.013203668,-0.011160376,0.047501455,0.08679359,0.029187059,0.070331405,0.092113852,0,0,0,0,0,0,0,0,0
REGEN,-0.027350513,-0.018883909,0.058881951,0.118001507,0.011584401,-0.001898211,0.069071263,0.903965921,0.109936986,-0.022364928,-0.061138476,-0.047531798,0.135527066,0.238529467,-0.07534032,0.122971784,0.046086065,-0.070628424,0.065192033,0.164575054,0.026286626,-0.021172765,0.035567938,-0.014822191,0.280629593,0.010840157,0.170567508,0,0,0,0,0,0,0,0,0
SEEDWAY_9558_SBR,-0.064779914,-0.078058655,-0.069874714,0.074848947,-0.094932714,-0.107196818,0.023393503,0.109936986,1.410313643,-0.05256808,-0.054503387,-0.039331606,0.02211592,0.207029416,0.026306862,0.137913896,-0.020517526,0.005742093,-0.000209761,0.250668795,0.362364372,0.064315953,0.070830446,-0.064914468,0.183905429,-0.046984131,0.385208862,0,0,0,0,0,0,0,0,0
WL_349HQ,-0.034068642,0.029047852,0.029289852,-0.012855263,0.137214347,0.009433831,0.084963329,-0.022364928,-0.05256808,0.836139313,0.019161567,0.091484467,0.047434092,-0.065264527,0.082691903,0.017692578,0.079303538,0.044957576,0.016991612,-0.046522786,-0.04627263,-0.023652494,0.007772982,0.184739676,-0.016950651,0.095336415,-0.043104465,0,0,0,0,0,0,0,0,0
