"","doy","GDD_sum"
"1",60,0
"2",61,0.85
"3",62,0.85
"4",63,0.85
"5",64,0.85
"6",65,1.95
"7",66,10
"8",67,14.7
"9",68,14.7
"10",69,14.7
"11",70,15.8
"12",71,18.3
"13",72,18.3
"14",73,18.3
"15",74,20.5
"16",75,22.7
"17",76,29.1
"18",77,35.5
"19",78,44.4
"20",79,52.15
"21",80,53
"22",81,56.35
"23",82,56.9
"24",83,58
"25",84,62.45
"26",85,64.4
"27",86,65.5
"28",87,65.5
"29",88,65.5
"30",89,65.5
"31",90,67.45
"32",91,74.4
"33",92,74.4
"34",93,75.5
"35",94,75.5
"36",95,76.9
"37",96,83
"38",97,89.95
"39",98,92.15
"40",99,96.05
"41",100,97.7
"42",101,97.7
"43",102,103.55
"44",103,109.1
"45",104,121.05
"46",105,130.5
"47",106,136.9
"48",107,137.45
"49",108,138
"50",109,140.2
"51",110,140.2
"52",111,143
"53",112,146.6
"54",113,150.2
"55",114,156.3
"56",115,169.35
"57",116,180.45
"58",117,184.35
"59",118,184.35
"60",119,185.75
"61",120,189.35
"62",121,193.8
"63",122,201.6
"64",123,208.3
"65",124,216.9
"66",125,221.9
"67",126,227.2
"68",127,233.05
"69",128,238.35
"70",129,245
"71",130,253.9
"72",131,263.6
"73",132,274.15
"74",133,288.3
"75",134,304.15
"76",135,320
"77",136,334.45
"78",137,344.7
"79",138,350
"80",139,356.95
"81",140,365.85
"82",141,381.7
"83",142,386.4
"84",143,399.2
"85",144,404.5
"86",145,413.1
"87",146,425.85
"88",147,439.75
"89",148,453.05
"90",149,461.4
"91",150,473.3
"92",151,490
"93",152,508.1
"94",153,524.8
"95",154,536.75
"96",155,547.3
"97",156,554.5
"98",157,564.5
"99",158,579.8
"100",159,589.5
"101",160,601.75
"102",161,610.1
"103",162,620.1
"104",163,631.5
"105",164,644.25
"106",165,656.2
"107",166,11.9
"108",167,27.2
"109",168,45
"110",169,57.5
"111",170,65
"112",171,71.1
"113",172,81.35
"114",173,96.6
"115",174,114.35
"116",175,127.4
"117",176,141.85
"118",177,158.5
"119",178,176.85
"120",179,188.25
"121",180,199.35
"122",181,212.15
"123",182,228.5
"124",183,235.15
"125",184,249.35
"126",185,260.7
"127",186,274.85
"128",187,291.5
"129",188,304.3
"130",189,319.85
"131",190,335.4
"132",191,345.4
"133",192,357.9
"134",193,377.35
"135",194,394.3
"136",195,409.6
"137",196,420.7
"138",197,434
"139",198,451.8
"140",199,470.15
"141",200,486
"142",201,506.85
"143",202,515.75
"144",203,534.4
"145",204,552.45
"146",205,558.55
"147",206,566.05
"148",207,580.25
"149",208,593.85
"150",209,16.7
"151",210,33.35
"152",211,47.8
"153",212,60.85
"154",213,75.6
"155",214,94.2
"156",215,109.2
"157",216,128.1
"158",217,148.65
"159",218,168.1
"160",219,176.15
"161",220,197.85
"162",221,219.25
"163",222,232.6
"164",223,245.65
"165",224,257.9
"166",225,267.65
"167",226,278.75
"168",227,292.1
"169",228,306.55
"170",229,319.05
"171",230,332.15
"172",231,345.5
"173",232,360.5
"174",233,378
"175",234,396.05
"176",235,411.05
"177",236,424.35
"178",237,439.1
"179",238,455.2
"180",239,472.15
"181",240,484.35
"182",241,500.45
"183",242,521.6
"184",243,537.4
"185",244,551.8
"186",245,560.7
"187",246,573.2
"188",247,589.6
"189",248,605.75
"190",249,619.35
"191",250,632.7
"192",251,646.05
"193",252,659.1
"194",253,673.3
"195",254,687.45
"196",255,700.5
"197",256,714.95
"198",257,725.25
"199",258,735.8
"200",259,741.9
