"","doy","GDD_sum"
"1",60,0
"2",61,1.1
"3",62,1.1
"4",63,1.1
"5",64,1.1
"6",65,2.5
"7",66,11.1
"8",67,15.8
"9",68,15.8
"10",69,15.8
"11",70,15.8
"12",71,18.85
"13",72,18.85
"14",73,18.85
"15",74,21.65
"16",75,22.75
"17",76,27.75
"18",77,34.4
"19",78,41.6
"20",79,50.2
"21",80,51.3
"22",81,54.9
"23",82,55.45
"24",83,56.55
"25",84,61
"26",85,62.95
"27",86,64.6
"28",87,64.6
"29",88,64.6
"30",89,64.6
"31",90,66.8
"32",91,74.6
"33",92,74.6
"34",93,74.6
"35",94,74.6
"36",95,75.45
"37",96,81.3
"38",97,88.25
"39",98,91.35
"40",99,95.25
"41",100,97.75
"42",101,97.75
"43",102,104.15
"44",103,110.25
"45",104,122.2
"46",105,131.65
"47",106,137.5
"48",107,138.35
"49",108,139.2
"50",109,141.7
"51",110,141.7
"52",111,144.5
"53",112,149.5
"54",113,153.4
"55",114,158.4
"56",115,172.55
"57",116,184.5
"58",117,187.55
"59",118,187.55
"60",119,189.2
"61",120,191.15
"62",121,195.05
"63",122,203.15
"64",123,210.4
"65",124,220.15
"66",125,223.75
"67",126,229.3
"68",127,235.95
"69",128,240.95
"70",129,247.35
"71",130,258.45
"72",131,269.85
"73",132,282.1
"74",133,297.95
"75",134,315.75
"76",135,333.25
"77",136,350.5
"78",137,362.15
"79",138,368
"80",139,373.55
"81",140,382.7
"82",141,399.1
"83",142,404.65
"84",143,416.85
"85",144,422.95
"86",145,434.05
"87",146,448.5
"88",147,464.6
"89",148,478.75
"90",149,492.6
"91",150,506.45
"92",151,525.05
"93",152,545.3
"94",153,561.45
"95",154,574.5
"96",155,586.7
"97",156,595
"98",157,607.8
"99",158,16.95
"100",159,27.8
"101",160,40.85
"102",161,50.85
"103",162,62.25
"104",163,75.85
"105",164,90.85
"106",165,103.35
"107",166,117.2
"108",167,135.25
"109",168,155
"110",169,167.2
"111",170,175.25
"112",171,184.15
"113",172,196.9
"114",173,214.7
"115",174,233.6
"116",175,248.9
"117",176,265
"118",177,284.15
"119",178,303.05
"120",179,315
"121",180,327.25
"122",181,340.85
"123",182,358.9
"124",183,365.55
"125",184,381.1
"126",185,393.85
"127",186,410
"128",187,426.65
"129",188,439.15
"130",189,454.4
"131",190,470.5
"132",191,481.35
"133",192,495.5
"134",193,501.9
"135",194,520.8
"136",195,536.9
"137",196,549.4
"138",197,565.5
"139",198,584.1
"140",199,604.35
"141",200,621.85
"142",201,642.7
"143",202,651.3
"144",203,19.45
"145",204,40.05
"146",205,48.1
"147",206,69.8
"148",207,83.7
"149",208,98.7
"150",209,116.5
"151",210,134
"152",211,150.95
"153",212,165.1
"154",213,181.5
"155",214,200.65
"156",215,215.65
"157",216,222.05
"158",217,242.05
"159",218,262.05
"160",219,283.75
"161",220,306
"162",221,325.7
"163",222,339.9
"164",223,354.05
"165",224,369.05
"166",225,379.3
"167",226,391.8
"168",227,406.25
"169",228,420.95
"170",229,435.15
"171",230,449.35
"172",231,463.8
"173",232,480.2
"174",233,500.2
"175",234,517.95
"176",235,534.6
"177",236,549
"178",237,565.1
"179",238,582.05
"180",239,599
"181",240,612.6
"182",241,629.8
"183",242,638.15
"184",243,654.8
"185",244,670.4
"186",245,680.1
"187",246,694.25
"188",247,711.75
"189",248,728.15
"190",249,742.05
"191",250,755.35
"192",251,770.05
"193",252,783.95
"194",253,799.5
"195",254,816.45
"196",255,830.35
"197",256,845.05
"198",257,857.55
"199",258,868.95
"200",259,875.9
"201",260,883.7
"202",261,898.7
"203",262,917.3
"204",263,930.9
