"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-01","8.9","3.3","8.9"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-02","10.6","-1.7","-1.7"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-03","-1.7","-7.8","-7.8"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-04","-6.7","-10.0","-6.7"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-05","1.1","-6.7","-0.6"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-06","4.4","-2.8","-2.8"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-07","-1.1","-4.4","-3.9"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-08","-3.3","-11.1","-11.1"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-09","-0.6","-11.1","-0.6"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-10","5.0","-7.2","-7.2"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-11","-5.6","-15.0","-15.0"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-12","-4.4","-15.6","-4.4"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-13","2.8","-4.4","0.0"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-14","4.4","-0.6","-0.6"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-15","-0.6","-17.8","-17.8"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-16","-13.9","-17.8","-16.7"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-17","-1.7","-16.7","-1.7"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-18","-1.7","-4.4","-3.9"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-19","0.0","-10.6","0.0"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-20","6.1","-8.9","-8.9"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-21","-8.9","-12.2","-12.2"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-22","-10.6","-20.6","-20.6"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-23","-3.9","-20.6","-3.9"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-24","-2.8","-15.0","-15.0"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-25","-2.8","-15.0","-3.3"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-26","-3.3","-13.3","-13.3"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-27","-6.7","-17.8","-13.3"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-28","-1.7","-13.3","-2.8"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-29","-2.8","-15.6","-15.6"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-30","-11.1","-15.6","-12.2"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-01-31","-6.1","-14.4","-14.4"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-01","-0.6","-14.4","-7.2"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-02","2.8","-7.2","-0.6"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-03","5.0","-0.6","0.6"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-04","0.6","-8.9","-8.9"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-05","-7.8","-10.6","-10.6"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-06","-8.3","-16.1","-13.3"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-07","0.0","-13.3","-5.0"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-08","4.4","-6.1","-4.4"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-09","0.6","-10.0","-5.6"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-10","9.4","-5.6","1.7"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-11","5.0","-1.7","-1.1"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-12","10.6","-1.1","4.4"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-13","5.6","-8.3","-8.3"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-14","-7.2","-12.8","-12.8"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-15","-8.9","-14.4","-11.7"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-16","-2.8","-11.7","-2.8"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-17","9.4","-2.8","9.4"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-18","11.1","-4.4","-4.4"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-19","-2.2","-7.8","-2.2"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-20","-1.1","-9.4","-8.9"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-21","5.0","-8.9","1.1"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-22","11.7","1.1","7.8"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-23","13.3","6.1","6.1"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-24","6.1","-8.3","-8.3"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-25","-3.3","-8.3","-3.9"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-26","1.7","-7.8","-7.8"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-27","-2.2","-7.8","-5.6"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-02-28","1.1","-11.1","-11.1"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-03-01","-0.6","-11.1","-0.6"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-03-02","7.2","-1.1","-1.1"
"USC00300331","AURORA RESEARCH FARM, NY US","2022-03-03","2.8","-5.6","-5.6"
