"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-01","10.0","1.1","8.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-02","11.1","-1.7","-1.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-03","-1.7","-8.3","-8.3"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-04","-7.8","-13.3","-8.3"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-05","0.0","-8.3","-2.8"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-06","3.9","-4.4","-4.4"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-07","-1.7","-5.6","-5.6"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-08","-3.9","-10.6","-10.6"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-09","-2.8","-11.1","-2.8"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-10","3.3","-8.3","-8.3"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-11","-5.6","-16.7","-16.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-12","-6.7","-16.7","-7.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-13","0.6","-7.8","-0.6"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-14","5.6","-1.7","-1.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-15","-1.7","-20.0","-20.0"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-16","-15.6","-20.6","-20.6"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-17","-0.6","-20.6","-2.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-18","-1.1","-6.1","-5.6"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-19","-1.7","-15.0","-2.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-20","5.6","-8.9","-8.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-21","-8.9","-16.7","-16.1"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-22","-10.6","-28.9","-28.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-23","-5.0","-28.9","-5.6"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-24","-3.3","-21.7","-20.0"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-25","-5.0","-20.6","-5.0"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-26","-3.3","-18.3","-17.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-27","-7.8","-22.8","-15.0"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-28","-3.3","-15.6","-3.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-29","-3.9","-18.3","-16.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-30","-12.2","-21.7","-21.1"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-01-31","-6.1","-21.7","-19.4"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-01","-2.2","-19.4","-10.0"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-02","1.1","-10.0","-1.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-03","3.9","-2.2","0.0"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-04","0.0","-9.4","-9.4"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-05","-8.3","-12.2","-11.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-06","-9.4","-22.8","-13.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-07","-2.8","-14.4","-6.1"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-08","3.3","-13.3","-11.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-09","0.6","-13.3","-6.1"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-10","7.8","-6.1","2.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-11","5.0","-4.4","-2.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-12","9.4","-2.8","4.4"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-13","4.4","-9.4","-8.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-14","-7.8","-15.0","-14.4"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-15","-10.0","-22.2","-18.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-16","-3.3","-19.4","-3.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-17","7.8","-3.9","6.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-18","11.7","-5.6","-5.6"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-19","-3.3","-11.1","-3.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-20","-1.1","-14.4","-12.8"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-21","2.2","-12.8","-0.6"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-22","12.8","-0.6","7.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-23","13.3","6.7","7.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-24","7.2","-10.0","-10.0"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-25","-2.8","-10.0","-3.3"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-26","2.8","-8.3","-8.3"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-27","-3.3","-8.9","-6.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-02-28","0.6","-11.7","-11.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-01","-1.7","-11.7","-1.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-02","6.7","-2.2","-1.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-03","5.0","-6.7","-6.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-04","-5.0","-16.7","-13.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-05","0.0","-13.9","-8.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-06","7.2","-14.4","6.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-07","21.1","0.6","2.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-08","14.4","-3.3","-3.3"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-09","1.7","-5.0","-1.1"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-10","0.6","-8.9","-7.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-11","7.2","-8.9","-3.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-12","10.0","-5.6","-5.0"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-13","-5.0","-10.6","-8.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-14","0.0","-8.9","-2.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-15","9.4","-2.8","-1.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-16","9.4","-2.2","1.1"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-17","17.8","0.6","8.3"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-18","17.8","1.7","1.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-19","22.8","1.7","11.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-20","19.4","6.1","6.1"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-21","6.7","-3.3","-2.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-22","11.7","-3.9","-3.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-23","6.1","-3.9","-0.6"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-24","7.2","-0.6","3.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-25","13.9","2.8","3.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-26","8.9","2.2","2.8"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-27","7.2","-1.7","-1.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-28","0.0","-9.4","-9.4"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-29","-6.7","-10.6","-7.8"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-30","-0.6","-10.0","-9.4"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-03-31","8.9","-9.4","8.9"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-01","18.9","2.8","3.3"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-02","5.0","-1.7","-1.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-03","7.2","-1.7","1.1"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-04","4.4","0.0","0.6"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-05","7.8","0.6","2.8"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-06","17.2","2.8","7.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-07","16.7","7.2","9.4"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-08","9.4","3.9","4.4"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-09","12.8","2.2","2.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-10","8.3","1.1","1.1"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-11","3.3","-3.9","-2.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-12","16.7","-2.2","8.3"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-13","16.1","2.8","10.6"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-14","23.3","10.6","17.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-15","23.9","0.0","4.4"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-16","17.8","3.3","4.4"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-17","6.1","-1.7","-1.1"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-18","6.1","-5.6","-3.3"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-19","9.4","-3.3","0.0"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-20","3.3","0.0","1.7"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-21","10.6","1.7","7.2"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-22","12.2","4.4","5.6"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-23","12.2","-0.6","3.3"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-24","17.2","3.3","9.4"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2022-04-25","26.7","9.4","11.1"
