plot,rep,ent,yld1,yld2,yld3,tot23
113,1,22,1.43,1.46,0.67,3.56
114,1,25,1.42,1.64,0.66,3.72
115,1,4,1.04,1.08,0.56,2.68
116,1,30,1.52,1.56,0.66,3.74
117,1,19,1.74,1.73,0.83,4.30
118,1,29,1.34,1.57,0.57,3.48
119,1,16,1.09,1.22,0.47,2.78
120,1,28,1.36,1.47,0.63,3.46
121,1,27,1.29,1.50,0.74,3.53
122,1,11,1.79,1.83,0.71,4.33
123,1,7,1.86,1.46,0.55,3.87
124,1,17,1.73,1.74,0.65,4.11
125,1,18,1.93,1.75,0.77,4.45
126,1,2,1.93,1.85,0.71,4.48
127,1,9,1.44,1.14,0.39,2.97
128,1,15,2.15,1.62,0.56,4.33
129,1,26,2.05,1.55,0.64,4.24
130,1,21,1.86,1.62,0.60,4.07
131,1,33,1.84,1.49,0.62,3.95
132,1,13,1.78,1.47,0.54,3.79
133,1,1,1.90,1.56,0.58,4.04
134,1,14,1.86,1.39,0.49,3.74
135,1,3,2.11,1.46,0.54,4.12
136,1,35,2.15,1.50,0.70,4.35
137,1,36,1.96,1.53,0.56,4.05
138,1,20,1.80,1.43,0.60,3.82
139,1,31,1.93,1.44,0.75,4.12
140,1,5,1.92,1.45,0.72,4.09
141,1,32,1.92,1.41,0.56,3.88
142,1,8,2.10,1.42,0.66,4.17
143,1,6,2.06,1.50,0.57,4.13
144,1,24,2.26,1.39,0.77,4.43
145,1,12,2.30,1.76,0.82,4.87
146,1,34,2.38,1.59,0.92,4.89
147,1,10,2.14,1.23,0.59,3.95
148,1,23,2.20,1.39,0.73,4.32
213,2,24,1.90,1.79,0.92,4.61
214,2,31,1.69,1.78,0.87,4.34
215,2,8,1.84,1.64,0.73,4.21
216,2,29,1.86,1.72,0.77,4.35
217,2,26,2.05,1.87,0.87,4.79
218,2,28,2.01,2.14,0.86,5.01
219,2,9,1.29,1.39,0.63,3.31
220,2,18,1.63,2.07,0.99,4.69
221,2,5,1.37,1.96,0.83,4.16
222,2,32,1.79,2.04,0.90,4.72
223,2,3,1.92,2.30,0.94,5.16
224,2,10,1.47,1.61,0.74,3.82
225,2,25,2.31,2.04,0.87,5.22
226,2,20,2.15,1.79,0.74,4.69
227,2,17,1.97,1.51,0.71,4.20
228,2,36,2.10,1.72,0.79,4.61
229,2,1,1.99,1.69,0.86,4.54
230,2,22,2.28,2.31,1.15,5.74
231,2,35,2.02,2.02,1.02,5.06
232,2,27,1.55,1.64,0.82,4.02
233,2,6,2.01,2.12,0.83,4.96
234,2,4,1.72,1.33,0.68,3.73
235,2,12,2.43,2.34,1.15,5.92
236,2,19,2.09,2.18,1.07,5.34
237,2,7,1.92,1.75,0.76,4.43
238,2,16,1.71,1.63,0.74,4.08
239,2,30,1.86,1.68,0.65,4.19
240,2,15,1.97,1.72,0.75,4.44
