plot,rep,ent,yld1,yld2,yld3,tot23
113,1,10,2.35,1.49,0.95,4.79
114,1,14,2.44,1.48,1.06,4.98
115,1,31,2.58,1.64,1.23,5.45
116,1,30,2.24,1.6,1.05,4.9
117,1,7,2.52,1.47,0.9,4.89
118,1,29,2.16,1.63,1.05,4.84
119,1,3,2.7,1.66,1.22,5.57
120,1,26,2.51,1.38,1.13,5.02
121,1,6,2.55,1.69,1.1,5.35
122,1,24,2.72,1.69,1.13,5.54
123,1,32,2.57,1.77,1.19,5.53
124,1,18,2.61,1.53,1.03,5.17
125,1,34,2.71,1.64,1.07,5.41
126,1,23,2.44,1.53,1.05,5.01
127,1,5,2.38,1.72,1.09,5.19
128,1,35,2.71,1.51,1.13,5.36
129,1,1,2.49,1.6,1.08,5.16
130,1,25,2.32,1.69,1,5.01
131,1,11,2.57,1.73,1.06,5.36
132,1,4,2.44,1.23,0.84,4.51
133,1,20,2.64,2.11,1.11,5.86
134,1,21,2.79,1.8,1.01,5.61
135,1,9,2.44,1.49,0.96,4.9
136,1,27,2.96,1.79,1.08,5.84
137,1,36,3.07,1.9,1.08,6.05
138,1,19,3.11,1.92,1.19,6.22
139,1,12,3.21,2.01,1.22,6.44
140,1,28,3.23,1.87,1.13,6.22
141,1,16,2.8,1.63,1.12,5.54
142,1,8,2.97,1.79,1.41,6.17
143,1,33,3.29,1.46,1.17,5.93
144,1,13,3.03,1.69,1.22,5.94
145,1,15,2.88,1.63,1.13,5.64
146,1,22,3.04,2.04,1.43,6.51
147,1,17,2.62,1.65,1.31,5.58
148,1,2,2.86,1.8,1.37,6.03
213,2,6,2.58,2.04,1.19,5.81
214,2,18,2.55,1.57,0.82,4.94
215,2,27,2.48,1.59,1,5.06
216,2,16,2.26,1.57,1.02,4.84
217,2,22,2.61,1.9,1.17,5.68
218,2,1,2.71,1.84,1.14,5.68
219,2,14,2.52,1.56,0.96,5.04
220,2,21,2.46,1.57,0.86,4.89
221,2,11,2.43,1.77,1.07,5.27
222,2,34,2.49,1.51,0.96,4.97
223,2,24,2.81,1.59,0.96,5.36
224,2,25,2.53,1.67,1.04,5.25
225,2,2,2.67,1.59,1.01,5.27
226,2,20,2.05,1.47,1.07,4.59
227,2,13,2.5,1.8,1.11,5.42
228,2,32,2.04,1.44,0.93,4.41
229,2,19,2.68,1.69,1.03,5.41
230,2,23,2.37,1.4,0.96,4.73
231,2,7,2.55,1.57,1.05,5.18
232,2,35,2.87,1.68,1.04,5.59
233,2,9,.,1.18,0.74,.
234,2,15,.,1.91,1.18,.
235,2,26,2.54,1.4,1.05,4.99
236,2,8,2.64,1.8,1.33,5.76
237,2,33,2.59,1.61,1.04,5.24
238,2,12,2.74,1.82,1.1,5.66
239,2,3,2.66,1.61,1.07,5.34
240,2,5,2.66,2.01,1.32,5.99
241,2,10,2.59,1.38,0.78,4.75
242,2,29,2.53,1.83,1.05,5.4
243,2,17,2.43,1.75,1.18,5.36
244,2,31,3.07,1.89,1.18,6.14
245,2,4,3.35,1.63,0.91,5.89
246,2,36,3.65,2.07,1.38,7.1
247,2,28,3.42,1.88,1.23,6.53
248,2,30,3.18,1.89,1.19,6.27
313,3,4,2.42,1.52,0.95,4.89
314,3,10,2.56,1.68,0.77,5.01
