"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","sca_yld1","sca_yld2","sca_yld3","NDRE_125","NDRE_142","NDRE_145","NDRE_150","NDRE_152","NDRE_156","NDRE_164","NDRE_166","NDRE_172","NDRE_178","NDRE_184","NDRE_187","NDRE_193","NDRE_198","NDRE_213","NDRE_223","NDRE_228","NDRE_251","NDRE_255","NDRE_265","NDRE_277","NDRE_300","NDRE_306"
"ALGONQUIN",1,113,1,16,2.35,1.49,0.95,4.79,0.211308258951295,0.259651307978239,0.17265532801091,0.350374471,0.508430249,0.508808458,0.430976944,0.414076084,0.347960635,0.410005621,0.408648166,0.403873499,0.272893602,0.33651235,0.309519959,0.374196086,0.288255583,0.284348167,0.285968211,0.284981647,0.464535935,0.384064546,0.322024806,0.289450575,0.306011239,0.246702867
"SW315_LH",1,114,1,17,2.44,1.48,1.06,4.98,0.219400915677089,0.257908681750197,0.192646997570069,0.360400443,0.497473994,0.471169175,0.449151376,0.42473249,0.399952766,0.3851219,0.371610821,0.406083839,0.284752271,0.366521879,0.327026661,0.404652496,0.347490051,0.288394688,0.300599262,0.282341325,0.462243858,0.36463121,0.325598517,0.291740614,0.311392005,0.253712644
"NY0465",1,115,1,18,2.58,1.64,1.23,5.45,0.231989492806102,0.285790701398867,0.223543214161495,0.304706404,0.473033485,0.482371892,0.423214334,0.395789096,0.37013632,0.41717413,0.416606879,0.386660136,0.283162747,0.36140452,0.335009704,0.373332209,0.344237908,0.282301691,0.308112964,0.273638167,0.464088275,0.386063425,0.276326516,0.318017376,0.27133739,0.277543248
"HI-GEST_360",1,116,1,19,2.24,1.6,1.05,4.9,0.201417234064213,0.278820196486699,0.190829573064691,0.30408216,0.450759574,0.47876526,0.418657051,0.387196904,0.384458463,0.408425366,0.419743991,0.356094085,0.348591585,0.406585745,0.365088545,0.39436466,0.37364361,0.289872828,0.358670206,0.287759473,0.483386094,0.405163818,0.288421434,0.347902223,0.281641128,0.275137816
"N-R-GEE",1,117,1,20,2.52,1.47,0.9,4.89,0.226594388322239,0.256166055522155,0.16356820548402,0.295176262,0.444095198,0.474757663,0.400862415,0.366563541,0.364571762,0.419827154,0.440182479,0.378138995,0.3083423,0.403852107,0.352535196,0.398397197,0.383614272,0.297200138,0.315324492,0.280868269,0.442062323,0.404982767,0.283853593,0.299274986,0.257882958,0.278420757
"PLUSS_III",1,118,1,21,2.16,1.63,1.05,4.84,0.194223761419062,0.284048075170825,0.190829573064691,0.322096486,0.461171064,0.477100064,0.410293218,0.383515499,0.373262922,0.435006042,0.449977821,0.364121479,0.371523721,0.424971961,0.378925347,0.399249591,0.433054902,0.288187423,0.377843965,0.295676517,0.477938689,0.40591692,0.305939939,0.367319586,0.27051896,0.30722773
"SEEDWAY_9558_SBR",1,119,1,22,2.7,1.66,1.22,5.57,0.242779701773828,0.28927595385495,0.221725789656117,0.325477014,0.45745077,0.476501407,0.407082113,0.396889902,0.369294895,0.425042691,0.414250269,0.386079234,0.321726172,0.382917371,0.346079895,0.389801299,0.410713871,0.289724305,0.353214423,0.294745929,0.499093063,0.401970349,0.281897961,0.333456926,0.267638283,0.304970044
"NY1517",1,120,1,23,2.51,1.38,1.13,5.02,0.225695204241596,0.240482419469778,0.205368969107715,0.344153572,0.467429392,0.478565076,0.405669296,0.412914569,0.39209552,0.428635752,0.397878496,0.418786026,0.310698798,0.375650854,0.334774754,0.405655039,0.498197386,0.313094437,0.324004376,0.285474602,0.512744659,0.409596299,0.287303486,0.312072518,0.263804634,0.304224656
"SW5606",1,121,1,24,2.55,1.69,1.1,5.35,0.229291940564171,0.294503832539076,0.199916695591581,0.41749409,0.483878264,0.472564057,0.437518289,0.444866745,0.444620189,0.439587689,0.421244012,0.324998689,0.427568954,0.448639674,0.396096233,0.460010771,0.463333479,0.271700413,0.423665041,0.336505233,0.511290006,0.401937795,0.326768818,0.391562209,0.294071978,0.32145268
"EZRA",1,122,1,25,2.72,1.69,1.13,5.54,0.244578069935116,0.294503832539076,0.205368969107715,0.352256872,0.438722362,0.484591578,0.3969359,0.419270988,0.409380865,0.44607713,0.410264073,0.34327167,0.290724438,0.392640561,0.328235402,0.418930302,0.455571532,0.305577296,0.329170443,0.286275091,0.529732917,0.404384307,0.262475441,0.319418396,0.280317622,0.314439465
"FSG_421LH",1,123,1,26,2.57,1.77,1.19,5.53,0.231090308725458,0.308444842363411,0.216273516139983,0.418423457,0.483707253,0.466379933,0.44159402,0.448771435,0.460932933,0.418406459,0.384939087,0.330205714,0.364133061,0.437102453,0.359527183,0.454674764,0.445194044,0.263497556,0.384402634,0.325323515,0.526769263,0.423302541,0.2854877,0.334916296,0.331007413,0.311240125
"ONEIDA_VR",1,124,1,27,2.61,1.53,1.03,5.17,0.234687045048034,0.266621812890406,0.187194724053935,0.318373641,0.432821106,0.456375235,0.382221771,0.393907917,0.424054204,0.454716649,0.426507906,0.347411955,0.240349621,0.35571859,0.310732491,0.405253797,0.460532026,0.305752252,0.304669105,0.269077572,0.539648802,0.43073682,0.280207586,0.304340435,0.269836197,0.30550274
"PERSIST_III",1,125,1,28,2.71,1.64,1.07,5.41,0.243678885854472,0.285790701398867,0.194464422075447,0.347701119,0.471240405,0.478690726,0.404361996,0.408883614,0.4597168,0.467170685,0.445106262,0.327773656,0.279712922,0.370025634,0.344639012,0.410069637,0.452304866,0.299077278,0.328959028,0.258148348,0.556132197,0.442192185,0.312494531,0.342258283,0.26091185,0.310259136
"ONEIDA_ULTRA",1,126,1,29,2.44,1.53,1.05,5.01,0.219400915677089,0.266621812890406,0.190829573064691,0.333184275,0.464640222,0.479325663,0.381295047,0.390860745,0.454018319,0.456576201,0.427504018,0.338670363,0.288478058,0.352889771,0.349938266,0.405051813,0.4532558,0.318802178,0.303557305,0.266755384,0.553284975,0.42385445,0.296784253,0.306445262,0.230179042,0.288982004
"WL_349HQ",1,127,1,30,2.38,1.72,1.09,5.19,0.214005811193226,0.299731711223202,0.198099271086203,0.356131952,0.469499124,0.465811621,0.398174743,0.394126699,0.46298443,0.45629517,0.458280361,0.288132839,0.389239548,0.377831407,0.380702915,0.411695772,0.417059259,0.300629566,0.364507099,0.269304084,0.546839288,0.426409256,0.342606954,0.371234649,0.234313804,0.302623457
"FSG_415BR",1,128,1,31,2.71,1.51,1.13,5.36,0.243678885854472,0.263136560434322,0.205368969107715,0.33503294,0.483201503,0.482743014,0.413046503,0.401334551,0.473305162,0.469538849,0.429361344,0.358513446,0.318415663,0.342191099,0.356669552,0.418762275,0.43439114,0.352859965,0.313595265,0.28566946,0.569757081,0.447248442,0.314614993,0.341582929,0.250169888,0.28830489
"GUARDSMAN_II",1,129,1,32,2.49,1.6,1.08,5.16,0.223896836080308,0.278820196486699,0.196281846580825,0.335481563,0.465974943,0.477487092,0.405997482,0.38626338,0.440360214,0.487870184,0.410693865,0.377704228,0.333317772,0.347216606,0.371624751,0.428041507,0.443803564,0.345468776,0.312861983,0.288625302,0.568798472,0.439658965,0.300049043,0.325512097,0.331536903,0.306518755
"AMERISTAND_427_TQ",1,130,1,33,2.32,1.69,1,5.01,0.208610706709363,0.294503832539076,0.1817424505378,0.338901909,0.473023988,0.477984578,0.409485369,0.387652189,0.456958874,0.481816229,0.405886306,0.346140095,0.398974997,0.364220015,0.386445324,0.43119523,0.449664362,0.30168605,0.359920331,0.287705168,0.563909933,0.43232517,0.303305412,0.36548067,0.369785786,0.324164576
