"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","sca_yld1","sca_yld2","sca_yld3","NDVI_125","NDVI_142","NDVI_145","NDVI_150","NDVI_152","NDVI_156","NDVI_164","NDVI_166","NDVI_172","NDVI_178","NDVI_184","NDVI_187","NDVI_193","NDVI_198","NDVI_213","NDVI_223","NDVI_228","NDVI_251","NDVI_255","NDVI_265","NDVI_277","NDVI_300","NDVI_306"
"ALGONQUIN",1,113,1,16,2.35,1.49,0.95,4.79,0.211308258951295,0.259651307978239,0.17265532801091,0.460396048,0.649239056,0.614662309,0.571299544,0.489290205,0.509786062,0.457490509,0.533622707,0.350958766,0.500064618,0.504206547,0.511848596,0.53043345,0.473712592,0.345363619,0.46854752,0.436374698,0.490818469,0.474142878,0.358838565,0.424823766,0.407601734,0.590516549
"SW315_LH",1,114,1,17,2.44,1.48,1.06,4.98,0.219400915677089,0.257908681750197,0.192646997570069,0.447807879,0.63524328,0.605731535,0.559563621,0.482408243,0.504332777,0.433393062,0.531976037,0.365513677,0.467084019,0.490094072,0.498029299,0.527115582,0.482693391,0.331988956,0.447833583,0.424695951,0.521124894,0.50158373,0.330599938,0.402947938,0.407857682,0.594928589
"NY0465",1,115,1,18,2.58,1.64,1.23,5.45,0.231989492806102,0.285790701398867,0.223543214161495,0.463743887,0.638461911,0.609388337,0.562973781,0.480187538,0.501837478,0.459087561,0.522694471,0.369452019,0.494327361,0.493193031,0.505535394,0.532455734,0.483458533,0.357561094,0.466192374,0.447248165,0.507474056,0.478551757,0.378713711,0.483372463,0.440916378,0.643331003
"HI-GEST_360",1,116,1,19,2.24,1.6,1.05,4.9,0.201417234064213,0.278820196486699,0.190829573064691,0.473963706,0.624266567,0.598203597,0.556894899,0.47364045,0.506198072,0.44059281,0.478432954,0.379915481,0.525456553,0.511852078,0.515311988,0.533932368,0.473408982,0.397619734,0.49598037,0.463108099,0.507474837,0.417932996,0.442203849,0.514738886,0.435679028,0.635474434
"N-R-GEE",1,117,1,20,2.52,1.47,0.9,4.89,0.226594388322239,0.256166055522155,0.16356820548402,0.48796557,0.619557729,0.592258931,0.542595941,0.472785879,0.49839071,0.466284556,0.491335705,0.363618592,0.515374298,0.49312725,0.504050185,0.516685759,0.454705811,0.384750142,0.450070028,0.429206742,0.496162282,0.406135655,0.393263224,0.467097479,0.416597048,0.624634498
"PLUSS_III",1,118,1,21,2.16,1.63,1.05,4.84,0.194223761419062,0.284048075170825,0.190829573064691,0.497528305,0.623112251,0.599495883,0.551475235,0.476415112,0.508842631,0.443831639,0.424111379,0.395028114,0.528550531,0.494591178,0.51798434,0.517772751,0.462054031,0.402397928,0.492690925,0.459349445,0.486070751,0.359170379,0.468871177,0.527965558,0.450971832,0.651453528
"SEEDWAY_9558_SBR",1,119,1,22,2.7,1.66,1.22,5.57,0.242779701773828,0.28927595385495,0.221725789656117,0.499272383,0.618630145,0.587696339,0.534678687,0.478369543,0.504122197,0.475149819,0.476428789,0.364137614,0.505280186,0.484291185,0.499739482,0.511497305,0.450729557,0.347990127,0.472451358,0.45757292,0.509086064,0.460726086,0.413498458,0.496687204,0.455934889,0.642755716
"NY1517",1,120,1,23,2.51,1.38,1.13,5.02,0.225695204241596,0.240482419469778,0.205368969107715,0.492936193,0.625525538,0.596920494,0.537316505,0.479517412,0.499549793,0.476439346,0.500239312,0.374830215,0.488486209,0.473348399,0.496553361,0.502896828,0.496818736,0.324970936,0.458722766,0.437739726,0.491088081,0.478624318,0.375717992,0.448653121,0.428227475,0.637947924
"SW5606",1,121,1,24,2.55,1.69,1.1,5.35,0.229291940564171,0.294503832539076,0.199916695591581,0.524763738,0.631948146,0.601626692,0.554770342,0.500395287,0.500575377,0.440655606,0.428154472,0.401791203,0.536369214,0.495712984,0.510891036,0.510369819,0.474500363,0.38706218,0.502218619,0.464152815,0.486449045,0.352560766,0.477398732,0.53192327,0.453639032,0.659662667
"EZRA",1,122,1,25,2.72,1.69,1.13,5.54,0.244578069935116,0.294503832539076,0.205368969107715,0.506724841,0.620968365,0.593888889,0.543905828,0.498131386,0.487449527,0.460730098,0.486833808,0.365200821,0.529370415,0.487790926,0.499208888,0.495819085,0.464484532,0.340982978,0.477976877,0.454150985,0.495605879,0.45302693,0.405342885,0.498405551,0.45856242,0.656347241
"FSG_421LH",1,123,1,26,2.57,1.77,1.19,5.53,0.231090308725458,0.308444842363411,0.216273516139983,0.48062186,0.63095831,0.598733424,0.539391781,0.486230614,0.48053472,0.455790301,0.472869495,0.371458946,0.547700117,0.461559913,0.484672351,0.482514816,0.446280383,0.339475545,0.474071014,0.454037729,0.492505482,0.38851368,0.393145449,0.474478561,0.451171502,0.65519176
"ONEIDA_VR",1,124,1,27,2.61,1.53,1.03,5.17,0.234687045048034,0.266621812890406,0.187194724053935,0.478283413,0.630899864,0.596024114,0.53902667,0.494688579,0.492960481,0.489635395,0.510721063,0.368287853,0.533541268,0.459570237,0.481976472,0.472067323,0.479975163,0.324334619,0.464942505,0.443257771,0.480731758,0.419715035,0.384271202,0.491391417,0.466084091,0.654798117
"PERSIST_III",1,125,1,28,2.71,1.64,1.07,5.41,0.243678885854472,0.285790701398867,0.194464422075447,0.488491691,0.64637004,0.604925484,0.555784314,0.503290987,0.50511332,0.45947595,0.484609266,0.379415458,0.563148222,0.473168096,0.497222237,0.48200059,0.446559768,0.344096809,0.484151859,0.452106711,0.488688323,0.379266699,0.424523712,0.528311725,0.470782777,0.660545126
"ONEIDA_ULTRA",1,126,1,29,2.44,1.53,1.05,5.01,0.219400915677089,0.266621812890406,0.190829573064691,0.470704121,0.64100378,0.596872743,0.537671644,0.487594974,0.491725291,0.477742043,0.505172453,0.374472572,0.523176678,0.474443333,0.48790702,0.471786866,0.446934771,0.327183913,0.465187122,0.432695033,0.494539537,0.412780554,0.391373006,0.485869594,0.446400249,0.632668648
"WL_349HQ",1,127,1,30,2.38,1.72,1.09,5.19,0.214005811193226,0.299731711223202,0.198099271086203,0.502180037,0.636828517,0.592575432,0.546033055,0.492251657,0.48487896,0.421108257,0.400318627,0.430075744,0.54117484,0.488245644,0.491575551,0.468930256,0.427192012,0.376053052,0.491677453,0.447932929,0.493109288,0.324535226,0.484995585,0.554633571,0.474433012,0.65466539
"FSG_415BR",1,128,1,31,2.71,1.51,1.13,5.36,0.243678885854472,0.263136560434322,0.205368969107715,0.49826302,0.647812817,0.599205413,0.551194351,0.496704491,0.496592155,0.4847816,0.516383743,0.382497031,0.504800142,0.483385225,0.473896771,0.472419674,0.46597923,0.348490214,0.47428945,0.4365758,0.486684615,0.389838657,0.420942097,0.520452074,0.444195519,0.638325796
"GUARDSMAN_II",1,129,1,32,2.49,1.6,1.08,5.16,0.223896836080308,0.278820196486699,0.196281846580825,0.492202203,0.640169904,0.594561883,0.544121695,0.482816921,0.484633941,0.484323068,0.499507906,0.392211784,0.5010831,0.479159795,0.469039106,0.474842393,0.470116504,0.346867505,0.478905606,0.439735794,0.481341459,0.380933723,0.398655532,0.51924503,0.448332159,0.647367466
"AMERISTAND_427_TQ",1,130,1,33,2.32,1.69,1,5.01,0.208610706709363,0.294503832539076,0.1817424505378,0.52150895,0.63636533,0.58920679,0.54222657,0.477208295,0.494066088,0.440838934,0.434538267,0.394617749,0.532529456,0.478310839,0.476901206,0.477150342,0.477386056,0.377082647,0.496470065,0.437738854,0.473335696,0.338496313,0.438182895,0.544357863,0.444170356,0.662463139
"LIGHTNING_BOLT",1,131,1,34,2.57,1.73,1.06,5.36,0.231090308725458,0.301474337451244,0.192646997570069,0.513647123,0.637905026,0.591719939,0.543904629,0.479162909,0.497369418,0.443741433,0.436302797,0.372153972,0.519718258,0.479633144,0.480461393,0.470962878,0.449112854,0.357181395,0.489835388,0.444779905,0.479884073,0.337500618,0.426434848,0.533673787,0.447338234,0.658182942
"VERNAL",1,132,1,35,2.44,1.23,0.84,4.51,0.219400915677089,0.21434302604915,0.152663658451752,0.492170045,0.629492667,0.578066908,0.52606596,0.465276814,0.4862129,0.466098019,0.49357432,0.370110853,0.467721904,0.463498591,0.475664064,0.465996244,0.480848947,0.322018088,0.444007113,0.417407043,0.464442229,0.420206566,0.334660384,0.425953986,0.38069216,0.614551011
"REBOUND_6XT",1,133,1,36,2.64,2.11,1.11,5.86,0.237384597289965,0.367694134116835,0.201734120096959,0.542072066,0.629467197,0.579450115,0.544731125,0.467894092,0.47625488,0.383324221,0.353974383,0.43514113,0.545244765,0.486046459,0.508179667,0.471710819,0.450721418,0.430166625,0.512241936,0.456293996,0.433744974,0.306257854,0.507600373,0.552412342,0.458933504,0.652577243
"SEEDWAY_9558",1,134,1,37,2.79,1.8,1.01,5.61,0.250872358499622,0.313672721047537,0.183559875043178,0.520929084,0.629020167,0.581358671,0.541388889,0.463785227,0.502112598,0.462931482,0.486723883,0.362397185,0.50417856,0.470331666,0.481650779,0.479642209,0.486087217,0.347875442,0.486057748,0.440598864,0.447523079,0.402642402,0.390795589,0.488985118,0.447822367,0.64087952
"NY2003",1,135,1,38,2.44,1.49,0.96,4.9,0.219400915677089,0.259651307978239,0.174472752516288,0.497196727,0.64029183,0.588186312,0.537950171,0.448554861,0.482905023,0.48455846,0.518237928,0.384306553,0.46159901,0.450257533,0.472613716,0.466764448,0.472773856,0.334921436,0.454353168,0.419118809,0.461293569,0.40637989,0.345184794,0.407470829,0.408330552,0.620416806
"LANDER",1,136,1,39,2.96,1.79,1.08,5.84,0.266158487870567,0.311930094819495,0.196281846580825,0.542284771,0.626227791,0.580876384,0.537526256,0.486273292,0.491536139,0.456394564,0.472031662,0.384388298,0.52040179,0.471886378,0.495309184,0.488572191,0.468762963,0.355809464,0.481290937,0.452727442,0.463437381,0.349781988,0.409155827,0.494979171,0.446557258,0.64528691
"NY1615",1,137,1,40,3.07,1.9,1.08,6.05,0.276049512757649,0.331098983327955,0.196281846580825,0.5333568,0.621843599,0.581232599,0.529485839,0.492782401,0.470745736,0.470593902,0.486205265,0.399966919,0.531097921,0.467815537,0.499932621,0.498793933,0.485552941,0.365268617,0.443774356,0.425968921,0.474031447,0.417896079,0.386479847,0.499363354,0.474306418,0.648931444
"55V50",1,138,1,41,3.11,1.92,1.19,6.22,0.279646249080224,0.334584235784039,0.216273516139983,0.535141728,0.630772856,0.583767865,0.533441566,0.493695231,0.482549548,0.432079875,0.454168406,0.411484462,0.555159545,0.468530572,0.500696606,0.491861176,0.484717502,0.378683222,0.487557758,0.446380884,0.473459861,0.363540955,0.43546091,0.52314041,0.461398751,0.656018931
